time,value
2006-01-01,-2.5038174971300906
2006-01-02,-2.4275655323380514
2006-01-03,-2.465367509439953
2006-01-04,-1.991609927348307
2006-01-05,-1.8490523244578336
2006-01-06,-2.086625992488969
2006-01-07,-1.987310848759125
2006-01-08,-1.6073461845209283
2006-01-09,-1.4183373817397504
2006-01-10,-1.3000993471319433
2006-01-11,-1.264450232263195
2006-01-12,-1.2894855627407547
2006-01-13,-1.354028307753433
2006-01-14,-1.5740180257252374
2006-01-15,-1.6007346055965879
2006-01-16,-1.7209775139832806
2006-01-17,-1.8143790081373086
2006-01-18,-1.8925493420001
2006-01-19,-1.9333565880393697
2006-01-20,-1.9153828759950624
2006-01-21,-1.9543200067705868
2006-01-22,-1.7011997802715253
2006-01-23,-1.6050695773796737
2006-01-24,-1.5453322017704028
2006-01-25,-1.5333867448471825
2006-01-26,-1.5469136616729202
2006-01-27,-1.5643355354170947
2006-01-28,-1.7012163657626735
2006-01-29,-1.6084946247591876
2006-01-30,-1.637392747195553
2006-01-31,-1.2079537076456501
2006-02-01,-1.7096113490942855
2006-02-02,-1.742549366158634
2006-02-03,-1.7446135943559706
2006-02-04,-1.8314809816132371
2006-02-05,-1.6542280346789286
2006-02-06,-1.6134870891413442
2006-02-07,-1.5888138810826768
2006-02-08,-1.5918060864691916
2006-02-09,-1.6003810410940051
2006-02-10,-1.59322813717331
2006-02-11,-1.4329691737275456
2006-02-12,-1.5305308644420312
2006-02-13,-1.5150860757187399
2006-02-14,-1.519538979157347
2006-02-15,-1.5555789825582578
2006-02-16,-1.6011854754127939
2006-02-17,-1.3155389608735581
2006-02-18,-1.773107293307997
2006-02-19,-1.6664752555000084
2006-02-20,-1.6778059682500892
2006-02-21,-1.6866788771034014
2006-02-22,-1.7046620472401899
2006-02-23,-1.7095907526533434
2006-02-24,-1.68002232921295
2006-02-25,-1.7316302991244443
2006-02-26,-1.5154331539492243
2006-02-27,-1.4520790381527882
2006-02-28,-1.4209627871039514
2006-03-01,-1.4334760268683182
2006-03-02,-0.8128139248066436
2006-03-03,-1.499313711120454
2006-03-04,-1.6466016378865864
2006-03-05,-1.5595746392563135
2006-03-06,-0.9970071281410151
2006-03-07,-1.660044305797492
2006-03-08,-1.738285354116571
2006-03-09,-1.396279244842523
2006-03-10,-1.8737336796281026
2006-03-11,-2.025049639644806
2006-03-12,-1.92167574570091
2006-03-13,-1.9468885256877246
2006-03-14,-1.9802031499232449
2006-03-15,-2.033178433941095
2006-03-16,-2.08369583230543
2006-03-17,-1.6199319051864183
2006-03-18,-1.8320830554539007
2006-03-19,-2.0911413303262507
2006-03-20,-1.6737488935779696
2006-03-21,-2.0478179551323645
2006-03-22,-1.6601751332372445
2006-03-23,-1.5943443611275596
2006-03-24,-1.5020835555814622
2006-03-25,-1.9664028710441774
2006-03-26,-1.7198716356829742
2006-03-27,-1.2664143460801993
2006-03-28,-1.6067741896122634
2006-03-29,-1.2889330534980163
2006-03-30,-1.2484115381400698
2006-03-31,-1.7674834506689363
2006-04-01,-1.97316460909292
2006-04-02,-1.9605276804524432
2006-04-03,-1.686818024816534
2006-04-04,-1.6310041435660703
2006-04-05,-1.4308738001498666
2006-04-06,-1.5780308896356974
2006-04-07,-2.1288331688684834
2006-04-08,-2.1478875033957525
2006-04-09,-1.877889282556227
2006-04-10,-1.7746891875899493
2006-04-11,-1.717714224431296
2006-04-12,-1.7184128454314307
2006-04-13,-1.7545385654304797
2006-04-14,-1.8387832168054605
2006-04-15,-1.984301025240139
2006-04-16,-1.4756039852220106
2006-04-17,-2.0980419952087686
2006-04-18,-1.5649039241540015
2006-04-19,-2.089023988056517
2006-04-20,-1.6461664845062087
2006-04-21,-2.056243729286172
2006-04-22,-2.0804189794483356
2006-04-23,-1.7831011365743048
2006-04-24,-1.367814683818336
2006-04-25,-1.1908352700425444
2006-04-26,-1.6291994027093408
2006-04-27,-0.8546789349538594
2006-04-28,-1.640977387198622
2006-04-29,-1.7683498405259732
2006-04-30,-1.6665819201558776
2006-05-01,-1.2438175587689297
2006-05-02,-1.7421307437717906
2006-05-03,-1.810712787750265
2006-05-04,-1.6117084753504924
2006-05-05,-1.5269456342236922
2006-05-06,-2.082147331637366
2006-05-07,-1.9786299972544439
2006-05-08,-1.9979027195428172
2006-05-09,-1.6691123319705339
2006-05-10,-2.054775348461286
2006-05-11,-1.7794065359011357
2006-05-12,-2.078496106668932
2006-05-13,-2.161024164723646
2006-05-14,-1.9801995689027643
2006-05-15,-1.9304390017952484
2006-05-16,-1.5470372951130846
2006-05-17,-1.8737695844630944
2006-05-18,-1.4589650954008897
2006-05-19,-1.4419224707132274
2006-05-20,-1.8705603801912583
2006-05-21,-1.669540414012996
2006-05-22,-0.9056186549229763
2006-05-23,-1.5754350381250475
2006-05-24,-1.5733979191967864
2006-05-25,-1.643297012187677
2006-05-26,-1.5831161533263705
2006-05-27,-1.689305990516783
2006-05-28,-1.5528413044313292
2006-05-29,-1.5547466075485266
2006-05-30,-1.574668390192246
2006-05-31,-1.6242794851367077
2006-06-01,-1.6815550921109574
2006-06-02,-1.725699776359006
2006-06-03,-1.8725853329295181
2006-06-04,-1.0771957124915974
2006-06-05,-1.7311615143690002
2006-06-06,-1.8205503973175396
2006-06-07,-1.4376487444123667
2006-06-08,-1.88666974044594
2006-06-09,-1.8850158436218933
2006-06-10,-1.9688591918671678
2006-06-11,-1.7893057346247676
2006-06-12,-1.4526625536666578
2006-06-13,-1.3092771846308298
2006-06-14,-1.2798183707854123
2006-06-15,-1.7058875949648757
2006-06-16,-1.292982598555791
2006-06-17,-1.7624451973521151
2006-06-18,-1.5876899254986
2006-06-19,-1.5716443694011228
2006-06-20,-1.5936774232916429
2006-06-21,-1.3351273921042812
2006-06-22,-1.2960452846325055
2006-06-23,-1.8680586142589226
2006-06-24,-2.093497081344778
2006-06-25,-2.091129187638412
2006-06-26,-1.727377829222746
2006-06-27,-2.218853752938524
2006-06-28,-2.2399206733564023
2006-06-29,-1.7755490389121005
2006-06-30,-2.1200891636901606
2006-07-01,-2.0735959486546682
2006-07-02,-1.7246028203213823
2006-07-03,-1.0693098524510383
2006-07-04,-1.4393681960687834
2006-07-05,-1.3945082561172832
2006-07-06,-1.396749610665928
2006-07-07,-1.4248855801180824
2006-07-08,-1.594865925512487
2006-07-09,-1.5580197425381477
2006-07-10,-1.623196812790813
2006-07-11,-1.2711474996926695
2006-07-12,-1.7106410428584182
2006-07-13,-1.722715321685437
2006-07-14,-1.685153642093943
2006-07-15,-1.713862000540276
2006-07-16,-1.4600961152274081
2006-07-17,-1.3690400388624644
2006-07-18,-1.3203219490704812
2006-07-19,-1.3255582572073594
2006-07-20,-1.3626332447091802
2006-07-21,-0.6333017329662602
2006-07-22,-1.5838498303354176
2006-07-23,-1.5347928870343015
2006-07-24,-1.605623771236343
2006-07-25,-1.6758014116844977
2006-07-26,-1.756785690402307
2006-07-27,-1.8263211195450477
2006-07-28,-1.8628961439160932
2006-07-29,-1.9821409413539828
2006-07-30,-1.8350589985352623
2006-07-31,-1.8123397648940966
2006-08-01,-1.6168846289638503
2006-08-02,-1.7912548320023816
2006-08-03,-1.7836101715887345
2006-08-04,-1.3759849912912006
2006-08-05,-1.8032413611962366
2006-08-06,-1.5973252426073195
2006-08-07,-1.5301418908185687
2006-08-08,-1.1639962369912842
2006-08-09,-1.4622488940553002
2006-08-10,-1.2975958455754997
2006-08-11,-1.4262851453479868
2006-08-12,-1.5038155850805563
2006-08-13,-1.3348304050773863
2006-08-14,-1.3037152267773733
2006-08-15,-0.5674685552853388
2006-08-16,-1.0246977372183839
2006-08-17,-0.988897453017487
2006-08-18,-0.7034771579705629
2006-08-19,-1.4463988771460288
2006-08-20,-1.3089483221122407
2006-08-21,-1.3082993468495776
2006-08-22,-0.973646374342678
2006-08-23,-1.0522434110289047
2006-08-24,-1.0346589634401382
2006-08-25,-1.4502461510034066
2006-08-26,-1.5835706418836473
2006-08-27,-1.4677784223499524
2006-08-28,-0.8264663542928806
2006-08-29,-1.512700786414246
2006-08-30,-1.1659753349661481
2006-08-31,-1.0872283317442049
2006-09-01,-1.3195832362796618
2006-09-02,-1.7740751219854771
2006-09-03,-1.6447255028837477
2006-09-04,-1.2251633894840444
2006-09-05,-1.1078620192155455
2006-09-06,-1.41708736125715
2006-09-07,-1.7178462225415152
2006-09-08,-1.7254729369025477
2006-09-09,-1.8261090849474202
2006-09-10,-1.6708370920556068
2006-09-11,-1.6587958015475746
2006-09-12,-1.378231981116318
2006-09-13,-1.4253884659360851
2006-09-14,-1.772029968220069
2006-09-15,-1.4975624630810764
2006-09-16,-1.9754605986163065
2006-09-17,-1.888552458365599
2006-09-18,-1.6212260821606512
2006-09-19,-1.9748729253447972
2006-09-20,-1.761737290439085
2006-09-21,-1.7879982974562778
2006-09-22,-1.7306725410866743
2006-09-23,-2.261603861006718
2006-09-24,-2.129526635870817
2006-09-25,-1.726542139989302
2006-09-26,-1.7153166230702368
2006-09-27,-2.031521595660622
2006-09-28,-1.560907476110838
2006-09-29,-1.4812630491738685
2006-09-30,-1.8328399207703325
2006-10-01,-1.521697940621161
2006-10-02,-1.3769915320808819
2006-10-03,-0.9972556478438862
2006-10-04,-1.2367258687889655
2006-10-05,-1.2303843336338223
2006-10-06,-0.6842431972461679
2006-10-07,-1.3741902400569588
2006-10-08,-1.2910112614481226
2006-10-09,-0.9748374447678525
2006-10-10,-1.0830347753363088
2006-10-11,-1.3521888067494983
2006-10-12,-1.1608017111035092
2006-10-13,-1.615549319490727
2006-10-14,-1.7680264773598668
2006-10-15,-1.6658043964348865
2006-10-16,-1.6944956459673686
2006-10-17,-1.7337401179232705
2006-10-18,-1.4876941378763437
2006-10-19,-1.8569278338278306
2006-10-20,-1.2350536103695484
2006-10-21,-2.033278918894907
2006-10-22,-1.9151632084660497
2006-10-23,-1.9255380787414746
2006-10-24,-1.9441500751668985
2006-10-25,-1.5934874493228302
2006-10-26,-2.0194085367284154
2006-10-27,-2.032883743061606
2006-10-28,-2.13909199918808
2006-10-29,-1.9892895258642453
2006-10-30,-1.9656210351140182
2006-10-31,-1.947706162820822
2006-11-01,-1.3539003692920484
2006-11-02,-1.661166079520567
2006-11-03,-1.636675295813087
2006-11-04,-1.592294158747097
2006-11-05,-1.7629405526436754
2006-11-06,-1.1312548976706214
2006-11-07,-1.3438924361351454
2006-11-08,-1.3144611272616316
2006-11-09,-1.090651208065655
2006-11-10,-1.5305663435426862
2006-11-11,-2.1891377191981167
2006-11-12,-1.8368585597342935
2006-11-13,-1.9883696743586812
2006-11-14,-2.359445747156865
2006-11-15,-2.1654715724998823
2006-11-16,-2.4530497732272325
2006-11-17,-1.8049984731612725
2006-11-18,-2.463402801647289
2006-11-19,-1.9137001185596452
2006-11-20,-2.1153858704490536
2006-11-21,-1.8054593012536244
2006-11-22,-2.0508054051052134
2006-11-23,-1.794969258531438
2006-11-24,-1.806226755984702
2006-11-25,-2.2427265795563893
2006-11-26,-2.162540257659889
2006-11-27,-1.8926566722004292
2006-11-28,-1.9691433568965935
2006-11-29,-1.903073499390737
2006-11-30,-1.9006675549022716
2006-12-01,-2.229993470254528
2006-12-02,-2.1205161734007922
2006-12-03,-2.1044155337035586
2006-12-04,-2.1651035002239905
2006-12-05,-2.1433855627806517
2006-12-06,-2.1470110840436574
2006-12-07,-1.9515600610668953
2006-12-08,-1.589675618789033
2006-12-09,-1.7965553785483248
2006-12-10,-1.056471134551834
2006-12-11,-1.311144183046218
2006-12-12,-1.1357610500394728
2006-12-13,-0.8799992974973674
2006-12-14,-1.527930869668973
2006-12-15,-1.2811849875980854
2006-12-16,-1.8140436732694152
2006-12-17,-1.4926684670449395
2006-12-18,-1.5029159260527636
2006-12-19,-2.0724107545472403
2006-12-20,-2.173926561212018
2006-12-21,-2.246361504192041
2006-12-22,-1.7984047906632548
2006-12-23,-2.354782633313697
2006-12-24,-2.157290730383393
2006-12-25,-2.023144634165864
2006-12-26,-2.021506836944529
2006-12-27,-1.6746856648971031
2006-12-28,-1.9220517293112833
2006-12-29,-1.8438856504254664
2006-12-30,-1.855407474789311
2006-12-31,-1.6078090136582615
2007-01-01,-1.3968272919276183
