time,value
2006-01-01,-1.8719479286514369
2006-01-02,-1.4335241622653139
2006-01-03,-1.4329966779236392
2006-01-04,-1.4304753540052368
2006-01-05,-1.4246022079887226
2006-01-06,-1.4593805029424516
2006-01-07,-1.4532086084306475
2006-01-08,-1.4635059340291068
2006-01-09,-1.333937595129023
2006-01-10,-1.32970538262518
2006-01-11,-1.3252618165735195
2006-01-12,-1.3192188373617504
2006-01-13,-1.35551325552044
2006-01-14,-1.352442691066395
2006-01-15,-1.367294374778254
2006-01-16,-1.2435755490663276
2006-01-17,-1.2463043017189923
2006-01-18,-1.2497304581041102
2006-01-19,-1.2522493216735
2006-01-20,-1.2975724108337472
2006-01-21,-1.3037687881155955
2006-01-22,-1.3278992156213667
2006-01-23,-1.21324001627931
2006-01-24,-1.22460225031683
2006-01-25,-1.2360453595566072
2006-01-26,-1.2457948693497065
2006-01-27,-1.2974164819716474
2006-01-28,-1.3088600849815035
2006-01-29,-1.337095858106655
2006-01-30,-1.2253855351012888
2006-01-31,-1.2385095774601858
2006-02-01,-1.2505266852874175
2006-02-02,-1.2601216851179078
2006-02-03,-1.3109153333555779
2006-02-04,-1.320937204444952
2006-02-05,-1.3472588726302028
2006-02-06,-1.233082907083801
2006-02-07,-1.243324112345921
2006-02-08,-1.2521861865999147
2006-02-09,-1.2580742604307156
2006-02-10,-1.3047631268520046
2006-02-11,-1.3104348609078658
2006-02-12,-1.3323081950257258
2006-02-13,-1.2144157273342746
2006-02-14,-1.2217985754405023
2006-02-15,-1.2287720757250562
2006-02-16,-1.2338361428263602
2006-02-17,-1.280841867420097
2006-02-18,-1.288028074357704
2006-02-19,-1.3126502151103767
2006-02-20,-1.199288618366581
2006-02-21,-1.2129818611409977
2006-02-22,-1.0485203210725917
2006-02-23,-1.2428793098400723
2006-02-24,-1.301345267678577
2006-02-25,-1.3215969854329783
2006-02-26,-1.3608158309575953
2006-02-27,-1.2477972581394283
2006-02-28,-1.2474942222009655
2006-03-01,-1.2341140386012923
2006-03-02,-1.2058966888441436
2006-03-03,-1.2065583654341625
2006-03-04,-1.1541962659443052
2006-03-05,-1.1059219224419936
2006-03-06,-0.941061187170648
2006-03-07,-0.9245165635032051
2006-03-08,-0.9304560092476988
2006-03-09,-0.9572279057736669
2006-03-10,-1.0485320837459293
2006-03-11,-1.1224605061112227
2006-03-12,-1.236129875744624
2006-03-13,-1.194626318741861
2006-03-14,-1.2628749715176728
2006-03-15,-1.3150730172033203
2006-03-16,-1.3496030167026296
2006-03-17,-1.4102022149909748
2006-03-18,-1.4150014866605323
2006-03-19,-1.4211562504323643
2006-03-20,-1.295374331794204
2006-03-21,-1.3026145748280344
2006-03-22,-1.3171034149341738
2006-03-23,-1.3372472153773405
2006-03-24,-1.4068008459020231
2006-03-25,-1.443906186079524
2006-03-26,-1.5057228893094636
2006-03-27,-1.4107257451599586
2006-03-28,-1.4238649821680582
2006-03-29,-1.4193528672476614
2006-03-30,-1.3955769265642042
2006-03-31,-1.3962695892390014
2006-04-01,-1.3395478899544935
2006-04-02,-1.281965908011923
2006-04-03,-1.111832199144489
2006-04-04,-1.0940727229565455
2006-04-05,-1.1028782016747556
2006-04-06,-1.1366184500550407
2006-04-07,-1.2390129655967368
2006-04-08,-1.3281713784963827
2006-04-09,-1.4612260191329884
2006-04-10,-1.3006001350649783
2006-04-11,-1.5081917647629768
2006-04-12,-1.5612481777949163
2006-04-13,-1.5904823614285435
2006-04-14,-1.7373224310579838
2006-04-15,-1.3171306769930167
2006-04-16,-1.6478436605183409
2006-04-17,-1.6379039568564475
2006-04-18,-1.439732102279453
2006-04-19,-1.4268966537413623
2006-04-20,-1.4185406570935588
2006-04-21,-1.4584391703025565
2006-04-22,-1.4647560374970454
2006-04-23,-1.494674289001824
2006-04-24,-1.3823069641982941
2006-04-25,-1.392628840498018
2006-04-26,-1.399876265741657
2006-04-27,-1.4024595723148037
2006-04-28,-1.444131879041263
2006-04-29,-1.4430279554925816
2006-04-30,-1.4562954771841259
2006-05-01,-1.329684015661979
2006-05-02,-1.3290641421650897
2006-05-03,-1.328625596907794
2006-05-04,-1.326731510649423
2006-05-05,-1.367088977461954
2006-05-06,-1.367789720743284
2006-05-07,-1.3859431206361796
2006-05-08,-1.264495630751312
2006-05-09,-1.2683537989752887
2006-05-10,-1.2716927587038998
2006-05-11,-1.2728713942442533
2006-05-12,-1.3156036824931858
2006-05-13,-1.3179997933543433
2006-05-14,-1.337199191580505
2006-05-15,-1.2159441330855179
2006-05-16,-1.2191932516967643
2006-05-17,-1.2211833881796406
2006-05-18,-1.220343368958337
2006-05-19,-1.2604636494459462
2006-05-20,-1.2597354482833143
2006-05-21,-1.2753816673615266
2006-05-22,-1.1549310321731883
2006-05-23,-1.163423298488435
2006-05-24,-1.1751716233011442
2006-05-25,-1.2956634908072746
2006-05-26,-1.247780480232316
2006-05-27,-1.2707306154781786
2006-05-28,-1.314782253932703
2006-05-29,-1.2046560940305604
2006-05-30,-1.2053964315499461
2006-05-31,-1.1913045712097656
2006-06-01,-1.1608500374909982
2006-06-02,-1.1569116075847155
2006-06-03,-1.097668430944431
2006-06-04,-1.0454490626332964
2006-06-05,-1.0472087844958604
2006-06-06,-0.8455792468904142
2006-06-07,-0.8473606104058967
2006-06-08,-0.871660171911245
2006-06-09,-0.9621685033283363
2006-06-10,-0.9465888643845278
2006-06-11,-1.1530767409498324
2006-06-12,-1.1172633394067433
2006-06-13,-1.1943599972903625
2006-06-14,-1.2584772568296976
2006-06-15,-1.307902320609249
2006-06-16,-1.3862715845907598
2006-06-17,-1.4116130364470232
2006-06-18,-1.440980733635248
2006-06-19,-1.319521952924965
2006-06-20,-1.3121077668385812
2006-06-21,-1.2928885302112054
2006-06-22,-1.2602090435136797
2006-06-23,-1.2577795039925646
