time,value
2006-01-01,-1.4926857439747592
2006-01-02,-1.3732259903821706
2006-01-03,-1.3868160297255978
2006-01-04,-1.401591117932734
2006-01-05,-1.4016783122395027
2006-01-06,-1.3906003018775184
2006-01-07,-1.3995238456796635
2006-01-08,-1.5713982742459427
2006-01-09,-1.5284034818594274
2006-01-10,-1.5361839593455247
2006-01-11,-1.553293811150361
2006-01-12,-1.56406332395935
2006-01-13,-1.572213554585045
2006-01-14,-1.6091018234209167
2006-01-15,-1.8178575915034434
2006-01-16,-1.7762669486166107
2006-01-17,-1.7501272463553648
2006-01-18,-1.698129404639173
2006-01-19,-1.6047234197038012
2006-01-20,-1.4737322995565931
2006-01-21,-1.3365972931105015
2006-01-22,-1.3365138718054146
2006-01-23,-1.1611228627503785
2006-01-24,-1.0762534030888862
2006-01-25,-1.0406124377156956
2006-01-26,-1.0386514161064222
2006-01-27,-1.074181567742135
2006-01-28,-1.1786205772048635
2006-01-29,-1.4951300648347987
2006-01-30,-1.5641391917916025
2006-01-31,-1.6514271574553157
2006-02-01,-1.7156450652863195
2006-02-02,-1.7400765011210186
2006-02-03,-1.7284688245062445
2006-02-04,-1.7121734569438931
2006-02-05,-1.8342842448048169
2006-02-06,-1.740597362054839
2006-02-07,-1.696823248867195
2006-02-08,-1.6615444862164097
2006-02-09,-1.619084112999895
2006-02-10,-1.5731222946129324
2006-02-11,-1.5549441711640655
2006-02-12,-1.7075783088512821
2006-02-13,-1.650224309375872
2006-02-14,-1.6485295313945991
2006-02-15,-1.6610147027579922
2006-02-16,-1.6719423815058383
2006-02-17,-1.6849338367840627
2006-02-18,-1.7312171913981975
2006-02-19,-1.9537662570724865
2006-02-20,-1.910433946695072
2006-02-21,-1.8668189074787094
2006-02-22,-1.7813971038779632
2006-02-23,-1.6383909860192634
2006-02-24,-1.4413871213406042
2006-02-25,-1.2215851054078954
2006-02-26,-1.1219371529277864
2006-02-27,-0.8784944563655377
2006-02-28,-0.756849992466811
2006-03-01,-0.7154828651020382
2006-03-02,-0.7393618082810455
2006-03-03,-0.8320951375610125
2006-03-04,-1.02491362688024
2006-03-05,-1.460809901972873
