time,value,n
2006-01-01,0,1
2006-01-02,0,1
2006-01-03,0,1
2006-01-04,0,1
2006-01-05,0,1
2006-01-06,0,1
2006-01-07,0,1
2006-01-08,0,1
2006-01-09,0,1
2006-01-10,33,1
2006-01-11,32,1
2006-01-12,0,1
2006-01-13,0,1
2006-01-14,0,1
2006-01-15,0,1
2006-01-16,23.5,2
2006-01-17,24.5,2
2006-01-18,0,2
2006-01-19,0,2
2006-01-20,0,2
2006-01-21,0,2
2006-01-22,0,2
2006-01-23,0,2
2006-01-24,16,2
2006-01-25,16,2
2006-01-26,25.5,2
2006-01-27,0,2
2006-01-28,0,2
2006-01-29,0,2
2006-01-30,0,2
2006-01-31,11,3
2006-02-01,0,3
2006-02-02,0,3
2006-02-03,41,3
2006-02-04,0,3
2006-02-05,0,3
2006-02-06,0,3
2006-02-07,0,3
2006-02-08,10.333333333333334,3
2006-02-09,16.666666666666668,3
2006-02-10,0,3
2006-02-11,0,3
2006-02-12,0,3
2006-02-13,15.333333333333334,3
2006-02-14,0,3
2006-02-15,0,4
2006-02-16,8.25,4
2006-02-17,0,4
2006-02-18,0,4
2006-02-19,0,4
2006-02-20,27.75,4
2006-02-21,0,4
2006-02-22,8.25,4
2006-02-23,29.5,4
2006-02-24,9.25,4
2006-02-25,0,4
2006-02-26,0,4
2006-02-27,8,4
2006-02-28,0,4
2006-03-01,0,4
2006-03-02,0,5
2006-03-03,7.2,5
2006-03-04,0,5
2006-03-05,0,5
2006-03-06,6.4,5
2006-03-07,0,5
2006-03-08,0,5
2006-03-09,9.2,5
2006-03-10,32.4,5
2006-03-11,0,5
2006-03-12,0,5
2006-03-13,14,5
2006-03-14,0,5
2006-03-15,18.2,5
2006-03-16,0,5
2006-03-17,17.166666666666668,6
2006-03-18,8.5,6
2006-03-19,8.166666666666666,6
2006-03-20,27,6
2006-03-21,0,6
2006-03-22,5.166666666666667,6
2006-03-23,34.333333333333336,6
2006-03-24,0,6
2006-03-25,0,6
2006-03-26,20.333333333333332,6
2006-03-27,0,6
2006-03-28,24,6
2006-03-29,0,6
2006-03-30,13.333333333333334,6
2006-03-31,8.5,6
2006-04-01,30,7
2006-04-02,0,7
2006-04-03,21.428571428571427,7
2006-04-04,22.714285714285715,7
2006-04-05,15.285714285714286,7
2006-04-06,0,7
2006-04-07,0,7
2006-04-08,0,7
2006-04-09,30.714285714285715,7
2006-04-10,0,7
2006-04-11,32.857142857142854,7
2006-04-12,23.142857142857142,7
2006-04-13,5.142857142857143,7
2006-04-14,0,7
2006-04-15,8,7
2006-04-16,10.25,8
2006-04-17,0,8
2006-04-18,25,8
2006-04-19,16.875,8
2006-04-20,19.125,8
2006-04-21,0,8
2006-04-22,34.875,8
2006-04-23,5.375,8
2006-04-24,16.625,8
2006-04-25,3.75,8
2006-04-26,18.625,8
2006-04-27,0,8
2006-04-28,46.625,8
2006-04-29,22,8
2006-04-30,0,8
2006-05-01,0,9
2006-05-02,13.444444444444445,9
2006-05-03,42.666666666666664,9
2006-05-04,22.333333333333332,9
2006-05-05,38.333333333333336,9
2006-05-06,22.444444444444443,9
2006-05-07,0,9
2006-05-08,7.666666666666667,9
