time,value,n
2006-01-01,77,35
2006-02-01,76.98571428571428,70
2006-03-01,64.83098591549293,71
2006-04-01,75.98611111111111,72
2006-05-01,66.86301369863011,73
2006-06-01,51.7972972972973,74
2006-07-01,88.30666666666669,75
2006-08-01,74.72368421052632,76
2006-09-01,51.8051948051948,77
2006-10-01,68.75641025641028,78
2006-11-01,74.56962025316456,79
2006-12-01,77.63750000000002,80
2007-01-01,73.6125,80
2007-02-01,76.8625,80
2007-03-01,68.7375,80
2007-04-01,55.875,80
2007-05-01,69.275,80
2007-06-01,59.55,80
2007-07-01,94.35,80
2007-08-01,79.6,80
2007-09-01,57.225,80
2007-10-01,62.7125,80
2007-11-01,65.0375,80
2007-12-01,77.225,80
2008-01-01,75.4625,80
2008-02-01,72.5375,80
2008-03-01,77.85,80
2008-04-01,57.2,80
2008-05-01,63.075,80
2008-06-01,53.4875,80
2008-07-01,89.225,80
2008-08-01,83.875,80
2008-09-01,58.275,80
2008-10-01,68.85,80
2008-11-01,72.63749999999999,80
2008-12-01,71.3125,80
2009-01-01,77.025,80
2009-02-01,73.74999999999999,80
2009-03-01,64.025,80
2009-04-01,64.0375,80
2009-05-01,59.525,80
2009-06-01,63.8125,80
2009-07-01,99.675,80
2009-08-01,77.4875,80
2009-09-01,63.8625,80
2009-10-01,71.05,80
2009-11-01,78.8375,80
2009-12-01,82.85,80
2010-01-01,88.725,80
2010-02-01,79.3375,80
2010-03-01,73.375,80
2010-04-01,66.20000000000002,80
2010-05-01,68.3875,80
2010-06-01,51.025,80
2010-07-01,82.875,80
2010-08-01,80.0625,80
2010-09-01,60.7,80
2010-10-01,75.8625,80
2010-11-01,73.85,80
2010-12-01,65.08750000000002,80
2011-01-01,72.9625,80
2011-02-01,69.28750000000001,80
2011-03-01,58.7125,80
2011-04-01,53.8875,80
2011-05-01,54.4875,80
2011-06-01,65.37500000000001,80
2011-07-01,89.8125,80
2011-08-01,67.95,80
2011-09-01,55.3625,80
2011-10-01,68.35000000000001,80
2011-11-01,79.3625,80
2011-12-01,76.025,80
2012-01-01,73.35,80
2012-02-01,68.175,80
2012-03-01,56.7875,80
2012-04-01,73.33750000000002,80
2012-05-01,57.7625,80
2012-06-01,50.525,80
2012-07-01,77.8125,80
2012-08-01,66.225,80
2012-09-01,59.85,80
2012-10-01,66.8625,80
2012-11-01,77.24999999999999,80
2012-12-01,74.87500000000003,80
2013-01-01,66.8625,80
2013-02-01,64.9125,80
2013-03-01,65.5125,80
2013-04-01,61.1125,80
2013-05-01,66.11250000000003,80
2013-06-01,56.35,80
2013-07-01,67.6125,80
2013-08-01,64.3875,80
2013-09-01,51.0125,80
2013-10-01,63.3875,80
2013-11-01,65,80
2013-12-01,73.58749999999999,80
2014-01-01,67.70000000000002,80
2014-02-01,59.2375,80
2014-03-01,52.05,80
2014-04-01,57.0875,80
2014-05-01,47.7375,80
2014-06-01,40.5125,80
2014-07-01,65.12499999999999,80
2014-08-01,67.725,80
2014-09-01,46.15,80
2014-10-01,58.95,80
2014-11-01,65.8,80
2014-12-01,71.98750000000001,80
2015-01-01,66.6625,80
2015-02-01,74.4875,80
2015-03-01,57.5125,80
2015-04-01,66.22500000000002,80
2015-05-01,53.3375,80
2015-06-01,49.025,80
2015-07-01,78.675,80
2015-08-01,75.3375,80
2015-09-01,54.55,80
2015-10-01,75.0625,80
2015-11-01,75.8,80
2015-12-01,82.325,80
2016-01-01,85.23750000000003,80
2016-02-01,83.4,80
2016-03-01,71.1125,80
2016-04-01,66.82499999999997,80
2016-05-01,55.1,80
2016-06-01,50.7125,80
2016-07-01,66.725,80
2016-08-01,66.5,80
2016-09-01,62.875,80
2016-10-01,76.475,80
2016-11-01,67.325,80
2016-12-01,78.7625,80
2017-01-01,78.99999999999997,80
2017-02-01,81.45,80
2017-03-01,68.67500000000003,80
2017-04-01,72.02499999999998,80
2017-05-01,49.825,80
2017-06-01,51.6625,80
2017-07-01,72.6625,80
2017-08-01,63.88750000000001,80
2017-09-01,63.125,80
2017-10-01,66.21250000000002,80
2017-11-01,63.625,80
2017-12-01,78.875,80
2018-01-01,72.9875,80
2018-02-01,78.625,80
2018-03-01,64.525,80
2018-04-01,50.2375,80
2018-05-01,50.475,80
2018-06-01,35.6625,80
2018-07-01,58.6375,80
2018-08-01,66.07500000000002,80
2018-09-01,55.8125,80
2018-10-01,65.13749999999997,80
2018-11-01,66.775,80
2018-12-01,73.825,80
2019-01-01,66.55,80
2019-02-01,64.7375,80
2019-03-01,57.1625,80
2019-04-01,63.9125,80
2019-05-01,53.3875,80
2019-06-01,49.05,80
2019-07-01,70.2125,80
2019-08-01,70.6625,80
2019-09-01,53.0875,80
2019-10-01,69.6125,80
2019-11-01,70.11250000000001,80
2019-12-01,74.3875,80
2020-01-01,62.7125,80
2020-02-01,62.3625,80
2020-03-01,22.7,80
2020-04-01,10.212499999999999,80
2020-05-01,11.657894736842104,38
