time,value,n
2006-01-01,9.374999999999998,24
2006-02-01,7.875,48
2006-03-01,9.918367346938773,49
2006-04-01,12.82,50
2006-05-01,14.294117647058824,51
2006-06-01,17.461538461538456,52
2006-07-01,10.641509433962264,53
2006-08-01,13.537037037037036,54
2006-09-01,13.345454545454547,55
2006-10-01,16.357142857142858,56
2006-11-01,14.807017543859649,57
2006-12-01,13.120689655172415,58
2007-01-01,13.120689655172415,58
2007-02-01,10.293103448275861,58
2007-03-01,14.258620689655173,58
2007-04-01,22.586206896551722,58
2007-05-01,13.120689655172415,58
2007-06-01,15.206896551724139,58
2007-07-01,11.258620689655173,58
2007-08-01,12.310344827586206,58
2007-09-01,18.241379310344836,58
2007-10-01,17.13793103448276,58
2007-11-01,18.603448275862068,58
2007-12-01,16.53448275862069,58
2008-01-01,11.724137931034482,58
2008-02-01,10.862068965517244,58
2008-03-01,13.258620689655173,58
2008-04-01,15.655172413793103,58
2008-05-01,16.293103448275865,58
2008-06-01,13.413793103448276,58
2008-07-01,14.448275862068966,58
2008-08-01,15.413793103448276,58
2008-09-01,21.310344827586206,58
2008-10-01,22.068965517241384,58
2008-11-01,17.879310344827584,58
2008-12-01,19.362068965517242,58
2009-01-01,14.810344827586206,58
2009-02-01,15.206896551724139,58
2009-03-01,19.379310344827587,58
2009-04-01,20.20689655172414,58
2009-05-01,18.896551724137932,58
2009-06-01,17.39655172413793,58
2009-07-01,15.482758620689655,58
2009-08-01,14.275862068965518,58
2009-09-01,22.48275862068966,58
2009-10-01,22,58
2009-11-01,21.551724137931036,58
2009-12-01,21.67241379310345,58
2010-01-01,18.12068965517242,58
2010-02-01,15.637931034482758,58
2010-03-01,23.637931034482758,58
2010-04-01,26,58
2010-05-01,19.93103448275862,58
2010-06-01,20.89655172413794,58
2010-07-01,19.637931034482758,58
2010-08-01,20.206896551724135,58
2010-09-01,26.06896551724138,58
2010-10-01,27.75862068965517,58
2010-11-01,27.655172413793103,58
2010-12-01,30.086206896551722,58
2011-01-01,20.413793103448278,58
2011-02-01,18.844827586206897,58
2011-03-01,26.603448275862068,58
2011-04-01,28.982758620689655,58
2011-05-01,23.344827586206897,58
2011-06-01,19.91379310344828,58
2011-07-01,22.948275862068964,58
2011-08-01,19.310344827586214,58
2011-09-01,30.724137931034484,58
2011-10-01,33.39655172413792,58
2011-11-01,32.75862068965517,58
2011-12-01,31.517241379310345,58
2012-01-01,22.517241379310345,58
2012-02-01,24.96551724137931,58
2012-03-01,45.293103448275865,58
2012-04-01,39.36206896551724,58
2012-05-01,36.63793103448277,58
2012-06-01,34.12068965517242,58
2012-07-01,29.017241379310345,58
2012-08-01,28.482758620689655,58
2012-09-01,58.293103448275865,58
2012-10-01,53.62068965517241,58
2012-11-01,40.310344827586206,58
2012-12-01,40.13793103448276,58
2013-01-01,31.75862068965517,58
2013-02-01,31.06896551724138,58
2013-03-01,47.44827586206897,58
2013-04-01,50.758620689655174,58
2013-05-01,41.44827586206897,58
2013-06-01,43.56896551724138,58
2013-07-01,35.89655172413793,58
2013-08-01,35.50000000000001,58
2013-09-01,50.172413793103445,58
2013-10-01,47.58620689655172,58
2013-11-01,49.94827586206897,58
2013-12-01,39.5,58
2014-01-01,34.896551724137936,58
2014-02-01,34.810344827586206,58
2014-03-01,49.94827586206897,58
2014-04-01,53.12068965517241,58
2014-05-01,47.39655172413793,58
2014-06-01,50.55172413793103,58
2014-07-01,38.15517241379311,58
2014-08-01,43.120689655172406,58
2014-09-01,54.12068965517241,58
2014-10-01,54.327586206896555,58
2014-11-01,48.01724137931034,58
2014-12-01,48.89655172413793,58
2015-01-01,41.793103448275865,58
2015-02-01,36.74137931034482,58
2015-03-01,51.43103448275862,58
2015-04-01,56.741379310344826,58
2015-05-01,50.63793103448276,58
2015-06-01,52.6551724137931,58
2015-07-01,46.189655172413794,58
2015-08-01,43.08620689655172,58
2015-09-01,59.689655172413794,58
2015-10-01,53.810344827586206,58
2015-11-01,50.08620689655172,58
2015-12-01,46.44827586206897,58
2016-01-01,44.37931034482759,58
2016-02-01,39.48275862068966,58
2016-03-01,53.10344827586207,58
