time,value,n
2006-01-01,31.6,35
2006-02-01,27.414285714285715,70
2006-03-01,30.64788732394366,71
2006-04-01,32.013888888888886,72
2006-05-01,29.315068493150687,73
2006-06-01,30.756756756756758,74
2006-07-01,33.693333333333335,75
2006-08-01,31.63157894736842,76
2006-09-01,31.532467532467532,77
2006-10-01,30.846153846153847,78
2006-11-01,33.835443037974684,79
2006-12-01,40.8125,80
2007-01-01,35.16249999999999,80
2007-02-01,48.7375,80
2007-03-01,39.7625,80
2007-04-01,35.65,80
2007-05-01,38.1375,80
2007-06-01,38.0875,80
2007-07-01,40.5125,80
2007-08-01,39.21250000000001,80
2007-09-01,41.025,80
2007-10-01,39.225,80
2007-11-01,37.45,80
2007-12-01,42.35,80
2008-01-01,38.525,80
2008-02-01,38.5125,80
2008-03-01,36.6375,80
2008-04-01,38.925,80
2008-05-01,37.837500000000006,80
2008-06-01,36.3375,80
2008-07-01,43.5,80
2008-08-01,40.9,80
2008-09-01,39.9625,80
2008-10-01,35.625,80
2008-11-01,39.08749999999999,80
2008-12-01,51.9125,80
2009-01-01,39.05,80
2009-02-01,40.45,80
2009-03-01,37.912499999999994,80
2009-04-01,38.6875,80
2009-05-01,38.2625,80
2009-06-01,40.0125,80
2009-07-01,44.1625,80
2009-08-01,40.5125,80
2009-09-01,41.15,80
2009-10-01,37.8375,80
2009-11-01,39.3125,80
2009-12-01,47.7625,80
2010-01-01,44.1,80
2010-02-01,40.15,80
2010-03-01,38.8875,80
2010-04-01,37.7,80
2010-05-01,39.7,80
2010-06-01,39.4,80
2010-07-01,54.2375,80
2010-08-01,50.5625,80
2010-09-01,46.3125,80
2010-10-01,49.525,80
2010-11-01,51.0625,80
2010-12-01,73.27499999999998,80
2011-01-01,49.35,80
2011-02-01,48.9,80
2011-03-01,46.2125,80
2011-04-01,51.9,80
2011-05-01,50.2875,80
2011-06-01,57.3125,80
2011-07-01,63.8,80
2011-08-01,56.35,80
2011-09-01,56.975,80
2011-10-01,51.85,80
2011-11-01,51.1,80
2011-12-01,69.8,80
2012-01-01,60.8375,80
2012-02-01,62.0125,80
2012-03-01,52.15,80
2012-04-01,55.375,80
2012-05-01,57.475,80
2012-06-01,58.3,80
2012-07-01,64.71250000000002,80
2012-08-01,63.525,80
2012-09-01,61.9125,80
2012-10-01,58.2125,80
2012-11-01,55.9625,80
2012-12-01,81.0625,80
2013-01-01,61.625,80
2013-02-01,63.275,80
2013-03-01,60.7,80
2013-04-01,57.1375,80
2013-05-01,60.8375,80
2013-06-01,65.73750000000001,80
2013-07-01,72.4125,80
2013-08-01,73.875,80
2013-09-01,69.3,80
2013-10-01,65.225,80
2013-11-01,64.97500000000002,80
2013-12-01,82.9,80
2014-01-01,70.06249999999999,80
2014-02-01,65.95000000000002,80
2014-03-01,68.3,80
2014-04-01,70.4,80
2014-05-01,69.55,80
2014-06-01,74.8625,80
2014-07-01,82.0875,80
2014-08-01,80.4375,80
2014-09-01,75.9625,80
2014-10-01,69.13749999999997,80
2014-11-01,73.8375,80
2014-12-01,90.175,80
2015-01-01,79.85,80
2015-02-01,78.875,80
2015-03-01,71.5875,80
2015-04-01,77.275,80
2015-05-01,80.9125,80
2015-06-01,83.0875,80
2015-07-01,95.825,80
2015-08-01,89,80
2015-09-01,84.9875,80
2015-10-01,82.11250000000001,80
2015-11-01,75.8875,80
2015-12-01,93.29999999999998,80
2016-01-01,83.9875,80
2016-02-01,81.65,80
2016-03-01,78.4,80
2016-04-01,79.325,80
2016-05-01,82.4125,80
2016-06-01,80.0125,80
2016-07-01,93.8875,80
2016-08-01,84.7125,80
2016-09-01,85.5875,80
2016-10-01,81.125,80
2016-11-01,73.4625,80
2016-12-01,89.8875,80
2017-01-01,88.9125,80
2017-02-01,80.4625,80
2017-03-01,75.77499999999999,80
2017-04-01,81.6625,80
2017-05-01,76.2375,80
2017-06-01,86.5875,80
2017-07-01,97.8875,80
2017-08-01,84.575,80
2017-09-01,82.7625,80
2017-10-01,77.38750000000002,80
2017-11-01,75.74999999999997,80
2017-12-01,98.5875,80
2018-01-01,79.1,80
2018-02-01,81.2375,80
2018-03-01,80.0875,80
2018-04-01,89.1125,80
2018-05-01,81.475,80
2018-06-01,85.6375,80
2018-07-01,95.8375,80
2018-08-01,88.7625,80
2018-09-01,85.8,80
2018-10-01,78.45000000000002,80
2018-11-01,74.325,80
2018-12-01,95.7375,80
2019-01-01,81.3875,80
2019-02-01,80.1375,80
2019-03-01,80,80
2019-04-01,77.575,80
2019-05-01,78.1625,80
2019-06-01,86.05,80
2019-07-01,94.2,80
2019-08-01,87.3125,80
2019-09-01,82.925,80
2019-10-01,75.25,80
2019-11-01,74.2125,80
2019-12-01,90.8625,80
2020-01-01,76.125,80
2020-02-01,75.32499999999997,80
2020-03-01,44.2625,80
2020-04-01,27.8125,80
2020-05-01,37.10526315789474,38
