window,time,value
2019-04-23 2020-04-23,2019-04-28,32
2019-04-23 2020-04-23,2019-05-05,33
2019-04-23 2020-04-23,2019-05-12,41
2019-04-23 2020-04-23,2019-05-19,27
2019-04-23 2020-04-23,2019-05-26,15
2019-04-23 2020-04-23,2019-06-02,31
2019-04-23 2020-04-23,2019-06-09,33
2019-04-23 2020-04-23,2019-06-16,21
2019-04-23 2020-04-23,2019-06-23,23
2019-04-23 2020-04-23,2019-06-30,25
2019-04-23 2020-04-23,2019-07-07,24
2019-04-23 2020-04-23,2019-07-14,27
2019-04-23 2020-04-23,2019-07-21,39
2019-04-23 2020-04-23,2019-07-28,38
2019-04-23 2020-04-23,2019-08-04,27
2019-04-23 2020-04-23,2019-08-11,35
2019-04-23 2020-04-23,2019-08-18,30
2019-04-23 2020-04-23,2019-08-25,18
2019-04-23 2020-04-23,2019-09-01,18
2019-04-23 2020-04-23,2019-09-08,37
2019-04-23 2020-04-23,2019-09-15,29
2019-04-23 2020-04-23,2019-09-22,33
2019-04-23 2020-04-23,2019-09-29,46
2019-04-23 2020-04-23,2019-10-06,45
2019-04-23 2020-04-23,2019-10-13,46
2019-04-23 2020-04-23,2019-10-20,28
2019-04-23 2020-04-23,2019-10-27,38
2019-04-23 2020-04-23,2019-11-03,68
2019-04-23 2020-04-23,2019-11-10,62
2019-04-23 2020-04-23,2019-11-17,62
2019-04-23 2020-04-23,2019-11-24,80
2019-04-23 2020-04-23,2019-12-01,57
2019-04-23 2020-04-23,2019-12-08,66
2019-04-23 2020-04-23,2019-12-15,70
2019-04-23 2020-04-23,2019-12-22,84
2019-04-23 2020-04-23,2019-12-29,100
2019-04-23 2020-04-23,2020-01-05,51
2019-04-23 2020-04-23,2020-01-12,58
2019-04-23 2020-04-23,2020-01-19,53
2019-04-23 2020-04-23,2020-01-26,51
2019-04-23 2020-04-23,2020-02-02,54
2019-04-23 2020-04-23,2020-02-09,46
2019-04-23 2020-04-23,2020-02-16,50
2019-04-23 2020-04-23,2020-02-23,42
2019-04-23 2020-04-23,2020-03-01,38
2019-04-23 2020-04-23,2020-03-08,29
2019-04-23 2020-04-23,2020-03-15,22
2019-04-23 2020-04-23,2020-03-22,37
2019-04-23 2020-04-23,2020-03-29,27
2019-04-23 2020-04-23,2020-04-05,32
2019-04-23 2020-04-23,2020-04-12,41
2019-04-23 2020-04-23,2020-04-19,39
2019-04-30 2020-04-23,2019-05-05,27
2019-04-30 2020-04-23,2019-05-12,30
2019-04-30 2020-04-23,2019-05-19,32
2019-04-30 2020-04-23,2019-05-26,28
2019-04-30 2020-04-23,2019-06-02,34
2019-04-30 2020-04-23,2019-06-09,41
2019-04-30 2020-04-23,2019-06-16,29
2019-04-30 2020-04-23,2019-06-23,23
2019-04-30 2020-04-23,2019-06-30,33
2019-04-30 2020-04-23,2019-07-07,26
2019-04-30 2020-04-23,2019-07-14,42
2019-04-30 2020-04-23,2019-07-21,35
2019-04-30 2020-04-23,2019-07-28,46
2019-04-30 2020-04-23,2019-08-04,30
2019-04-30 2020-04-23,2019-08-11,26
2019-04-30 2020-04-23,2019-08-18,34
2019-04-30 2020-04-23,2019-08-25,30
2019-04-30 2020-04-23,2019-09-01,39
2019-04-30 2020-04-23,2019-09-08,36
2019-04-30 2020-04-23,2019-09-15,46
2019-04-30 2020-04-23,2019-09-22,44
2019-04-30 2020-04-23,2019-09-29,44
2019-04-30 2020-04-23,2019-10-06,35
2019-04-30 2020-04-23,2019-10-13,35
2019-04-30 2020-04-23,2019-10-20,31
2019-04-30 2020-04-23,2019-10-27,44
2019-04-30 2020-04-23,2019-11-03,45
2019-04-30 2020-04-23,2019-11-10,64
2019-04-30 2020-04-23,2019-11-17,75
2019-04-30 2020-04-23,2019-11-24,100
2019-04-30 2020-04-23,2019-12-01,64
2019-04-30 2020-04-23,2019-12-08,97
2019-04-30 2020-04-23,2019-12-15,74
2019-04-30 2020-04-23,2019-12-22,77
2019-04-30 2020-04-23,2019-12-29,88
2019-04-30 2020-04-23,2020-01-05,78
2019-04-30 2020-04-23,2020-01-12,65
2019-04-30 2020-04-23,2020-01-19,55
2019-04-30 2020-04-23,2020-01-26,61
2019-04-30 2020-04-23,2020-02-02,60
2019-04-30 2020-04-23,2020-02-09,53
2019-04-30 2020-04-23,2020-02-16,39
2019-04-30 2020-04-23,2020-02-23,50
2019-04-30 2020-04-23,2020-03-01,56
2019-04-30 2020-04-23,2020-03-08,25
2019-04-30 2020-04-23,2020-03-15,34
2019-04-30 2020-04-23,2020-03-22,52
2019-04-30 2020-04-23,2020-03-29,36
2019-04-30 2020-04-23,2020-04-05,38
2019-04-30 2020-04-23,2020-04-12,43
2019-04-30 2020-04-23,2020-04-19,24
