window,time,value
2020-02-13 2020-05-13,2020-02-13,62
2020-02-13 2020-05-13,2020-02-14,75
2020-02-13 2020-05-13,2020-02-15,80
2020-02-13 2020-05-13,2020-02-16,58
2020-02-13 2020-05-13,2020-02-17,56
2020-02-13 2020-05-13,2020-02-18,39
2020-02-13 2020-05-13,2020-02-19,39
2020-02-13 2020-05-13,2020-02-20,41
2020-02-13 2020-05-13,2020-02-21,52
2020-02-13 2020-05-13,2020-02-22,97
2020-02-13 2020-05-13,2020-02-23,53
2020-02-13 2020-05-13,2020-02-24,30
2020-02-13 2020-05-13,2020-02-25,40
2020-02-13 2020-05-13,2020-02-26,47
2020-02-13 2020-05-13,2020-02-27,34
2020-02-13 2020-05-13,2020-02-28,56
2020-02-13 2020-05-13,2020-02-29,100
2020-02-13 2020-05-13,2020-03-01,61
2020-02-13 2020-05-13,2020-03-02,33
2020-02-13 2020-05-13,2020-03-03,29
2020-02-13 2020-05-13,2020-03-04,37
2020-02-13 2020-05-13,2020-03-05,40
2020-02-13 2020-05-13,2020-03-06,42
2020-02-13 2020-05-13,2020-03-07,70
2020-02-13 2020-05-13,2020-03-08,51
2020-02-13 2020-05-13,2020-03-09,26
2020-02-13 2020-05-13,2020-03-10,16
2020-02-13 2020-05-13,2020-03-11,29
2020-02-13 2020-05-13,2020-03-12,18
2020-02-13 2020-05-13,2020-03-13,32
2020-02-13 2020-05-13,2020-03-14,45
2020-02-13 2020-05-13,2020-03-15,24
2020-02-13 2020-05-13,2020-03-16,10
2020-02-13 2020-05-13,2020-03-17,9
2020-02-13 2020-05-13,2020-03-18,10
2020-02-13 2020-05-13,2020-03-19,10
2020-02-13 2020-05-13,2020-03-20,8
2020-02-13 2020-05-13,2020-03-21,16
2020-02-13 2020-05-13,2020-03-22,8
2020-02-13 2020-05-13,2020-03-23,4
2020-02-13 2020-05-13,2020-03-24,5
2020-02-13 2020-05-13,2020-03-25,2
2020-02-13 2020-05-13,2020-03-26,9
2020-02-13 2020-05-13,2020-03-27,8
2020-02-13 2020-05-13,2020-03-28,13
2020-02-13 2020-05-13,2020-03-29,8
2020-02-13 2020-05-13,2020-03-30,8
2020-02-13 2020-05-13,2020-03-31,8
2020-02-13 2020-05-13,2020-04-01,5
2020-02-13 2020-05-13,2020-04-02,10
2020-02-13 2020-05-13,2020-04-03,8
2020-02-13 2020-05-13,2020-04-04,15
2020-02-13 2020-05-13,2020-04-05,12
2020-02-13 2020-05-13,2020-04-06,7
2020-02-13 2020-05-13,2020-04-07,7
2020-02-13 2020-05-13,2020-04-08,10
2020-02-13 2020-05-13,2020-04-09,7
2020-02-13 2020-05-13,2020-04-10,13
2020-02-13 2020-05-13,2020-04-11,9
2020-02-13 2020-05-13,2020-04-12,11
2020-02-13 2020-05-13,2020-04-13,13
2020-02-13 2020-05-13,2020-04-14,6
2020-02-13 2020-05-13,2020-04-15,6
2020-02-13 2020-05-13,2020-04-16,8
2020-02-13 2020-05-13,2020-04-17,7
2020-02-13 2020-05-13,2020-04-18,9
2020-02-13 2020-05-13,2020-04-19,17
2020-02-13 2020-05-13,2020-04-20,8
2020-02-13 2020-05-13,2020-04-21,7
2020-02-13 2020-05-13,2020-04-22,13
2020-02-13 2020-05-13,2020-04-23,7
2020-02-13 2020-05-13,2020-04-24,12
2020-02-13 2020-05-13,2020-04-25,14
2020-02-13 2020-05-13,2020-04-26,13
2020-02-13 2020-05-13,2020-04-27,5
2020-02-13 2020-05-13,2020-04-28,9
2020-02-13 2020-05-13,2020-04-29,9
2020-02-13 2020-05-13,2020-04-30,6
2020-02-13 2020-05-13,2020-05-01,15
2020-02-13 2020-05-13,2020-05-02,7
2020-02-13 2020-05-13,2020-05-03,15
2020-02-13 2020-05-13,2020-05-04,9
2020-02-13 2020-05-13,2020-05-05,9
2020-02-13 2020-05-13,2020-05-06,9
2020-02-13 2020-05-13,2020-05-07,7
2020-02-13 2020-05-13,2020-05-08,11
2020-02-13 2020-05-13,2020-05-09,7
2020-02-14 2020-05-13,2020-02-14,81
2020-02-14 2020-05-13,2020-02-15,86
2020-02-14 2020-05-13,2020-02-16,71
2020-02-14 2020-05-13,2020-02-17,55
2020-02-14 2020-05-13,2020-02-18,46
2020-02-14 2020-05-13,2020-02-19,50
2020-02-14 2020-05-13,2020-02-20,42
2020-02-14 2020-05-13,2020-02-21,45
2020-02-14 2020-05-13,2020-02-22,84
2020-02-14 2020-05-13,2020-02-23,79
2020-02-14 2020-05-13,2020-02-24,36
2020-02-14 2020-05-13,2020-02-25,45
2020-02-14 2020-05-13,2020-02-26,51
2020-02-14 2020-05-13,2020-02-27,54
2020-02-14 2020-05-13,2020-02-28,66
2020-02-14 2020-05-13,2020-02-29,100
2020-02-14 2020-05-13,2020-03-01,69
2020-02-14 2020-05-13,2020-03-02,30
2020-02-14 2020-05-13,2020-03-03,32
2020-02-14 2020-05-13,2020-03-04,43
2020-02-14 2020-05-13,2020-03-05,44
2020-02-14 2020-05-13,2020-03-06,37
2020-02-14 2020-05-13,2020-03-07,68
2020-02-14 2020-05-13,2020-03-08,55
2020-02-14 2020-05-13,2020-03-09,26
2020-02-14 2020-05-13,2020-03-10,18
