window,time,value
2019-05-21 2020-05-21,2019-05-26,41
2019-05-21 2020-05-21,2019-06-02,31
2019-05-21 2020-05-21,2019-06-09,61
2019-05-21 2020-05-21,2019-06-16,37
2019-05-21 2020-05-21,2019-06-23,35
2019-05-21 2020-05-21,2019-06-30,47
2019-05-21 2020-05-21,2019-07-07,50
2019-05-21 2020-05-21,2019-07-14,59
2019-05-21 2020-05-21,2019-07-21,69
2019-05-21 2020-05-21,2019-07-28,75
2019-05-21 2020-05-21,2019-08-04,72
2019-05-21 2020-05-21,2019-08-11,59
2019-05-21 2020-05-21,2019-08-18,59
2019-05-21 2020-05-21,2019-08-25,52
2019-05-21 2020-05-21,2019-09-01,63
2019-05-21 2020-05-21,2019-09-08,44
2019-05-21 2020-05-21,2019-09-15,38
2019-05-21 2020-05-21,2019-09-22,41
2019-05-21 2020-05-21,2019-09-29,49
2019-05-21 2020-05-21,2019-10-06,64
2019-05-21 2020-05-21,2019-10-13,68
2019-05-21 2020-05-21,2019-10-20,64
2019-05-21 2020-05-21,2019-10-27,63
2019-05-21 2020-05-21,2019-11-03,57
2019-05-21 2020-05-21,2019-11-10,56
2019-05-21 2020-05-21,2019-11-17,62
2019-05-21 2020-05-21,2019-11-24,54
2019-05-21 2020-05-21,2019-12-01,55
2019-05-21 2020-05-21,2019-12-08,51
2019-05-21 2020-05-21,2019-12-15,55
2019-05-21 2020-05-21,2019-12-22,100
2019-05-21 2020-05-21,2019-12-29,94
2019-05-21 2020-05-21,2020-01-05,50
2019-05-21 2020-05-21,2020-01-12,49
2019-05-21 2020-05-21,2020-01-19,51
2019-05-21 2020-05-21,2020-01-26,57
2019-05-21 2020-05-21,2020-02-02,60
2019-05-21 2020-05-21,2020-02-09,54
2019-05-21 2020-05-21,2020-02-16,52
2019-05-21 2020-05-21,2020-02-23,45
2019-05-21 2020-05-21,2020-03-01,39
2019-05-21 2020-05-21,2020-03-08,27
2019-05-21 2020-05-21,2020-03-15,10
2019-05-21 2020-05-21,2020-03-22,9
2019-05-21 2020-05-21,2020-03-29,11
2019-05-21 2020-05-21,2020-04-05,9
2019-05-21 2020-05-21,2020-04-12,10
2019-05-21 2020-05-21,2020-04-19,10
2019-05-21 2020-05-21,2020-04-26,8
2019-05-21 2020-05-21,2020-05-03,8
2019-05-21 2020-05-21,2020-05-10,11
2019-05-21 2020-05-21,2020-05-17,14
2019-05-28 2020-05-21,2019-06-02,32
2019-05-28 2020-05-21,2019-06-09,61
2019-05-28 2020-05-21,2019-06-16,37
2019-05-28 2020-05-21,2019-06-23,37
2019-05-28 2020-05-21,2019-06-30,47
2019-05-28 2020-05-21,2019-07-07,51
2019-05-28 2020-05-21,2019-07-14,64
2019-05-28 2020-05-21,2019-07-21,76
2019-05-28 2020-05-21,2019-07-28,77
2019-05-28 2020-05-21,2019-08-04,76
2019-05-28 2020-05-21,2019-08-11,61
2019-05-28 2020-05-21,2019-08-18,58
2019-05-28 2020-05-21,2019-08-25,46
2019-05-28 2020-05-21,2019-09-01,60
2019-05-28 2020-05-21,2019-09-08,42
2019-05-28 2020-05-21,2019-09-15,38
2019-05-28 2020-05-21,2019-09-22,41
2019-05-28 2020-05-21,2019-09-29,47
2019-05-28 2020-05-21,2019-10-06,59
2019-05-28 2020-05-21,2019-10-13,65
2019-05-28 2020-05-21,2019-10-20,65
2019-05-28 2020-05-21,2019-10-27,63
2019-05-28 2020-05-21,2019-11-03,59
2019-05-28 2020-05-21,2019-11-10,55
2019-05-28 2020-05-21,2019-11-17,63
2019-05-28 2020-05-21,2019-11-24,56
2019-05-28 2020-05-21,2019-12-01,51
2019-05-28 2020-05-21,2019-12-08,50
2019-05-28 2020-05-21,2019-12-15,61
2019-05-28 2020-05-21,2019-12-22,100
2019-05-28 2020-05-21,2019-12-29,90
2019-05-28 2020-05-21,2020-01-05,52
2019-05-28 2020-05-21,2020-01-12,50
2019-05-28 2020-05-21,2020-01-19,52
2019-05-28 2020-05-21,2020-01-26,59
2019-05-28 2020-05-21,2020-02-02,55
2019-05-28 2020-05-21,2020-02-09,57
2019-05-28 2020-05-21,2020-02-16,51
2019-05-28 2020-05-21,2020-02-23,51
2019-05-28 2020-05-21,2020-03-01,39
2019-05-28 2020-05-21,2020-03-08,27
2019-05-28 2020-05-21,2020-03-15,8
2019-05-28 2020-05-21,2020-03-22,8
2019-05-28 2020-05-21,2020-03-29,10
2019-05-28 2020-05-21,2020-04-05,8
2019-05-28 2020-05-21,2020-04-12,8
2019-05-28 2020-05-21,2020-04-19,10
2019-05-28 2020-05-21,2020-04-26,10
2019-05-28 2020-05-21,2020-05-03,9
2019-05-28 2020-05-21,2020-05-10,11
2019-05-28 2020-05-21,2020-05-17,14
