window,time,value
2019-05-22 2020-05-22,2019-05-26,20
2019-05-22 2020-05-22,2019-06-02,21
2019-05-22 2020-05-22,2019-06-09,19
2019-05-22 2020-05-22,2019-06-16,23
2019-05-22 2020-05-22,2019-06-23,24
2019-05-22 2020-05-22,2019-06-30,39
2019-05-22 2020-05-22,2019-07-07,16
2019-05-22 2020-05-22,2019-07-14,20
2019-05-22 2020-05-22,2019-07-21,24
2019-05-22 2020-05-22,2019-07-28,17
2019-05-22 2020-05-22,2019-08-04,22
2019-05-22 2020-05-22,2019-08-11,10
2019-05-22 2020-05-22,2019-08-18,11
2019-05-22 2020-05-22,2019-08-25,14
2019-05-22 2020-05-22,2019-09-01,9
2019-05-22 2020-05-22,2019-09-08,9
2019-05-22 2020-05-22,2019-09-15,8
2019-05-22 2020-05-22,2019-09-22,11
2019-05-22 2020-05-22,2019-09-29,13
2019-05-22 2020-05-22,2019-10-06,9
2019-05-22 2020-05-22,2019-10-13,10
2019-05-22 2020-05-22,2019-10-20,12
2019-05-22 2020-05-22,2019-10-27,9
2019-05-22 2020-05-22,2019-11-03,13
2019-05-22 2020-05-22,2019-11-10,12
2019-05-22 2020-05-22,2019-11-17,13
2019-05-22 2020-05-22,2019-11-24,15
2019-05-22 2020-05-22,2019-12-01,12
2019-05-22 2020-05-22,2019-12-08,14
2019-05-22 2020-05-22,2019-12-15,11
2019-05-22 2020-05-22,2019-12-22,9
2019-05-22 2020-05-22,2019-12-29,9
2019-05-22 2020-05-22,2020-01-05,8
2019-05-22 2020-05-22,2020-01-12,8
2019-05-22 2020-05-22,2020-01-19,11
2019-05-22 2020-05-22,2020-01-26,9
2019-05-22 2020-05-22,2020-02-02,8
2019-05-22 2020-05-22,2020-02-09,9
2019-05-22 2020-05-22,2020-02-16,12
2019-05-22 2020-05-22,2020-02-23,10
2019-05-22 2020-05-22,2020-03-01,17
2019-05-22 2020-05-22,2020-03-08,11
2019-05-22 2020-05-22,2020-03-15,33
2019-05-22 2020-05-22,2020-03-22,35
2019-05-22 2020-05-22,2020-03-29,45
2019-05-22 2020-05-22,2020-04-05,62
2019-05-22 2020-05-22,2020-04-12,50
2019-05-22 2020-05-22,2020-04-19,61
2019-05-22 2020-05-22,2020-04-26,100
2019-05-22 2020-05-22,2020-05-03,69
2019-05-22 2020-05-22,2020-05-10,49
2019-05-22 2020-05-22,2020-05-17,54
2019-05-29 2020-05-22,2019-06-02,25
2019-05-29 2020-05-22,2019-06-09,16
2019-05-29 2020-05-22,2019-06-16,22
2019-05-29 2020-05-22,2019-06-23,38
2019-05-29 2020-05-22,2019-06-30,32
2019-05-29 2020-05-22,2019-07-07,21
2019-05-29 2020-05-22,2019-07-14,22
2019-05-29 2020-05-22,2019-07-21,32
2019-05-29 2020-05-22,2019-07-28,21
2019-05-29 2020-05-22,2019-08-04,21
2019-05-29 2020-05-22,2019-08-11,15
2019-05-29 2020-05-22,2019-08-18,18
2019-05-29 2020-05-22,2019-08-25,18
2019-05-29 2020-05-22,2019-09-01,15
2019-05-29 2020-05-22,2019-09-08,15
2019-05-29 2020-05-22,2019-09-15,19
2019-05-29 2020-05-22,2019-09-22,10
2019-05-29 2020-05-22,2019-09-29,14
2019-05-29 2020-05-22,2019-10-06,16
2019-05-29 2020-05-22,2019-10-13,14
2019-05-29 2020-05-22,2019-10-20,14
2019-05-29 2020-05-22,2019-10-27,10
2019-05-29 2020-05-22,2019-11-03,11
2019-05-29 2020-05-22,2019-11-10,15
2019-05-29 2020-05-22,2019-11-17,18
2019-05-29 2020-05-22,2019-11-24,8
2019-05-29 2020-05-22,2019-12-01,16
2019-05-29 2020-05-22,2019-12-08,20
2019-05-29 2020-05-22,2019-12-15,14
2019-05-29 2020-05-22,2019-12-22,13
2019-05-29 2020-05-22,2019-12-29,9
2019-05-29 2020-05-22,2020-01-05,9
2019-05-29 2020-05-22,2020-01-12,13
2019-05-29 2020-05-22,2020-01-19,21
2019-05-29 2020-05-22,2020-01-26,11
2019-05-29 2020-05-22,2020-02-02,13
2019-05-29 2020-05-22,2020-02-09,11
2019-05-29 2020-05-22,2020-02-16,19
2019-05-29 2020-05-22,2020-02-23,11
2019-05-29 2020-05-22,2020-03-01,15
2019-05-29 2020-05-22,2020-03-08,14
2019-05-29 2020-05-22,2020-03-15,44
2019-05-29 2020-05-22,2020-03-22,37
2019-05-29 2020-05-22,2020-03-29,52
2019-05-29 2020-05-22,2020-04-05,88
2019-05-29 2020-05-22,2020-04-12,60
2019-05-29 2020-05-22,2020-04-19,70
2019-05-29 2020-05-22,2020-04-26,100
2019-05-29 2020-05-22,2020-05-03,90
2019-05-29 2020-05-22,2020-05-10,59
2019-05-29 2020-05-22,2020-05-17,67
