window,time,value
2019-05-28 2020-05-28,2019-06-02,67
2019-05-28 2020-05-28,2019-06-09,52
2019-05-28 2020-05-28,2019-06-16,55
2019-05-28 2020-05-28,2019-06-23,65
2019-05-28 2020-05-28,2019-06-30,54
2019-05-28 2020-05-28,2019-07-07,52
2019-05-28 2020-05-28,2019-07-14,50
2019-05-28 2020-05-28,2019-07-21,47
2019-05-28 2020-05-28,2019-07-28,42
2019-05-28 2020-05-28,2019-08-04,47
2019-05-28 2020-05-28,2019-08-11,55
2019-05-28 2020-05-28,2019-08-18,58
2019-05-28 2020-05-28,2019-08-25,47
2019-05-28 2020-05-28,2019-09-01,59
2019-05-28 2020-05-28,2019-09-08,56
2019-05-28 2020-05-28,2019-09-15,49
2019-05-28 2020-05-28,2019-09-22,57
2019-05-28 2020-05-28,2019-09-29,59
2019-05-28 2020-05-28,2019-10-06,52
2019-05-28 2020-05-28,2019-10-13,50
2019-05-28 2020-05-28,2019-10-20,51
2019-05-28 2020-05-28,2019-10-27,59
2019-05-28 2020-05-28,2019-11-03,62
2019-05-28 2020-05-28,2019-11-10,71
2019-05-28 2020-05-28,2019-11-17,59
2019-05-28 2020-05-28,2019-11-24,100
2019-05-28 2020-05-28,2019-12-01,63
2019-05-28 2020-05-28,2019-12-08,68
2019-05-28 2020-05-28,2019-12-15,59
2019-05-28 2020-05-28,2019-12-22,44
2019-05-28 2020-05-28,2019-12-29,51
2019-05-28 2020-05-28,2020-01-05,42
2019-05-28 2020-05-28,2020-01-12,42
2019-05-28 2020-05-28,2020-01-19,47
2019-05-28 2020-05-28,2020-01-26,40
2019-05-28 2020-05-28,2020-02-02,34
2019-05-28 2020-05-28,2020-02-09,36
2019-05-28 2020-05-28,2020-02-16,38
2019-05-28 2020-05-28,2020-02-23,38
2019-05-28 2020-05-28,2020-03-01,39
2019-05-28 2020-05-28,2020-03-08,36
2019-05-28 2020-05-28,2020-03-15,34
2019-05-28 2020-05-28,2020-03-22,29
2019-05-28 2020-05-28,2020-03-29,37
2019-05-28 2020-05-28,2020-04-05,62
2019-05-28 2020-05-28,2020-04-12,70
2019-05-28 2020-05-28,2020-04-19,61
2019-05-28 2020-05-28,2020-04-26,60
2019-05-28 2020-05-28,2020-05-03,53
2019-05-28 2020-05-28,2020-05-10,88
2019-05-28 2020-05-28,2020-05-17,73
2019-05-28 2020-05-28,2020-05-24,74
2019-06-04 2020-05-28,2019-06-09,56
2019-06-04 2020-05-28,2019-06-16,55
2019-06-04 2020-05-28,2019-06-23,80
2019-06-04 2020-05-28,2019-06-30,69
2019-06-04 2020-05-28,2019-07-07,51
2019-06-04 2020-05-28,2019-07-14,48
2019-06-04 2020-05-28,2019-07-21,56
2019-06-04 2020-05-28,2019-07-28,46
2019-06-04 2020-05-28,2019-08-04,50
2019-06-04 2020-05-28,2019-08-11,58
2019-06-04 2020-05-28,2019-08-18,54
2019-06-04 2020-05-28,2019-08-25,45
2019-06-04 2020-05-28,2019-09-01,55
2019-06-04 2020-05-28,2019-09-08,58
2019-06-04 2020-05-28,2019-09-15,51
2019-06-04 2020-05-28,2019-09-22,60
2019-06-04 2020-05-28,2019-09-29,60
2019-06-04 2020-05-28,2019-10-06,55
2019-06-04 2020-05-28,2019-10-13,54
2019-06-04 2020-05-28,2019-10-20,55
2019-06-04 2020-05-28,2019-10-27,64
2019-06-04 2020-05-28,2019-11-03,74
2019-06-04 2020-05-28,2019-11-10,76
2019-06-04 2020-05-28,2019-11-17,68
2019-06-04 2020-05-28,2019-11-24,100
2019-06-04 2020-05-28,2019-12-01,70
2019-06-04 2020-05-28,2019-12-08,68
2019-06-04 2020-05-28,2019-12-15,63
2019-06-04 2020-05-28,2019-12-22,53
2019-06-04 2020-05-28,2019-12-29,54
2019-06-04 2020-05-28,2020-01-05,48
2019-06-04 2020-05-28,2020-01-12,43
2019-06-04 2020-05-28,2020-01-19,45
2019-06-04 2020-05-28,2020-01-26,38
2019-06-04 2020-05-28,2020-02-02,41
2019-06-04 2020-05-28,2020-02-09,39
2019-06-04 2020-05-28,2020-02-16,45
2019-06-04 2020-05-28,2020-02-23,40
2019-06-04 2020-05-28,2020-03-01,40
2019-06-04 2020-05-28,2020-03-08,37
2019-06-04 2020-05-28,2020-03-15,35
2019-06-04 2020-05-28,2020-03-22,29
2019-06-04 2020-05-28,2020-03-29,48
2019-06-04 2020-05-28,2020-04-05,69
2019-06-04 2020-05-28,2020-04-12,77
2019-06-04 2020-05-28,2020-04-19,63
2019-06-04 2020-05-28,2020-04-26,65
2019-06-04 2020-05-28,2020-05-03,57
2019-06-04 2020-05-28,2020-05-10,93
2019-06-04 2020-05-28,2020-05-17,81
2019-06-04 2020-05-28,2020-05-24,77
