window,time,value
2019-05-17 2020-05-17,2019-05-19,68
2019-05-17 2020-05-17,2019-05-26,79
2019-05-17 2020-05-17,2019-06-02,88
2019-05-17 2020-05-17,2019-06-09,67
2019-05-17 2020-05-17,2019-06-16,73
2019-05-17 2020-05-17,2019-06-23,88
2019-05-17 2020-05-17,2019-06-30,83
2019-05-17 2020-05-17,2019-07-07,65
2019-05-17 2020-05-17,2019-07-14,53
2019-05-17 2020-05-17,2019-07-21,63
2019-05-17 2020-05-17,2019-07-28,58
2019-05-17 2020-05-17,2019-08-04,57
2019-05-17 2020-05-17,2019-08-11,52
2019-05-17 2020-05-17,2019-08-18,57
2019-05-17 2020-05-17,2019-08-25,59
2019-05-17 2020-05-17,2019-09-01,72
2019-05-17 2020-05-17,2019-09-08,74
2019-05-17 2020-05-17,2019-09-15,69
2019-05-17 2020-05-17,2019-09-22,71
2019-05-17 2020-05-17,2019-09-29,79
2019-05-17 2020-05-17,2019-10-06,74
2019-05-17 2020-05-17,2019-10-13,62
2019-05-17 2020-05-17,2019-10-20,69
2019-05-17 2020-05-17,2019-10-27,72
2019-05-17 2020-05-17,2019-11-03,70
2019-05-17 2020-05-17,2019-11-10,73
2019-05-17 2020-05-17,2019-11-17,71
2019-05-17 2020-05-17,2019-11-24,94
2019-05-17 2020-05-17,2019-12-01,73
2019-05-17 2020-05-17,2019-12-08,71
2019-05-17 2020-05-17,2019-12-15,67
2019-05-17 2020-05-17,2019-12-22,84
2019-05-17 2020-05-17,2019-12-29,69
2019-05-17 2020-05-17,2020-01-05,48
2019-05-17 2020-05-17,2020-01-12,47
2019-05-17 2020-05-17,2020-01-19,54
2019-05-17 2020-05-17,2020-01-26,54
2019-05-17 2020-05-17,2020-02-02,55
2019-05-17 2020-05-17,2020-02-09,53
2019-05-17 2020-05-17,2020-02-16,59
2019-05-17 2020-05-17,2020-02-23,50
2019-05-17 2020-05-17,2020-03-01,61
2019-05-17 2020-05-17,2020-03-08,49
2019-05-17 2020-05-17,2020-03-15,39
2019-05-17 2020-05-17,2020-03-22,53
2019-05-17 2020-05-17,2020-03-29,69
2019-05-17 2020-05-17,2020-04-05,82
2019-05-17 2020-05-17,2020-04-12,84
2019-05-17 2020-05-17,2020-04-19,87
2019-05-17 2020-05-17,2020-04-26,82
2019-05-17 2020-05-17,2020-05-03,75
2019-05-17 2020-05-17,2020-05-10,100
2019-05-24 2020-05-17,2019-05-26,73
2019-05-24 2020-05-17,2019-06-02,84
2019-05-24 2020-05-17,2019-06-09,74
2019-05-24 2020-05-17,2019-06-16,79
2019-05-24 2020-05-17,2019-06-23,96
2019-05-24 2020-05-17,2019-06-30,79
2019-05-24 2020-05-17,2019-07-07,62
2019-05-24 2020-05-17,2019-07-14,53
2019-05-24 2020-05-17,2019-07-21,63
2019-05-24 2020-05-17,2019-07-28,63
2019-05-24 2020-05-17,2019-08-04,53
2019-05-24 2020-05-17,2019-08-11,52
2019-05-24 2020-05-17,2019-08-18,55
2019-05-24 2020-05-17,2019-08-25,59
2019-05-24 2020-05-17,2019-09-01,75
2019-05-24 2020-05-17,2019-09-08,80
2019-05-24 2020-05-17,2019-09-15,76
2019-05-24 2020-05-17,2019-09-22,77
2019-05-24 2020-05-17,2019-09-29,77
2019-05-24 2020-05-17,2019-10-06,75
2019-05-24 2020-05-17,2019-10-13,76
2019-05-24 2020-05-17,2019-10-20,75
2019-05-24 2020-05-17,2019-10-27,76
2019-05-24 2020-05-17,2019-11-03,82
2019-05-24 2020-05-17,2019-11-10,75
2019-05-24 2020-05-17,2019-11-17,80
2019-05-24 2020-05-17,2019-11-24,100
2019-05-24 2020-05-17,2019-12-01,75
2019-05-24 2020-05-17,2019-12-08,78
2019-05-24 2020-05-17,2019-12-15,77
2019-05-24 2020-05-17,2019-12-22,78
2019-05-24 2020-05-17,2019-12-29,73
2019-05-24 2020-05-17,2020-01-05,52
2019-05-24 2020-05-17,2020-01-12,50
2019-05-24 2020-05-17,2020-01-19,54
2019-05-24 2020-05-17,2020-01-26,54
2019-05-24 2020-05-17,2020-02-02,53
2019-05-24 2020-05-17,2020-02-09,56
2019-05-24 2020-05-17,2020-02-16,53
2019-05-24 2020-05-17,2020-02-23,51
2019-05-24 2020-05-17,2020-03-01,62
2019-05-24 2020-05-17,2020-03-08,49
2019-05-24 2020-05-17,2020-03-15,46
2019-05-24 2020-05-17,2020-03-22,55
2019-05-24 2020-05-17,2020-03-29,72
2019-05-24 2020-05-17,2020-04-05,87
2019-05-24 2020-05-17,2020-04-12,96
2019-05-24 2020-05-17,2020-04-19,79
2019-05-24 2020-05-17,2020-04-26,91
2019-05-24 2020-05-17,2020-05-03,72
2019-05-24 2020-05-17,2020-05-10,100
