window,time,value
2020-02-28 2020-05-28,2020-02-28,71
2020-02-28 2020-05-28,2020-02-29,0
2020-02-28 2020-05-28,2020-03-01,0
2020-02-28 2020-05-28,2020-03-02,33
2020-02-28 2020-05-28,2020-03-03,34
2020-02-28 2020-05-28,2020-03-04,45
2020-02-28 2020-05-28,2020-03-05,33
2020-02-28 2020-05-28,2020-03-06,35
2020-02-28 2020-05-28,2020-03-07,0
2020-02-28 2020-05-28,2020-03-08,41
2020-02-28 2020-05-28,2020-03-09,32
2020-02-28 2020-05-28,2020-03-10,64
2020-02-28 2020-05-28,2020-03-11,33
2020-02-28 2020-05-28,2020-03-12,33
2020-02-28 2020-05-28,2020-03-13,32
2020-02-28 2020-05-28,2020-03-14,0
2020-02-28 2020-05-28,2020-03-15,0
2020-02-28 2020-05-28,2020-03-16,31
2020-02-28 2020-05-28,2020-03-17,33
2020-02-28 2020-05-28,2020-03-18,68
2020-02-28 2020-05-28,2020-03-19,35
2020-02-28 2020-05-28,2020-03-20,34
2020-02-28 2020-05-28,2020-03-21,66
2020-02-28 2020-05-28,2020-03-22,56
2020-02-28 2020-05-28,2020-03-23,45
2020-02-28 2020-05-28,2020-03-24,32
2020-02-28 2020-05-28,2020-03-25,54
2020-02-28 2020-05-28,2020-03-26,33
2020-02-28 2020-05-28,2020-03-27,33
2020-02-28 2020-05-28,2020-03-28,81
2020-02-28 2020-05-28,2020-03-29,49
2020-02-28 2020-05-28,2020-03-30,61
2020-02-28 2020-05-28,2020-03-31,32
2020-02-28 2020-05-28,2020-04-01,33
2020-02-28 2020-05-28,2020-04-02,33
2020-02-28 2020-05-28,2020-04-03,0
2020-02-28 2020-05-28,2020-04-04,84
2020-02-28 2020-05-28,2020-04-05,0
2020-02-28 2020-05-28,2020-04-06,33
2020-02-28 2020-05-28,2020-04-07,34
2020-02-28 2020-05-28,2020-04-08,34
2020-02-28 2020-05-28,2020-04-09,35
2020-02-28 2020-05-28,2020-04-10,0
2020-02-28 2020-05-28,2020-04-11,0
2020-02-28 2020-05-28,2020-04-12,0
2020-02-28 2020-05-28,2020-04-13,0
2020-02-28 2020-05-28,2020-04-14,0
2020-02-28 2020-05-28,2020-04-15,34
2020-02-28 2020-05-28,2020-04-16,0
2020-02-28 2020-05-28,2020-04-17,53
2020-02-28 2020-05-28,2020-04-18,62
2020-02-28 2020-05-28,2020-04-19,39
2020-02-28 2020-05-28,2020-04-20,47
2020-02-28 2020-05-28,2020-04-21,32
2020-02-28 2020-05-28,2020-04-22,34
2020-02-28 2020-05-28,2020-04-23,51
2020-02-28 2020-05-28,2020-04-24,35
2020-02-28 2020-05-28,2020-04-25,41
2020-02-28 2020-05-28,2020-04-26,0
2020-02-28 2020-05-28,2020-04-27,32
2020-02-28 2020-05-28,2020-04-28,61
2020-02-28 2020-05-28,2020-04-29,31
2020-02-28 2020-05-28,2020-04-30,30
2020-02-28 2020-05-28,2020-05-01,34
2020-02-28 2020-05-28,2020-05-02,0
2020-02-28 2020-05-28,2020-05-03,39
2020-02-28 2020-05-28,2020-05-04,32
2020-02-28 2020-05-28,2020-05-05,59
2020-02-28 2020-05-28,2020-05-06,32
2020-02-28 2020-05-28,2020-05-07,46
2020-02-28 2020-05-28,2020-05-08,0
2020-02-28 2020-05-28,2020-05-09,43
2020-02-28 2020-05-28,2020-05-10,40
2020-02-28 2020-05-28,2020-05-11,62
2020-02-28 2020-05-28,2020-05-12,64
2020-02-28 2020-05-28,2020-05-13,32
2020-02-28 2020-05-28,2020-05-14,0
2020-02-28 2020-05-28,2020-05-15,57
2020-02-28 2020-05-28,2020-05-16,41
2020-02-28 2020-05-28,2020-05-17,0
2020-02-28 2020-05-28,2020-05-18,100
2020-02-28 2020-05-28,2020-05-19,52
2020-02-28 2020-05-28,2020-05-20,53
2020-02-28 2020-05-28,2020-05-21,42
2020-02-28 2020-05-28,2020-05-22,38
2020-02-28 2020-05-28,2020-05-23,57
2020-02-28 2020-05-28,2020-05-24,41
2020-02-28 2020-05-28,2020-05-25,33
2020-02-29 2020-05-28,2020-02-29,0
2020-02-29 2020-05-28,2020-03-01,0
2020-02-29 2020-05-28,2020-03-02,33
2020-02-29 2020-05-28,2020-03-03,0
2020-02-29 2020-05-28,2020-03-04,34
2020-02-29 2020-05-28,2020-03-05,33
2020-02-29 2020-05-28,2020-03-06,35
2020-02-29 2020-05-28,2020-03-07,41
2020-02-29 2020-05-28,2020-03-08,40
2020-02-29 2020-05-28,2020-03-09,0
2020-02-29 2020-05-28,2020-03-10,0
2020-02-29 2020-05-28,2020-03-11,0
2020-02-29 2020-05-28,2020-03-12,49
2020-02-29 2020-05-28,2020-03-13,31
2020-02-29 2020-05-28,2020-03-14,39
2020-02-29 2020-05-28,2020-03-15,39
2020-02-29 2020-05-28,2020-03-16,30
2020-02-29 2020-05-28,2020-03-17,0
2020-02-29 2020-05-28,2020-03-18,100
2020-02-29 2020-05-28,2020-03-19,34
2020-02-29 2020-05-28,2020-03-20,0
2020-02-29 2020-05-28,2020-03-21,39
2020-02-29 2020-05-28,2020-03-22,36
2020-02-29 2020-05-28,2020-03-23,30
2020-02-29 2020-05-28,2020-03-24,31
2020-02-29 2020-05-28,2020-03-25,0
2020-02-29 2020-05-28,2020-03-26,32
2020-02-29 2020-05-28,2020-03-27,64
2020-02-29 2020-05-28,2020-03-28,40
2020-02-29 2020-05-28,2020-03-29,55
2020-02-29 2020-05-28,2020-03-30,45
2020-02-29 2020-05-28,2020-03-31,47
2020-02-29 2020-05-28,2020-04-01,33
2020-02-29 2020-05-28,2020-04-02,49
2020-02-29 2020-05-28,2020-04-03,33
2020-02-29 2020-05-28,2020-04-04,62
2020-02-29 2020-05-28,2020-04-05,0
2020-02-29 2020-05-28,2020-04-06,32
2020-02-29 2020-05-28,2020-04-07,34
2020-02-29 2020-05-28,2020-04-08,34
2020-02-29 2020-05-28,2020-04-09,35
2020-02-29 2020-05-28,2020-04-10,0
2020-02-29 2020-05-28,2020-04-11,0
2020-02-29 2020-05-28,2020-04-12,41
2020-02-29 2020-05-28,2020-04-13,38
2020-02-29 2020-05-28,2020-04-14,0
2020-02-29 2020-05-28,2020-04-15,34
2020-02-29 2020-05-28,2020-04-16,33
2020-02-29 2020-05-28,2020-04-17,35
2020-02-29 2020-05-28,2020-04-18,0
2020-02-29 2020-05-28,2020-04-19,77
2020-02-29 2020-05-28,2020-04-20,31
2020-02-29 2020-05-28,2020-04-21,47
2020-02-29 2020-05-28,2020-04-22,0
2020-02-29 2020-05-28,2020-04-23,50
2020-02-29 2020-05-28,2020-04-24,34
2020-02-29 2020-05-28,2020-04-25,0
2020-02-29 2020-05-28,2020-04-26,38
2020-02-29 2020-05-28,2020-04-27,47
2020-02-29 2020-05-28,2020-04-28,30
2020-02-29 2020-05-28,2020-04-29,30
2020-02-29 2020-05-28,2020-04-30,87
2020-02-29 2020-05-28,2020-05-01,44
2020-02-29 2020-05-28,2020-05-02,36
2020-02-29 2020-05-28,2020-05-03,57
2020-02-29 2020-05-28,2020-05-04,31
2020-02-29 2020-05-28,2020-05-05,29
2020-02-29 2020-05-28,2020-05-06,32
2020-02-29 2020-05-28,2020-05-07,34
2020-02-29 2020-05-28,2020-05-08,35
2020-02-29 2020-05-28,2020-05-09,0
2020-02-29 2020-05-28,2020-05-10,39
2020-02-29 2020-05-28,2020-05-11,61
2020-02-29 2020-05-28,2020-05-12,42
2020-02-29 2020-05-28,2020-05-13,31
2020-02-29 2020-05-28,2020-05-14,0
2020-02-29 2020-05-28,2020-05-15,99
2020-02-29 2020-05-28,2020-05-16,61
2020-02-29 2020-05-28,2020-05-17,0
2020-02-29 2020-05-28,2020-05-18,66
2020-02-29 2020-05-28,2020-05-19,0
2020-02-29 2020-05-28,2020-05-20,45
2020-02-29 2020-05-28,2020-05-21,42
2020-02-29 2020-05-28,2020-05-22,0
2020-02-29 2020-05-28,2020-05-23,75
2020-02-29 2020-05-28,2020-05-24,80
2020-02-29 2020-05-28,2020-05-25,33
