window,time,value
2019-06-01 2020-06-01,2019-06-02,26
2019-06-01 2020-06-01,2019-06-09,55
2019-06-01 2020-06-01,2019-06-16,36
2019-06-01 2020-06-01,2019-06-23,27
2019-06-01 2020-06-01,2019-06-30,40
2019-06-01 2020-06-01,2019-07-07,58
2019-06-01 2020-06-01,2019-07-14,62
2019-06-01 2020-06-01,2019-07-21,67
2019-06-01 2020-06-01,2019-07-28,84
2019-06-01 2020-06-01,2019-08-04,72
2019-06-01 2020-06-01,2019-08-11,62
2019-06-01 2020-06-01,2019-08-18,43
2019-06-01 2020-06-01,2019-08-25,44
2019-06-01 2020-06-01,2019-09-01,56
2019-06-01 2020-06-01,2019-09-08,41
2019-06-01 2020-06-01,2019-09-15,34
2019-06-01 2020-06-01,2019-09-22,43
2019-06-01 2020-06-01,2019-09-29,55
2019-06-01 2020-06-01,2019-10-06,63
2019-06-01 2020-06-01,2019-10-13,58
2019-06-01 2020-06-01,2019-10-20,47
2019-06-01 2020-06-01,2019-10-27,63
2019-06-01 2020-06-01,2019-11-03,65
2019-06-01 2020-06-01,2019-11-10,61
2019-06-01 2020-06-01,2019-11-17,64
2019-06-01 2020-06-01,2019-11-24,50
2019-06-01 2020-06-01,2019-12-01,49
2019-06-01 2020-06-01,2019-12-08,50
2019-06-01 2020-06-01,2019-12-15,60
2019-06-01 2020-06-01,2019-12-22,100
2019-06-01 2020-06-01,2019-12-29,88
2019-06-01 2020-06-01,2020-01-05,45
2019-06-01 2020-06-01,2020-01-12,59
2019-06-01 2020-06-01,2020-01-19,61
2019-06-01 2020-06-01,2020-01-26,62
2019-06-01 2020-06-01,2020-02-02,60
2019-06-01 2020-06-01,2020-02-09,62
2019-06-01 2020-06-01,2020-02-16,53
2019-06-01 2020-06-01,2020-02-23,54
2019-06-01 2020-06-01,2020-03-01,42
2019-06-01 2020-06-01,2020-03-08,34
2019-06-01 2020-06-01,2020-03-15,9
2019-06-01 2020-06-01,2020-03-22,4
2019-06-01 2020-06-01,2020-03-29,5
2019-06-01 2020-06-01,2020-04-05,3
2019-06-01 2020-06-01,2020-04-12,3
2019-06-01 2020-06-01,2020-04-19,3
2019-06-01 2020-06-01,2020-04-26,5
2019-06-01 2020-06-01,2020-05-03,4
2019-06-01 2020-06-01,2020-05-10,5
2019-06-01 2020-06-01,2020-05-17,7
2019-06-01 2020-06-01,2020-05-24,7
2019-06-08 2020-06-01,2019-06-09,56
2019-06-08 2020-06-01,2019-06-16,39
2019-06-08 2020-06-01,2019-06-23,27
2019-06-08 2020-06-01,2019-06-30,43
2019-06-08 2020-06-01,2019-07-07,62
2019-06-08 2020-06-01,2019-07-14,63
2019-06-08 2020-06-01,2019-07-21,70
2019-06-08 2020-06-01,2019-07-28,86
2019-06-08 2020-06-01,2019-08-04,75
2019-06-08 2020-06-01,2019-08-11,63
2019-06-08 2020-06-01,2019-08-18,42
2019-06-08 2020-06-01,2019-08-25,42
2019-06-08 2020-06-01,2019-09-01,56
2019-06-08 2020-06-01,2019-09-08,42
2019-06-08 2020-06-01,2019-09-15,36
2019-06-08 2020-06-01,2019-09-22,41
2019-06-08 2020-06-01,2019-09-29,55
2019-06-08 2020-06-01,2019-10-06,62
2019-06-08 2020-06-01,2019-10-13,60
2019-06-08 2020-06-01,2019-10-20,51
2019-06-08 2020-06-01,2019-10-27,65
2019-06-08 2020-06-01,2019-11-03,68
2019-06-08 2020-06-01,2019-11-10,63
2019-06-08 2020-06-01,2019-11-17,63
2019-06-08 2020-06-01,2019-11-24,56
2019-06-08 2020-06-01,2019-12-01,50
2019-06-08 2020-06-01,2019-12-08,51
2019-06-08 2020-06-01,2019-12-15,62
2019-06-08 2020-06-01,2019-12-22,100
2019-06-08 2020-06-01,2019-12-29,90
2019-06-08 2020-06-01,2020-01-05,48
2019-06-08 2020-06-01,2020-01-12,61
2019-06-08 2020-06-01,2020-01-19,65
2019-06-08 2020-06-01,2020-01-26,61
2019-06-08 2020-06-01,2020-02-02,62
2019-06-08 2020-06-01,2020-02-09,65
2019-06-08 2020-06-01,2020-02-16,54
2019-06-08 2020-06-01,2020-02-23,51
2019-06-08 2020-06-01,2020-03-01,44
2019-06-08 2020-06-01,2020-03-08,34
2019-06-08 2020-06-01,2020-03-15,9
2019-06-08 2020-06-01,2020-03-22,4
2019-06-08 2020-06-01,2020-03-29,6
2019-06-08 2020-06-01,2020-04-05,4
2019-06-08 2020-06-01,2020-04-12,3
2019-06-08 2020-06-01,2020-04-19,3
2019-06-08 2020-06-01,2020-04-26,5
2019-06-08 2020-06-01,2020-05-03,4
2019-06-08 2020-06-01,2020-05-10,7
2019-06-08 2020-06-01,2020-05-17,6
2019-06-08 2020-06-01,2020-05-24,7
