window,time,value
2019-06-04 2020-06-04,2019-06-09,65
2019-06-04 2020-06-04,2019-06-16,81
2019-06-04 2020-06-04,2019-06-23,81
2019-06-04 2020-06-04,2019-06-30,76
2019-06-04 2020-06-04,2019-07-07,65
2019-06-04 2020-06-04,2019-07-14,57
2019-06-04 2020-06-04,2019-07-21,65
2019-06-04 2020-06-04,2019-07-28,63
2019-06-04 2020-06-04,2019-08-04,60
2019-06-04 2020-06-04,2019-08-11,57
2019-06-04 2020-06-04,2019-08-18,55
2019-06-04 2020-06-04,2019-08-25,57
2019-06-04 2020-06-04,2019-09-01,56
2019-06-04 2020-06-04,2019-09-08,68
2019-06-04 2020-06-04,2019-09-15,56
2019-06-04 2020-06-04,2019-09-22,68
2019-06-04 2020-06-04,2019-09-29,66
2019-06-04 2020-06-04,2019-10-06,65
2019-06-04 2020-06-04,2019-10-13,69
2019-06-04 2020-06-04,2019-10-20,72
2019-06-04 2020-06-04,2019-10-27,66
2019-06-04 2020-06-04,2019-11-03,72
2019-06-04 2020-06-04,2019-11-10,76
2019-06-04 2020-06-04,2019-11-17,67
2019-06-04 2020-06-04,2019-11-24,99
2019-06-04 2020-06-04,2019-12-01,66
2019-06-04 2020-06-04,2019-12-08,72
2019-06-04 2020-06-04,2019-12-15,79
2019-06-04 2020-06-04,2019-12-22,100
2019-06-04 2020-06-04,2019-12-29,85
2019-06-04 2020-06-04,2020-01-05,60
2019-06-04 2020-06-04,2020-01-12,53
2019-06-04 2020-06-04,2020-01-19,70
2019-06-04 2020-06-04,2020-01-26,58
2019-06-04 2020-06-04,2020-02-02,61
2019-06-04 2020-06-04,2020-02-09,58
2019-06-04 2020-06-04,2020-02-16,70
2019-06-04 2020-06-04,2020-02-23,66
2019-06-04 2020-06-04,2020-03-01,66
2019-06-04 2020-06-04,2020-03-08,61
2019-06-04 2020-06-04,2020-03-15,39
2019-06-04 2020-06-04,2020-03-22,52
2019-06-04 2020-06-04,2020-03-29,58
2019-06-04 2020-06-04,2020-04-05,76
2019-06-04 2020-06-04,2020-04-12,78
2019-06-04 2020-06-04,2020-04-19,78
2019-06-04 2020-06-04,2020-04-26,72
2019-06-04 2020-06-04,2020-05-03,73
2019-06-04 2020-06-04,2020-05-10,76
2019-06-04 2020-06-04,2020-05-17,93
2019-06-04 2020-06-04,2020-05-24,81
2019-06-04 2020-06-04,2020-05-31,100
2019-06-11 2020-06-04,2019-06-16,75
2019-06-11 2020-06-04,2019-06-23,77
2019-06-11 2020-06-04,2019-06-30,82
2019-06-11 2020-06-04,2019-07-07,70
2019-06-11 2020-06-04,2019-07-14,64
2019-06-11 2020-06-04,2019-07-21,70
2019-06-11 2020-06-04,2019-07-28,54
2019-06-11 2020-06-04,2019-08-04,53
2019-06-11 2020-06-04,2019-08-11,63
2019-06-11 2020-06-04,2019-08-18,58
2019-06-11 2020-06-04,2019-08-25,52
2019-06-11 2020-06-04,2019-09-01,60
2019-06-11 2020-06-04,2019-09-08,63
2019-06-11 2020-06-04,2019-09-15,69
2019-06-11 2020-06-04,2019-09-22,65
2019-06-11 2020-06-04,2019-09-29,69
2019-06-11 2020-06-04,2019-10-06,76
2019-06-11 2020-06-04,2019-10-13,69
2019-06-11 2020-06-04,2019-10-20,75
2019-06-11 2020-06-04,2019-10-27,71
2019-06-11 2020-06-04,2019-11-03,64
2019-06-11 2020-06-04,2019-11-10,74
2019-06-11 2020-06-04,2019-11-17,73
2019-06-11 2020-06-04,2019-11-24,100
2019-06-11 2020-06-04,2019-12-01,68
2019-06-11 2020-06-04,2019-12-08,72
2019-06-11 2020-06-04,2019-12-15,75
2019-06-11 2020-06-04,2019-12-22,94
2019-06-11 2020-06-04,2019-12-29,88
2019-06-11 2020-06-04,2020-01-05,67
2019-06-11 2020-06-04,2020-01-12,50
2019-06-11 2020-06-04,2020-01-19,68
2019-06-11 2020-06-04,2020-01-26,62
2019-06-11 2020-06-04,2020-02-02,59
2019-06-11 2020-06-04,2020-02-09,60
2019-06-11 2020-06-04,2020-02-16,71
2019-06-11 2020-06-04,2020-02-23,67
2019-06-11 2020-06-04,2020-03-01,58
2019-06-11 2020-06-04,2020-03-08,60
2019-06-11 2020-06-04,2020-03-15,43
2019-06-11 2020-06-04,2020-03-22,56
2019-06-11 2020-06-04,2020-03-29,57
2019-06-11 2020-06-04,2020-04-05,75
2019-06-11 2020-06-04,2020-04-12,76
2019-06-11 2020-06-04,2020-04-19,82
2019-06-11 2020-06-04,2020-04-26,72
2019-06-11 2020-06-04,2020-05-03,79
2019-06-11 2020-06-04,2020-05-10,79
2019-06-11 2020-06-04,2020-05-17,73
2019-06-11 2020-06-04,2020-05-24,89
2019-06-11 2020-06-04,2020-05-31,97
