window,time,value
2019-05-14 2020-05-14,2019-05-19,8
2019-05-14 2020-05-14,2019-05-26,72
2019-05-14 2020-05-14,2019-06-02,68
2019-05-14 2020-05-14,2019-06-09,17
2019-05-14 2020-05-14,2019-06-16,35
2019-05-14 2020-05-14,2019-06-23,46
2019-05-14 2020-05-14,2019-06-30,36
2019-05-14 2020-05-14,2019-07-07,62
2019-05-14 2020-05-14,2019-07-14,38
2019-05-14 2020-05-14,2019-07-21,41
2019-05-14 2020-05-14,2019-07-28,42
2019-05-14 2020-05-14,2019-08-04,19
2019-05-14 2020-05-14,2019-08-11,44
2019-05-14 2020-05-14,2019-08-18,43
2019-05-14 2020-05-14,2019-08-25,51
2019-05-14 2020-05-14,2019-09-01,57
2019-05-14 2020-05-14,2019-09-08,51
2019-05-14 2020-05-14,2019-09-15,75
2019-05-14 2020-05-14,2019-09-22,66
2019-05-14 2020-05-14,2019-09-29,33
2019-05-14 2020-05-14,2019-10-06,68
2019-05-14 2020-05-14,2019-10-13,33
2019-05-14 2020-05-14,2019-10-20,32
2019-05-14 2020-05-14,2019-10-27,57
2019-05-14 2020-05-14,2019-11-03,24
2019-05-14 2020-05-14,2019-11-10,24
2019-05-14 2020-05-14,2019-11-17,24
2019-05-14 2020-05-14,2019-11-24,87
2019-05-14 2020-05-14,2019-12-01,49
2019-05-14 2020-05-14,2019-12-08,32
2019-05-14 2020-05-14,2019-12-15,24
2019-05-14 2020-05-14,2019-12-22,68
2019-05-14 2020-05-14,2019-12-29,56
2019-05-14 2020-05-14,2020-01-05,15
2019-05-14 2020-05-14,2020-01-12,53
2019-05-14 2020-05-14,2020-01-19,31
2019-05-14 2020-05-14,2020-01-26,8
2019-05-14 2020-05-14,2020-02-02,15
2019-05-14 2020-05-14,2020-02-09,47
2019-05-14 2020-05-14,2020-02-16,31
2019-05-14 2020-05-14,2020-02-23,37
2019-05-14 2020-05-14,2020-03-01,15
2019-05-14 2020-05-14,2020-03-08,21
2019-05-14 2020-05-14,2020-03-15,36
2019-05-14 2020-05-14,2020-03-22,21
2019-05-14 2020-05-14,2020-03-29,28
2019-05-14 2020-05-14,2020-04-05,45
2019-05-14 2020-05-14,2020-04-12,68
2019-05-14 2020-05-14,2020-04-19,42
2019-05-14 2020-05-14,2020-04-26,40
2019-05-14 2020-05-14,2020-05-03,21
2019-05-14 2020-05-14,2020-05-10,100
2019-05-21 2020-05-14,2019-05-26,92
2019-05-21 2020-05-14,2019-06-02,15
2019-05-21 2020-05-14,2019-06-09,36
2019-05-21 2020-05-14,2019-06-16,30
2019-05-21 2020-05-14,2019-06-23,32
2019-05-21 2020-05-14,2019-06-30,46
2019-05-21 2020-05-14,2019-07-07,54
2019-05-21 2020-05-14,2019-07-14,50
2019-05-21 2020-05-14,2019-07-21,35
2019-05-21 2020-05-14,2019-07-28,18
2019-05-21 2020-05-14,2019-08-04,33
2019-05-21 2020-05-14,2019-08-11,76
2019-05-21 2020-05-14,2019-08-18,73
2019-05-21 2020-05-14,2019-08-25,66
2019-05-21 2020-05-14,2019-09-01,14
2019-05-21 2020-05-14,2019-09-08,29
2019-05-21 2020-05-14,2019-09-15,36
2019-05-21 2020-05-14,2019-09-22,100
2019-05-21 2020-05-14,2019-09-29,22
2019-05-21 2020-05-14,2019-10-06,59
2019-05-21 2020-05-14,2019-10-13,29
2019-05-21 2020-05-14,2019-10-20,21
2019-05-21 2020-05-14,2019-10-27,42
2019-05-21 2020-05-14,2019-11-03,7
2019-05-21 2020-05-14,2019-11-10,21
2019-05-21 2020-05-14,2019-11-17,34
2019-05-21 2020-05-14,2019-11-24,54
2019-05-21 2020-05-14,2019-12-01,42
2019-05-21 2020-05-14,2019-12-08,41
2019-05-21 2020-05-14,2019-12-15,35
2019-05-21 2020-05-14,2019-12-22,25
2019-05-21 2020-05-14,2019-12-29,32
2019-05-21 2020-05-14,2020-01-05,53
2019-05-21 2020-05-14,2020-01-12,46
2019-05-21 2020-05-14,2020-01-19,46
2019-05-21 2020-05-14,2020-01-26,13
2019-05-21 2020-05-14,2020-02-02,20
2019-05-21 2020-05-14,2020-02-09,20
2019-05-21 2020-05-14,2020-02-16,14
2019-05-21 2020-05-14,2020-02-23,25
2019-05-21 2020-05-14,2020-03-01,6
2019-05-21 2020-05-14,2020-03-08,43
2019-05-21 2020-05-14,2020-03-15,19
2019-05-21 2020-05-14,2020-03-22,24
2019-05-21 2020-05-14,2020-03-29,18
2019-05-21 2020-05-14,2020-04-05,46
2019-05-21 2020-05-14,2020-04-12,52
2019-05-21 2020-05-14,2020-04-19,37
2019-05-21 2020-05-14,2020-04-26,53
2019-05-21 2020-05-14,2020-05-03,31
2019-05-21 2020-05-14,2020-05-10,0
