window,time,value
2019-05-30 2020-05-30,2019-06-02,60
2019-05-30 2020-05-30,2019-06-09,52
2019-05-30 2020-05-30,2019-06-16,56
2019-05-30 2020-05-30,2019-06-23,66
2019-05-30 2020-05-30,2019-06-30,55
2019-05-30 2020-05-30,2019-07-07,42
2019-05-30 2020-05-30,2019-07-14,46
2019-05-30 2020-05-30,2019-07-21,51
2019-05-30 2020-05-30,2019-07-28,22
2019-05-30 2020-05-30,2019-08-04,40
2019-05-30 2020-05-30,2019-08-11,43
2019-05-30 2020-05-30,2019-08-18,53
2019-05-30 2020-05-30,2019-08-25,68
2019-05-30 2020-05-30,2019-09-01,63
2019-05-30 2020-05-30,2019-09-08,66
2019-05-30 2020-05-30,2019-09-15,63
2019-05-30 2020-05-30,2019-09-22,50
2019-05-30 2020-05-30,2019-09-29,83
2019-05-30 2020-05-30,2019-10-06,57
2019-05-30 2020-05-30,2019-10-13,60
2019-05-30 2020-05-30,2019-10-20,73
2019-05-30 2020-05-30,2019-10-27,69
2019-05-30 2020-05-30,2019-11-03,73
2019-05-30 2020-05-30,2019-11-10,68
2019-05-30 2020-05-30,2019-11-17,93
2019-05-30 2020-05-30,2019-11-24,100
2019-05-30 2020-05-30,2019-12-01,79
2019-05-30 2020-05-30,2019-12-08,65
2019-05-30 2020-05-30,2019-12-15,84
2019-05-30 2020-05-30,2019-12-22,81
2019-05-30 2020-05-30,2019-12-29,73
2019-05-30 2020-05-30,2020-01-05,65
2019-05-30 2020-05-30,2020-01-12,74
2019-05-30 2020-05-30,2020-01-19,58
2019-05-30 2020-05-30,2020-01-26,43
2019-05-30 2020-05-30,2020-02-02,54
2019-05-30 2020-05-30,2020-02-09,45
2019-05-30 2020-05-30,2020-02-16,44
2019-05-30 2020-05-30,2020-02-23,64
2019-05-30 2020-05-30,2020-03-01,40
2019-05-30 2020-05-30,2020-03-08,37
2019-05-30 2020-05-30,2020-03-15,26
2019-05-30 2020-05-30,2020-03-22,35
2019-05-30 2020-05-30,2020-03-29,37
2019-05-30 2020-05-30,2020-04-05,29
2019-05-30 2020-05-30,2020-04-12,34
2019-05-30 2020-05-30,2020-04-19,33
2019-05-30 2020-05-30,2020-04-26,52
2019-05-30 2020-05-30,2020-05-03,76
2019-05-30 2020-05-30,2020-05-10,51
2019-05-30 2020-05-30,2020-05-17,65
2019-05-30 2020-05-30,2020-05-24,75
2019-06-06 2020-05-30,2019-06-09,54
2019-06-06 2020-05-30,2019-06-16,59
2019-06-06 2020-05-30,2019-06-23,54
2019-06-06 2020-05-30,2019-06-30,55
2019-06-06 2020-05-30,2019-07-07,44
2019-06-06 2020-05-30,2019-07-14,56
2019-06-06 2020-05-30,2019-07-21,43
2019-06-06 2020-05-30,2019-07-28,25
2019-06-06 2020-05-30,2019-08-04,35
2019-06-06 2020-05-30,2019-08-11,41
2019-06-06 2020-05-30,2019-08-18,47
2019-06-06 2020-05-30,2019-08-25,52
2019-06-06 2020-05-30,2019-09-01,64
2019-06-06 2020-05-30,2019-09-08,77
2019-06-06 2020-05-30,2019-09-15,60
2019-06-06 2020-05-30,2019-09-22,55
2019-06-06 2020-05-30,2019-09-29,82
2019-06-06 2020-05-30,2019-10-06,56
2019-06-06 2020-05-30,2019-10-13,54
2019-06-06 2020-05-30,2019-10-20,51
2019-06-06 2020-05-30,2019-10-27,74
2019-06-06 2020-05-30,2019-11-03,66
2019-06-06 2020-05-30,2019-11-10,77
2019-06-06 2020-05-30,2019-11-17,80
2019-06-06 2020-05-30,2019-11-24,100
2019-06-06 2020-05-30,2019-12-01,80
2019-06-06 2020-05-30,2019-12-08,57
2019-06-06 2020-05-30,2019-12-15,66
2019-06-06 2020-05-30,2019-12-22,91
2019-06-06 2020-05-30,2019-12-29,57
2019-06-06 2020-05-30,2020-01-05,72
2019-06-06 2020-05-30,2020-01-12,62
2019-06-06 2020-05-30,2020-01-19,46
2019-06-06 2020-05-30,2020-01-26,52
2019-06-06 2020-05-30,2020-02-02,44
2019-06-06 2020-05-30,2020-02-09,46
2019-06-06 2020-05-30,2020-02-16,59
2019-06-06 2020-05-30,2020-02-23,59
2019-06-06 2020-05-30,2020-03-01,46
2019-06-06 2020-05-30,2020-03-08,36
2019-06-06 2020-05-30,2020-03-15,34
2019-06-06 2020-05-30,2020-03-22,38
2019-06-06 2020-05-30,2020-03-29,35
2019-06-06 2020-05-30,2020-04-05,33
2019-06-06 2020-05-30,2020-04-12,37
2019-06-06 2020-05-30,2020-04-19,36
2019-06-06 2020-05-30,2020-04-26,46
2019-06-06 2020-05-30,2020-05-03,62
2019-06-06 2020-05-30,2020-05-10,55
2019-06-06 2020-05-30,2020-05-17,68
2019-06-06 2020-05-30,2020-05-24,88
