window,time,value
2019-05-28 2020-05-28,2019-06-02,48
2019-05-28 2020-05-28,2019-06-09,54
2019-05-28 2020-05-28,2019-06-16,66
2019-05-28 2020-05-28,2019-06-23,59
2019-05-28 2020-05-28,2019-06-30,53
2019-05-28 2020-05-28,2019-07-07,54
2019-05-28 2020-05-28,2019-07-14,43
2019-05-28 2020-05-28,2019-07-21,38
2019-05-28 2020-05-28,2019-07-28,44
2019-05-28 2020-05-28,2019-08-04,32
2019-05-28 2020-05-28,2019-08-11,46
2019-05-28 2020-05-28,2019-08-18,48
2019-05-28 2020-05-28,2019-08-25,49
2019-05-28 2020-05-28,2019-09-01,60
2019-05-28 2020-05-28,2019-09-08,61
2019-05-28 2020-05-28,2019-09-15,57
2019-05-28 2020-05-28,2019-09-22,60
2019-05-28 2020-05-28,2019-09-29,67
2019-05-28 2020-05-28,2019-10-06,62
2019-05-28 2020-05-28,2019-10-13,60
2019-05-28 2020-05-28,2019-10-20,57
2019-05-28 2020-05-28,2019-10-27,57
2019-05-28 2020-05-28,2019-11-03,58
2019-05-28 2020-05-28,2019-11-10,65
2019-05-28 2020-05-28,2019-11-17,62
2019-05-28 2020-05-28,2019-11-24,100
2019-05-28 2020-05-28,2019-12-01,64
2019-05-28 2020-05-28,2019-12-08,62
2019-05-28 2020-05-28,2019-12-15,62
2019-05-28 2020-05-28,2019-12-22,83
2019-05-28 2020-05-28,2019-12-29,65
2019-05-28 2020-05-28,2020-01-05,51
2019-05-28 2020-05-28,2020-01-12,52
2019-05-28 2020-05-28,2020-01-19,48
2019-05-28 2020-05-28,2020-01-26,52
2019-05-28 2020-05-28,2020-02-02,48
2019-05-28 2020-05-28,2020-02-09,42
2019-05-28 2020-05-28,2020-02-16,47
2019-05-28 2020-05-28,2020-02-23,48
2019-05-28 2020-05-28,2020-03-01,45
2019-05-28 2020-05-28,2020-03-08,41
2019-05-28 2020-05-28,2020-03-15,31
2019-05-28 2020-05-28,2020-03-22,31
2019-05-28 2020-05-28,2020-03-29,36
2019-05-28 2020-05-28,2020-04-05,45
2019-05-28 2020-05-28,2020-04-12,47
2019-05-28 2020-05-28,2020-04-19,49
2019-05-28 2020-05-28,2020-04-26,48
2019-05-28 2020-05-28,2020-05-03,48
2019-05-28 2020-05-28,2020-05-10,63
2019-05-28 2020-05-28,2020-05-17,72
2019-05-28 2020-05-28,2020-05-24,63
2019-06-04 2020-05-28,2019-06-09,58
2019-06-04 2020-05-28,2019-06-16,72
2019-06-04 2020-05-28,2019-06-23,64
2019-06-04 2020-05-28,2019-06-30,52
2019-06-04 2020-05-28,2019-07-07,65
2019-06-04 2020-05-28,2019-07-14,49
2019-06-04 2020-05-28,2019-07-21,44
2019-06-04 2020-05-28,2019-07-28,48
2019-06-04 2020-05-28,2019-08-04,44
2019-06-04 2020-05-28,2019-08-11,45
2019-06-04 2020-05-28,2019-08-18,51
2019-06-04 2020-05-28,2019-08-25,55
2019-06-04 2020-05-28,2019-09-01,64
2019-06-04 2020-05-28,2019-09-08,64
2019-06-04 2020-05-28,2019-09-15,60
2019-06-04 2020-05-28,2019-09-22,70
2019-06-04 2020-05-28,2019-09-29,65
2019-06-04 2020-05-28,2019-10-06,75
2019-06-04 2020-05-28,2019-10-13,70
2019-06-04 2020-05-28,2019-10-20,66
2019-06-04 2020-05-28,2019-10-27,63
2019-06-04 2020-05-28,2019-11-03,67
2019-06-04 2020-05-28,2019-11-10,68
2019-06-04 2020-05-28,2019-11-17,76
2019-06-04 2020-05-28,2019-11-24,100
2019-06-04 2020-05-28,2019-12-01,76
2019-06-04 2020-05-28,2019-12-08,66
2019-06-04 2020-05-28,2019-12-15,62
2019-06-04 2020-05-28,2019-12-22,82
2019-06-04 2020-05-28,2019-12-29,67
2019-06-04 2020-05-28,2020-01-05,57
2019-06-04 2020-05-28,2020-01-12,54
2019-06-04 2020-05-28,2020-01-19,57
2019-06-04 2020-05-28,2020-01-26,54
2019-06-04 2020-05-28,2020-02-02,58
2019-06-04 2020-05-28,2020-02-09,44
2019-06-04 2020-05-28,2020-02-16,53
2019-06-04 2020-05-28,2020-02-23,51
2019-06-04 2020-05-28,2020-03-01,50
2019-06-04 2020-05-28,2020-03-08,47
2019-06-04 2020-05-28,2020-03-15,31
2019-06-04 2020-05-28,2020-03-22,36
2019-06-04 2020-05-28,2020-03-29,40
2019-06-04 2020-05-28,2020-04-05,51
2019-06-04 2020-05-28,2020-04-12,54
2019-06-04 2020-05-28,2020-04-19,53
2019-06-04 2020-05-28,2020-04-26,58
2019-06-04 2020-05-28,2020-05-03,55
2019-06-04 2020-05-28,2020-05-10,74
2019-06-04 2020-05-28,2020-05-17,75
2019-06-04 2020-05-28,2020-05-24,72
