window,time,value
2020-02-23 2020-05-23,2020-02-23,40
2020-02-23 2020-05-23,2020-02-24,33
2020-02-23 2020-05-23,2020-02-25,0
2020-02-23 2020-05-23,2020-02-26,48
2020-02-23 2020-05-23,2020-02-27,49
2020-02-23 2020-05-23,2020-02-28,0
2020-02-23 2020-05-23,2020-02-29,40
2020-02-23 2020-05-23,2020-03-01,40
2020-02-23 2020-05-23,2020-03-02,0
2020-02-23 2020-05-23,2020-03-03,49
2020-02-23 2020-05-23,2020-03-04,33
2020-02-23 2020-05-23,2020-03-05,49
2020-02-23 2020-05-23,2020-03-06,34
2020-02-23 2020-05-23,2020-03-07,40
2020-02-23 2020-05-23,2020-03-08,39
2020-02-23 2020-05-23,2020-03-09,62
2020-02-23 2020-05-23,2020-03-10,52
2020-02-23 2020-05-23,2020-03-11,32
2020-02-23 2020-05-23,2020-03-12,48
2020-02-23 2020-05-23,2020-03-13,60
2020-02-23 2020-05-23,2020-03-14,0
2020-02-23 2020-05-23,2020-03-15,96
2020-02-23 2020-05-23,2020-03-16,59
2020-02-23 2020-05-23,2020-03-17,63
2020-02-23 2020-05-23,2020-03-18,44
2020-02-23 2020-05-23,2020-03-19,100
2020-02-23 2020-05-23,2020-03-20,64
2020-02-23 2020-05-23,2020-03-21,76
2020-02-23 2020-05-23,2020-03-22,71
2020-02-23 2020-05-23,2020-03-23,58
2020-02-23 2020-05-23,2020-03-24,82
2020-02-23 2020-05-23,2020-03-25,78
2020-02-23 2020-05-23,2020-03-26,84
2020-02-23 2020-05-23,2020-03-27,47
2020-02-23 2020-05-23,2020-03-28,39
2020-02-23 2020-05-23,2020-03-29,71
2020-02-23 2020-05-23,2020-03-30,59
2020-02-23 2020-05-23,2020-03-31,30
2020-02-23 2020-05-23,2020-04-01,95
2020-02-23 2020-05-23,2020-04-02,64
2020-02-23 2020-05-23,2020-04-03,33
2020-02-23 2020-05-23,2020-04-04,60
2020-02-23 2020-05-23,2020-04-05,58
2020-02-23 2020-05-23,2020-04-06,32
2020-02-23 2020-05-23,2020-04-07,65
2020-02-23 2020-05-23,2020-04-08,0
2020-02-23 2020-05-23,2020-04-09,51
2020-02-23 2020-05-23,2020-04-10,39
2020-02-23 2020-05-23,2020-04-11,42
2020-02-23 2020-05-23,2020-04-12,41
2020-02-23 2020-05-23,2020-04-13,0
2020-02-23 2020-05-23,2020-04-14,31
2020-02-23 2020-05-23,2020-04-15,0
2020-02-23 2020-05-23,2020-04-16,32
2020-02-23 2020-05-23,2020-04-17,45
2020-02-23 2020-05-23,2020-04-18,40
2020-02-23 2020-05-23,2020-04-19,0
2020-02-23 2020-05-23,2020-04-20,51
2020-02-23 2020-05-23,2020-04-21,62
