window,time,value
2019-05-24 2020-05-24,2019-05-26,19
2019-05-24 2020-05-24,2019-06-02,39
2019-05-24 2020-05-24,2019-06-09,30
2019-05-24 2020-05-24,2019-06-16,52
2019-05-24 2020-05-24,2019-06-23,16
2019-05-24 2020-05-24,2019-06-30,38
2019-05-24 2020-05-24,2019-07-07,35
2019-05-24 2020-05-24,2019-07-14,48
2019-05-24 2020-05-24,2019-07-21,22
2019-05-24 2020-05-24,2019-07-28,33
2019-05-24 2020-05-24,2019-08-04,34
2019-05-24 2020-05-24,2019-08-11,37
2019-05-24 2020-05-24,2019-08-18,60
2019-05-24 2020-05-24,2019-08-25,45
2019-05-24 2020-05-24,2019-09-01,43
2019-05-24 2020-05-24,2019-09-08,48
2019-05-24 2020-05-24,2019-09-15,27
2019-05-24 2020-05-24,2019-09-22,35
2019-05-24 2020-05-24,2019-09-29,30
2019-05-24 2020-05-24,2019-10-06,30
2019-05-24 2020-05-24,2019-10-13,50
2019-05-24 2020-05-24,2019-10-20,40
2019-05-24 2020-05-24,2019-10-27,57
2019-05-24 2020-05-24,2019-11-03,53
2019-05-24 2020-05-24,2019-11-10,45
2019-05-24 2020-05-24,2019-11-17,40
2019-05-24 2020-05-24,2019-11-24,50
2019-05-24 2020-05-24,2019-12-01,46
2019-05-24 2020-05-24,2019-12-08,48
2019-05-24 2020-05-24,2019-12-15,31
2019-05-24 2020-05-24,2019-12-22,20
2019-05-24 2020-05-24,2019-12-29,30
2019-05-24 2020-05-24,2020-01-05,27
2019-05-24 2020-05-24,2020-01-12,37
2019-05-24 2020-05-24,2020-01-19,49
2019-05-24 2020-05-24,2020-01-26,46
2019-05-24 2020-05-24,2020-02-02,60
2019-05-24 2020-05-24,2020-02-09,32
2019-05-24 2020-05-24,2020-02-16,49
2019-05-24 2020-05-24,2020-02-23,34
2019-05-24 2020-05-24,2020-03-01,36
2019-05-24 2020-05-24,2020-03-08,65
2019-05-24 2020-05-24,2020-03-15,96
2019-05-24 2020-05-24,2020-03-22,100
2019-05-24 2020-05-24,2020-03-29,94
2019-05-24 2020-05-24,2020-04-05,48
2019-05-24 2020-05-24,2020-04-12,42
2019-05-24 2020-05-24,2020-04-19,65
2019-05-24 2020-05-24,2020-04-26,48
2019-05-24 2020-05-24,2020-05-03,38
2019-05-24 2020-05-24,2020-05-10,52
2019-05-24 2020-05-24,2020-05-17,40
2019-05-31 2020-05-24,2019-06-02,27
2019-05-31 2020-05-24,2019-06-09,35
2019-05-31 2020-05-24,2019-06-16,44
2019-05-31 2020-05-24,2019-06-23,26
2019-05-31 2020-05-24,2019-06-30,14
2019-05-31 2020-05-24,2019-07-07,34
2019-05-31 2020-05-24,2019-07-14,31
2019-05-31 2020-05-24,2019-07-21,27
2019-05-31 2020-05-24,2019-07-28,30
2019-05-31 2020-05-24,2019-08-04,43
2019-05-31 2020-05-24,2019-08-11,37
2019-05-31 2020-05-24,2019-08-18,41
2019-05-31 2020-05-24,2019-08-25,33
2019-05-31 2020-05-24,2019-09-01,47
2019-05-31 2020-05-24,2019-09-08,41
2019-05-31 2020-05-24,2019-09-15,35
2019-05-31 2020-05-24,2019-09-22,29
2019-05-31 2020-05-24,2019-09-29,24
2019-05-31 2020-05-24,2019-10-06,35
2019-05-31 2020-05-24,2019-10-13,40
2019-05-31 2020-05-24,2019-10-20,42
2019-05-31 2020-05-24,2019-10-27,41
2019-05-31 2020-05-24,2019-11-03,36
2019-05-31 2020-05-24,2019-11-10,31
2019-05-31 2020-05-24,2019-11-17,54
2019-05-31 2020-05-24,2019-11-24,33
2019-05-31 2020-05-24,2019-12-01,19
2019-05-31 2020-05-24,2019-12-08,44
2019-05-31 2020-05-24,2019-12-15,32
2019-05-31 2020-05-24,2019-12-22,16
2019-05-31 2020-05-24,2019-12-29,18
2019-05-31 2020-05-24,2020-01-05,37
2019-05-31 2020-05-24,2020-01-12,49
2019-05-31 2020-05-24,2020-01-19,39
2019-05-31 2020-05-24,2020-01-26,44
2019-05-31 2020-05-24,2020-02-02,32
2019-05-31 2020-05-24,2020-02-09,47
2019-05-31 2020-05-24,2020-02-16,45
2019-05-31 2020-05-24,2020-02-23,21
2019-05-31 2020-05-24,2020-03-01,49
2019-05-31 2020-05-24,2020-03-08,46
2019-05-31 2020-05-24,2020-03-15,86
2019-05-31 2020-05-24,2020-03-22,100
2019-05-31 2020-05-24,2020-03-29,65
2019-05-31 2020-05-24,2020-04-05,34
2019-05-31 2020-05-24,2020-04-12,39
2019-05-31 2020-05-24,2020-04-19,48
2019-05-31 2020-05-24,2020-04-26,70
2019-05-31 2020-05-24,2020-05-03,34
2019-05-31 2020-05-24,2020-05-10,45
2019-05-31 2020-05-24,2020-05-17,21
