window,time,value
2019-04-12 2020-04-12,2019-04-14,41
2019-04-12 2020-04-12,2019-04-21,39
2019-04-12 2020-04-12,2019-04-28,49
2019-04-12 2020-04-12,2019-05-05,56
2019-04-12 2020-04-12,2019-05-12,62
2019-04-12 2020-04-12,2019-05-19,32
2019-04-12 2020-04-12,2019-05-26,38
2019-04-12 2020-04-12,2019-06-02,42
2019-04-12 2020-04-12,2019-06-09,47
2019-04-12 2020-04-12,2019-06-16,38
2019-04-12 2020-04-12,2019-06-23,69
2019-04-12 2020-04-12,2019-06-30,44
2019-04-12 2020-04-12,2019-07-07,35
2019-04-12 2020-04-12,2019-07-14,44
2019-04-12 2020-04-12,2019-07-21,53
2019-04-12 2020-04-12,2019-07-28,33
2019-04-12 2020-04-12,2019-08-04,34
2019-04-12 2020-04-12,2019-08-11,54
2019-04-12 2020-04-12,2019-08-18,39
2019-04-12 2020-04-12,2019-08-25,27
2019-04-12 2020-04-12,2019-09-01,52
2019-04-12 2020-04-12,2019-09-08,74
2019-04-12 2020-04-12,2019-09-15,58
2019-04-12 2020-04-12,2019-09-22,50
2019-04-12 2020-04-12,2019-09-29,55
2019-04-12 2020-04-12,2019-10-06,64
2019-04-12 2020-04-12,2019-10-13,51
2019-04-12 2020-04-12,2019-10-20,58
2019-04-12 2020-04-12,2019-10-27,61
2019-04-12 2020-04-12,2019-11-03,68
2019-04-12 2020-04-12,2019-11-10,70
2019-04-12 2020-04-12,2019-11-17,59
2019-04-12 2020-04-12,2019-11-24,57
2019-04-12 2020-04-12,2019-12-01,53
2019-04-12 2020-04-12,2019-12-08,76
2019-04-12 2020-04-12,2019-12-15,73
2019-04-12 2020-04-12,2019-12-22,100
2019-04-12 2020-04-12,2019-12-29,75
2019-04-12 2020-04-12,2020-01-05,52
2019-04-12 2020-04-12,2020-01-12,66
2019-04-12 2020-04-12,2020-01-19,61
2019-04-12 2020-04-12,2020-01-26,50
2019-04-12 2020-04-12,2020-02-02,71
2019-04-12 2020-04-12,2020-02-09,69
2019-04-12 2020-04-12,2020-02-16,62
2019-04-12 2020-04-12,2020-02-23,49
2019-04-12 2020-04-12,2020-03-01,67
2019-04-12 2020-04-12,2020-03-08,53
2019-04-12 2020-04-12,2020-03-15,39
2019-04-12 2020-04-12,2020-03-22,15
2019-04-12 2020-04-12,2020-03-29,25
2019-04-12 2020-04-12,2020-04-05,30
2019-04-19 2020-04-12,2019-04-21,33
2019-04-19 2020-04-12,2019-04-28,44
2019-04-19 2020-04-12,2019-05-05,58
2019-04-19 2020-04-12,2019-05-12,55
2019-04-19 2020-04-12,2019-05-19,42
2019-04-19 2020-04-12,2019-05-26,52
2019-04-19 2020-04-12,2019-06-02,36
2019-04-19 2020-04-12,2019-06-09,44
2019-04-19 2020-04-12,2019-06-16,49
2019-04-19 2020-04-12,2019-06-23,67
2019-04-19 2020-04-12,2019-06-30,42
2019-04-19 2020-04-12,2019-07-07,41
2019-04-19 2020-04-12,2019-07-14,56
2019-04-19 2020-04-12,2019-07-21,54
2019-04-19 2020-04-12,2019-07-28,26
2019-04-19 2020-04-12,2019-08-04,41
2019-04-19 2020-04-12,2019-08-11,46
2019-04-19 2020-04-12,2019-08-18,39
2019-04-19 2020-04-12,2019-08-25,18
2019-04-19 2020-04-12,2019-09-01,60
2019-04-19 2020-04-12,2019-09-08,100
2019-04-19 2020-04-12,2019-09-15,72
2019-04-19 2020-04-12,2019-09-22,47
2019-04-19 2020-04-12,2019-09-29,60
2019-04-19 2020-04-12,2019-10-06,70
2019-04-19 2020-04-12,2019-10-13,71
2019-04-19 2020-04-12,2019-10-20,57
2019-04-19 2020-04-12,2019-10-27,60
2019-04-19 2020-04-12,2019-11-03,68
2019-04-19 2020-04-12,2019-11-10,73
2019-04-19 2020-04-12,2019-11-17,61
2019-04-19 2020-04-12,2019-11-24,60
2019-04-19 2020-04-12,2019-12-01,47
2019-04-19 2020-04-12,2019-12-08,82
2019-04-19 2020-04-12,2019-12-15,90
2019-04-19 2020-04-12,2019-12-22,99
2019-04-19 2020-04-12,2019-12-29,85
2019-04-19 2020-04-12,2020-01-05,55
2019-04-19 2020-04-12,2020-01-12,66
2019-04-19 2020-04-12,2020-01-19,57
2019-04-19 2020-04-12,2020-01-26,65
2019-04-19 2020-04-12,2020-02-02,70
2019-04-19 2020-04-12,2020-02-09,58
2019-04-19 2020-04-12,2020-02-16,58
2019-04-19 2020-04-12,2020-02-23,56
2019-04-19 2020-04-12,2020-03-01,62
2019-04-19 2020-04-12,2020-03-08,55
2019-04-19 2020-04-12,2020-03-15,47
2019-04-19 2020-04-12,2020-03-22,17
2019-04-19 2020-04-12,2020-03-29,33
2019-04-19 2020-04-12,2020-04-05,31
