window,time,value
2020-01-28 2020-04-27,2020-01-28,21
2020-01-28 2020-04-27,2020-01-29,9
2020-01-28 2020-04-27,2020-01-30,29
2020-01-28 2020-04-27,2020-01-31,24
2020-01-28 2020-04-27,2020-02-01,24
2020-01-28 2020-04-27,2020-02-02,29
2020-01-28 2020-04-27,2020-02-03,26
2020-01-28 2020-04-27,2020-02-04,22
2020-01-28 2020-04-27,2020-02-05,22
2020-01-28 2020-04-27,2020-02-06,13
2020-01-28 2020-04-27,2020-02-07,21
2020-01-28 2020-04-27,2020-02-08,16
2020-01-28 2020-04-27,2020-02-09,11
2020-01-28 2020-04-27,2020-02-10,15
2020-01-28 2020-04-27,2020-02-11,22
2020-01-28 2020-04-27,2020-02-12,16
2020-01-28 2020-04-27,2020-02-13,19
2020-01-28 2020-04-27,2020-02-14,31
2020-01-28 2020-04-27,2020-02-15,21
2020-01-28 2020-04-27,2020-02-16,23
2020-01-28 2020-04-27,2020-02-17,0
2020-01-28 2020-04-27,2020-02-18,13
2020-01-28 2020-04-27,2020-02-19,28
2020-01-28 2020-04-27,2020-02-20,20
2020-01-28 2020-04-27,2020-02-21,17
2020-01-28 2020-04-27,2020-02-22,21
2020-01-28 2020-04-27,2020-02-23,22
2020-01-28 2020-04-27,2020-02-24,9
2020-01-28 2020-04-27,2020-02-25,24
2020-01-28 2020-04-27,2020-02-26,21
2020-01-28 2020-04-27,2020-02-27,24
2020-01-28 2020-04-27,2020-02-28,35
2020-01-28 2020-04-27,2020-02-29,26
2020-01-28 2020-04-27,2020-03-01,11
2020-01-28 2020-04-27,2020-03-02,18
2020-01-28 2020-04-27,2020-03-03,22
2020-01-28 2020-04-27,2020-03-04,18
2020-01-28 2020-04-27,2020-03-05,21
2020-01-28 2020-04-27,2020-03-06,25
2020-01-28 2020-04-27,2020-03-07,19
2020-01-28 2020-04-27,2020-03-08,15
2020-01-28 2020-04-27,2020-03-09,23
2020-01-28 2020-04-27,2020-03-10,18
2020-01-28 2020-04-27,2020-03-11,6
2020-01-28 2020-04-27,2020-03-12,15
2020-01-28 2020-04-27,2020-03-13,8
2020-01-28 2020-04-27,2020-03-14,25
2020-01-28 2020-04-27,2020-03-15,22
2020-01-28 2020-04-27,2020-03-16,11
2020-01-28 2020-04-27,2020-03-17,12
2020-01-28 2020-04-27,2020-03-18,18
2020-01-28 2020-04-27,2020-03-19,19
2020-01-28 2020-04-27,2020-03-20,12
2020-01-28 2020-04-27,2020-03-21,18
2020-01-28 2020-04-27,2020-03-22,10
2020-01-28 2020-04-27,2020-03-23,19
2020-01-28 2020-04-27,2020-03-24,12
2020-01-28 2020-04-27,2020-03-25,23
2020-01-28 2020-04-27,2020-03-26,12
2020-01-28 2020-04-27,2020-03-27,9
2020-01-28 2020-04-27,2020-03-28,7
2020-01-28 2020-04-27,2020-03-29,23
2020-01-28 2020-04-27,2020-03-30,14
2020-01-28 2020-04-27,2020-03-31,9
2020-01-28 2020-04-27,2020-04-01,26
2020-01-28 2020-04-27,2020-04-02,18
2020-01-28 2020-04-27,2020-04-03,18
2020-01-28 2020-04-27,2020-04-04,26
2020-01-28 2020-04-27,2020-04-05,26
2020-01-28 2020-04-27,2020-04-06,39
2020-01-28 2020-04-27,2020-04-07,24
2020-01-28 2020-04-27,2020-04-08,12
2020-01-28 2020-04-27,2020-04-09,38
2020-01-28 2020-04-27,2020-04-10,100
2020-01-28 2020-04-27,2020-04-11,70
2020-01-28 2020-04-27,2020-04-12,65
2020-01-28 2020-04-27,2020-04-13,39
2020-01-28 2020-04-27,2020-04-14,6
2020-01-28 2020-04-27,2020-04-15,9
2020-01-28 2020-04-27,2020-04-16,12
2020-01-28 2020-04-27,2020-04-17,22
2020-01-28 2020-04-27,2020-04-18,22
2020-01-28 2020-04-27,2020-04-19,14
2020-01-28 2020-04-27,2020-04-20,11
2020-01-28 2020-04-27,2020-04-21,14
2020-01-28 2020-04-27,2020-04-22,21
2020-01-28 2020-04-27,2020-04-23,12
2020-01-28 2020-04-27,2020-04-24,9
2020-01-29 2020-04-27,2020-01-29,30
2020-01-29 2020-04-27,2020-01-30,19
2020-01-29 2020-04-27,2020-01-31,33
2020-01-29 2020-04-27,2020-02-01,36
2020-01-29 2020-04-27,2020-02-02,29
2020-01-29 2020-04-27,2020-02-03,25
2020-01-29 2020-04-27,2020-02-04,25
2020-01-29 2020-04-27,2020-02-05,20
2020-01-29 2020-04-27,2020-02-06,15
2020-01-29 2020-04-27,2020-02-07,22
2020-01-29 2020-04-27,2020-02-08,26
2020-01-29 2020-04-27,2020-02-09,22
2020-01-29 2020-04-27,2020-02-10,19
2020-01-29 2020-04-27,2020-02-11,18
2020-01-29 2020-04-27,2020-02-12,16
2020-01-29 2020-04-27,2020-02-13,29
2020-01-29 2020-04-27,2020-02-14,27
2020-01-29 2020-04-27,2020-02-15,26
2020-01-29 2020-04-27,2020-02-16,35
2020-01-29 2020-04-27,2020-02-17,16
2020-01-29 2020-04-27,2020-02-18,23
2020-01-29 2020-04-27,2020-02-19,28
2020-01-29 2020-04-27,2020-02-20,13
2020-01-29 2020-04-27,2020-02-21,25
2020-01-29 2020-04-27,2020-02-22,22
2020-01-29 2020-04-27,2020-02-23,26
2020-01-29 2020-04-27,2020-02-24,23
2020-01-29 2020-04-27,2020-02-25,22
2020-01-29 2020-04-27,2020-02-26,25
2020-01-29 2020-04-27,2020-02-27,24
2020-01-29 2020-04-27,2020-02-28,23
2020-01-29 2020-04-27,2020-02-29,32
2020-01-29 2020-04-27,2020-03-01,21
2020-01-29 2020-04-27,2020-03-02,15
2020-01-29 2020-04-27,2020-03-03,26
2020-01-29 2020-04-27,2020-03-04,23
2020-01-29 2020-04-27,2020-03-05,15
2020-01-29 2020-04-27,2020-03-06,22
2020-01-29 2020-04-27,2020-03-07,11
2020-01-29 2020-04-27,2020-03-08,30
2020-01-29 2020-04-27,2020-03-09,38
2020-01-29 2020-04-27,2020-03-10,15
2020-01-29 2020-04-27,2020-03-11,17
2020-01-29 2020-04-27,2020-03-12,22
2020-01-29 2020-04-27,2020-03-13,19
2020-01-29 2020-04-27,2020-03-14,12
2020-01-29 2020-04-27,2020-03-15,14
2020-01-29 2020-04-27,2020-03-16,20
2020-01-29 2020-04-27,2020-03-17,8
2020-01-29 2020-04-27,2020-03-18,9
2020-01-29 2020-04-27,2020-03-19,19
2020-01-29 2020-04-27,2020-03-20,7
2020-01-29 2020-04-27,2020-03-21,26
2020-01-29 2020-04-27,2020-03-22,11
2020-01-29 2020-04-27,2020-03-23,25
2020-01-29 2020-04-27,2020-03-24,18
2020-01-29 2020-04-27,2020-03-25,19
2020-01-29 2020-04-27,2020-03-26,23
2020-01-29 2020-04-27,2020-03-27,13
2020-01-29 2020-04-27,2020-03-28,12
2020-01-29 2020-04-27,2020-03-29,19
2020-01-29 2020-04-27,2020-03-30,5
2020-01-29 2020-04-27,2020-03-31,20
2020-01-29 2020-04-27,2020-04-01,13
2020-01-29 2020-04-27,2020-04-02,19
2020-01-29 2020-04-27,2020-04-03,16
2020-01-29 2020-04-27,2020-04-04,17
2020-01-29 2020-04-27,2020-04-05,42
2020-01-29 2020-04-27,2020-04-06,34
2020-01-29 2020-04-27,2020-04-07,19
2020-01-29 2020-04-27,2020-04-08,21
2020-01-29 2020-04-27,2020-04-09,27
2020-01-29 2020-04-27,2020-04-10,100
2020-01-29 2020-04-27,2020-04-11,73
2020-01-29 2020-04-27,2020-04-12,59
2020-01-29 2020-04-27,2020-04-13,26
2020-01-29 2020-04-27,2020-04-14,17
2020-01-29 2020-04-27,2020-04-15,31
2020-01-29 2020-04-27,2020-04-16,19
2020-01-29 2020-04-27,2020-04-17,27
2020-01-29 2020-04-27,2020-04-18,30
2020-01-29 2020-04-27,2020-04-19,30
2020-01-29 2020-04-27,2020-04-20,11
2020-01-29 2020-04-27,2020-04-21,15
2020-01-29 2020-04-27,2020-04-22,9
2020-01-29 2020-04-27,2020-04-23,19
2020-01-29 2020-04-27,2020-04-24,23
