window,time,value
2019-04-26 2020-04-26,2019-04-28,43
2019-04-26 2020-04-26,2019-05-05,41
2019-04-26 2020-04-26,2019-05-12,59
2019-04-26 2020-04-26,2019-05-19,44
2019-04-26 2020-04-26,2019-05-26,44
2019-04-26 2020-04-26,2019-06-02,42
2019-04-26 2020-04-26,2019-06-09,50
2019-04-26 2020-04-26,2019-06-16,55
2019-04-26 2020-04-26,2019-06-23,43
2019-04-26 2020-04-26,2019-06-30,49
2019-04-26 2020-04-26,2019-07-07,40
2019-04-26 2020-04-26,2019-07-14,41
2019-04-26 2020-04-26,2019-07-21,37
2019-04-26 2020-04-26,2019-07-28,34
2019-04-26 2020-04-26,2019-08-04,45
2019-04-26 2020-04-26,2019-08-11,48
2019-04-26 2020-04-26,2019-08-18,36
2019-04-26 2020-04-26,2019-08-25,38
2019-04-26 2020-04-26,2019-09-01,44
2019-04-26 2020-04-26,2019-09-08,50
2019-04-26 2020-04-26,2019-09-15,42
2019-04-26 2020-04-26,2019-09-22,58
2019-04-26 2020-04-26,2019-09-29,32
2019-04-26 2020-04-26,2019-10-06,53
2019-04-26 2020-04-26,2019-10-13,42
2019-04-26 2020-04-26,2019-10-20,52
2019-04-26 2020-04-26,2019-10-27,47
2019-04-26 2020-04-26,2019-11-03,58
2019-04-26 2020-04-26,2019-11-10,47
2019-04-26 2020-04-26,2019-11-17,60
2019-04-26 2020-04-26,2019-11-24,86
2019-04-26 2020-04-26,2019-12-01,67
2019-04-26 2020-04-26,2019-12-08,82
2019-04-26 2020-04-26,2019-12-15,100
2019-04-26 2020-04-26,2019-12-22,86
2019-04-26 2020-04-26,2019-12-29,55
2019-04-26 2020-04-26,2020-01-05,47
2019-04-26 2020-04-26,2020-01-12,37
2019-04-26 2020-04-26,2020-01-19,39
2019-04-26 2020-04-26,2020-01-26,51
2019-04-26 2020-04-26,2020-02-02,47
2019-04-26 2020-04-26,2020-02-09,34
2019-04-26 2020-04-26,2020-02-16,43
2019-04-26 2020-04-26,2020-02-23,42
2019-04-26 2020-04-26,2020-03-01,44
2019-04-26 2020-04-26,2020-03-08,33
2019-04-26 2020-04-26,2020-03-15,20
2019-04-26 2020-04-26,2020-03-22,29
2019-04-26 2020-04-26,2020-03-29,40
2019-04-26 2020-04-26,2020-04-05,74
2019-04-26 2020-04-26,2020-04-12,54
2019-04-26 2020-04-26,2020-04-19,48
2019-05-03 2020-04-26,2019-05-05,50
2019-05-03 2020-04-26,2019-05-12,40
2019-05-03 2020-04-26,2019-05-19,51
2019-05-03 2020-04-26,2019-05-26,40
2019-05-03 2020-04-26,2019-06-02,53
2019-05-03 2020-04-26,2019-06-09,42
2019-05-03 2020-04-26,2019-06-16,47
2019-05-03 2020-04-26,2019-06-23,46
2019-05-03 2020-04-26,2019-06-30,49
2019-05-03 2020-04-26,2019-07-07,45
2019-05-03 2020-04-26,2019-07-14,34
2019-05-03 2020-04-26,2019-07-21,34
2019-05-03 2020-04-26,2019-07-28,38
2019-05-03 2020-04-26,2019-08-04,46
2019-05-03 2020-04-26,2019-08-11,53
2019-05-03 2020-04-26,2019-08-18,43
2019-05-03 2020-04-26,2019-08-25,27
2019-05-03 2020-04-26,2019-09-01,53
2019-05-03 2020-04-26,2019-09-08,41
2019-05-03 2020-04-26,2019-09-15,44
2019-05-03 2020-04-26,2019-09-22,37
2019-05-03 2020-04-26,2019-09-29,41
2019-05-03 2020-04-26,2019-10-06,53
2019-05-03 2020-04-26,2019-10-13,52
2019-05-03 2020-04-26,2019-10-20,40
2019-05-03 2020-04-26,2019-10-27,46
2019-05-03 2020-04-26,2019-11-03,51
2019-05-03 2020-04-26,2019-11-10,44
2019-05-03 2020-04-26,2019-11-17,66
2019-05-03 2020-04-26,2019-11-24,84
2019-05-03 2020-04-26,2019-12-01,54
2019-05-03 2020-04-26,2019-12-08,75
2019-05-03 2020-04-26,2019-12-15,74
2019-05-03 2020-04-26,2019-12-22,100
2019-05-03 2020-04-26,2019-12-29,49
2019-05-03 2020-04-26,2020-01-05,43
2019-05-03 2020-04-26,2020-01-12,41
2019-05-03 2020-04-26,2020-01-19,38
2019-05-03 2020-04-26,2020-01-26,34
2019-05-03 2020-04-26,2020-02-02,53
2019-05-03 2020-04-26,2020-02-09,62
2019-05-03 2020-04-26,2020-02-16,44
2019-05-03 2020-04-26,2020-02-23,49
2019-05-03 2020-04-26,2020-03-01,39
2019-05-03 2020-04-26,2020-03-08,36
2019-05-03 2020-04-26,2020-03-15,20
2019-05-03 2020-04-26,2020-03-22,27
2019-05-03 2020-04-26,2020-03-29,37
2019-05-03 2020-04-26,2020-04-05,77
2019-05-03 2020-04-26,2020-04-12,59
2019-05-03 2020-04-26,2020-04-19,34
