window,time,value
2019-05-06 2020-05-06,2019-05-12,40
2019-05-06 2020-05-06,2019-05-19,37
2019-05-06 2020-05-06,2019-05-26,46
2019-05-06 2020-05-06,2019-06-02,33
2019-05-06 2020-05-06,2019-06-09,51
2019-05-06 2020-05-06,2019-06-16,43
2019-05-06 2020-05-06,2019-06-23,38
2019-05-06 2020-05-06,2019-06-30,41
2019-05-06 2020-05-06,2019-07-07,48
2019-05-06 2020-05-06,2019-07-14,42
2019-05-06 2020-05-06,2019-07-21,50
2019-05-06 2020-05-06,2019-07-28,53
2019-05-06 2020-05-06,2019-08-04,54
2019-05-06 2020-05-06,2019-08-11,44
2019-05-06 2020-05-06,2019-08-18,47
2019-05-06 2020-05-06,2019-08-25,43
2019-05-06 2020-05-06,2019-09-01,46
2019-05-06 2020-05-06,2019-09-08,48
2019-05-06 2020-05-06,2019-09-15,49
2019-05-06 2020-05-06,2019-09-22,44
2019-05-06 2020-05-06,2019-09-29,44
2019-05-06 2020-05-06,2019-10-06,41
2019-05-06 2020-05-06,2019-10-13,43
2019-05-06 2020-05-06,2019-10-20,50
2019-05-06 2020-05-06,2019-10-27,45
2019-05-06 2020-05-06,2019-11-03,29
2019-05-06 2020-05-06,2019-11-10,53
2019-05-06 2020-05-06,2019-11-17,50
2019-05-06 2020-05-06,2019-11-24,48
2019-05-06 2020-05-06,2019-12-01,50
2019-05-06 2020-05-06,2019-12-08,47
2019-05-06 2020-05-06,2019-12-15,42
2019-05-06 2020-05-06,2019-12-22,76
2019-05-06 2020-05-06,2019-12-29,59
2019-05-06 2020-05-06,2020-01-05,32
2019-05-06 2020-05-06,2020-01-12,32
2019-05-06 2020-05-06,2020-01-19,43
2019-05-06 2020-05-06,2020-01-26,38
2019-05-06 2020-05-06,2020-02-02,40
2019-05-06 2020-05-06,2020-02-09,63
2019-05-06 2020-05-06,2020-02-16,52
2019-05-06 2020-05-06,2020-02-23,46
2019-05-06 2020-05-06,2020-03-01,44
2019-05-06 2020-05-06,2020-03-08,35
2019-05-06 2020-05-06,2020-03-15,40
2019-05-06 2020-05-06,2020-03-22,46
2019-05-06 2020-05-06,2020-03-29,65
2019-05-06 2020-05-06,2020-04-05,73
2019-05-06 2020-05-06,2020-04-12,70
2019-05-06 2020-05-06,2020-04-19,65
2019-05-06 2020-05-06,2020-04-26,71
2019-05-06 2020-05-06,2020-05-03,100
2019-05-13 2020-05-06,2019-05-19,42
2019-05-13 2020-05-06,2019-05-26,51
2019-05-13 2020-05-06,2019-06-02,52
2019-05-13 2020-05-06,2019-06-09,83
2019-05-13 2020-05-06,2019-06-16,50
2019-05-13 2020-05-06,2019-06-23,41
2019-05-13 2020-05-06,2019-06-30,46
2019-05-13 2020-05-06,2019-07-07,67
2019-05-13 2020-05-06,2019-07-14,48
2019-05-13 2020-05-06,2019-07-21,67
2019-05-13 2020-05-06,2019-07-28,69
2019-05-13 2020-05-06,2019-08-04,62
2019-05-13 2020-05-06,2019-08-11,65
2019-05-13 2020-05-06,2019-08-18,60
2019-05-13 2020-05-06,2019-08-25,52
2019-05-13 2020-05-06,2019-09-01,50
2019-05-13 2020-05-06,2019-09-08,61
2019-05-13 2020-05-06,2019-09-15,60
2019-05-13 2020-05-06,2019-09-22,61
2019-05-13 2020-05-06,2019-09-29,62
2019-05-13 2020-05-06,2019-10-06,52
2019-05-13 2020-05-06,2019-10-13,57
2019-05-13 2020-05-06,2019-10-20,60
2019-05-13 2020-05-06,2019-10-27,64
2019-05-13 2020-05-06,2019-11-03,48
2019-05-13 2020-05-06,2019-11-10,65
2019-05-13 2020-05-06,2019-11-17,54
2019-05-13 2020-05-06,2019-11-24,66
2019-05-13 2020-05-06,2019-12-01,51
2019-05-13 2020-05-06,2019-12-08,56
2019-05-13 2020-05-06,2019-12-15,57
2019-05-13 2020-05-06,2019-12-22,72
2019-05-13 2020-05-06,2019-12-29,62
2019-05-13 2020-05-06,2020-01-05,52
2019-05-13 2020-05-06,2020-01-12,52
2019-05-13 2020-05-06,2020-01-19,48
2019-05-13 2020-05-06,2020-01-26,69
2019-05-13 2020-05-06,2020-02-02,47
2019-05-13 2020-05-06,2020-02-09,69
2019-05-13 2020-05-06,2020-02-16,70
2019-05-13 2020-05-06,2020-02-23,51
2019-05-13 2020-05-06,2020-03-01,55
2019-05-13 2020-05-06,2020-03-08,40
2019-05-13 2020-05-06,2020-03-15,64
2019-05-13 2020-05-06,2020-03-22,68
2019-05-13 2020-05-06,2020-03-29,88
2019-05-13 2020-05-06,2020-04-05,78
2019-05-13 2020-05-06,2020-04-12,100
2019-05-13 2020-05-06,2020-04-19,95
2019-05-13 2020-05-06,2020-04-26,91
2019-05-13 2020-05-06,2020-05-03,93
