window,time,value
2020-01-23 2020-04-22,2020-01-23,75
2020-01-23 2020-04-22,2020-01-24,31
2020-01-23 2020-04-22,2020-01-25,28
2020-01-23 2020-04-22,2020-01-26,69
2020-01-23 2020-04-22,2020-01-27,57
2020-01-23 2020-04-22,2020-01-28,57
2020-01-23 2020-04-22,2020-01-29,36
2020-01-23 2020-04-22,2020-01-30,53
2020-01-23 2020-04-22,2020-01-31,87
2020-01-23 2020-04-22,2020-02-01,46
2020-01-23 2020-04-22,2020-02-02,59
2020-01-23 2020-04-22,2020-02-03,41
2020-01-23 2020-04-22,2020-02-04,14
2020-01-23 2020-04-22,2020-02-05,23
2020-01-23 2020-04-22,2020-02-06,39
2020-01-23 2020-04-22,2020-02-07,24
2020-01-23 2020-04-22,2020-02-08,57
2020-01-23 2020-04-22,2020-02-09,54
2020-01-23 2020-04-22,2020-02-10,49
2020-01-23 2020-04-22,2020-02-11,29
2020-01-23 2020-04-22,2020-02-12,0
2020-01-23 2020-04-22,2020-02-13,30
2020-01-23 2020-04-22,2020-02-14,32
2020-01-23 2020-04-22,2020-02-15,58
2020-01-23 2020-04-22,2020-02-16,45
2020-01-23 2020-04-22,2020-02-17,43
2020-01-23 2020-04-22,2020-02-18,51
2020-01-23 2020-04-22,2020-02-19,29
2020-01-23 2020-04-22,2020-02-20,62
2020-01-23 2020-04-22,2020-02-21,32
2020-01-23 2020-04-22,2020-02-22,19
2020-01-23 2020-04-22,2020-02-23,35
2020-01-23 2020-04-22,2020-02-24,65
2020-01-23 2020-04-22,2020-02-25,14
2020-01-23 2020-04-22,2020-02-26,28
2020-01-23 2020-04-22,2020-02-27,0
2020-01-23 2020-04-22,2020-02-28,0
2020-01-23 2020-04-22,2020-02-29,26
2020-01-23 2020-04-22,2020-03-01,52
2020-01-23 2020-04-22,2020-03-02,42
2020-01-23 2020-04-22,2020-03-03,57
2020-01-23 2020-04-22,2020-03-04,21
2020-01-23 2020-04-22,2020-03-05,28
2020-01-23 2020-04-22,2020-03-06,30
2020-01-23 2020-04-22,2020-03-07,0
2020-01-23 2020-04-22,2020-03-08,43
2020-01-23 2020-04-22,2020-03-09,34
2020-01-23 2020-04-22,2020-03-10,27
2020-01-23 2020-04-22,2020-03-11,35
2020-01-23 2020-04-22,2020-03-12,55
2020-01-23 2020-04-22,2020-03-13,20
2020-01-23 2020-04-22,2020-03-14,17
2020-01-23 2020-04-22,2020-03-15,100
2020-01-23 2020-04-22,2020-03-16,0
2020-01-23 2020-04-22,2020-03-17,28
2020-01-23 2020-04-22,2020-03-18,29
2020-01-23 2020-04-22,2020-03-19,15
2020-01-23 2020-04-22,2020-03-20,0
2020-01-23 2020-04-22,2020-03-21,0
2020-01-23 2020-04-22,2020-03-22,16
2020-01-23 2020-04-22,2020-03-23,13
2020-01-23 2020-04-22,2020-03-24,13
2020-01-23 2020-04-22,2020-03-25,14
2020-01-23 2020-04-22,2020-03-26,14
2020-01-23 2020-04-22,2020-03-27,41
2020-01-23 2020-04-22,2020-03-28,17
2020-01-23 2020-04-22,2020-03-29,15
2020-01-23 2020-04-22,2020-03-30,13
2020-01-23 2020-04-22,2020-03-31,20
2020-01-23 2020-04-22,2020-04-01,14
2020-01-23 2020-04-22,2020-04-02,0
2020-01-23 2020-04-22,2020-04-03,0
2020-01-23 2020-04-22,2020-04-04,18
2020-01-23 2020-04-22,2020-04-05,17
2020-01-23 2020-04-22,2020-04-06,0
2020-01-23 2020-04-22,2020-04-07,0
2020-01-23 2020-04-22,2020-04-08,14
2020-01-23 2020-04-22,2020-04-09,0
2020-01-23 2020-04-22,2020-04-10,51
2020-01-23 2020-04-22,2020-04-11,0
2020-01-23 2020-04-22,2020-04-12,0
2020-01-23 2020-04-22,2020-04-13,17
2020-01-23 2020-04-22,2020-04-14,27
2020-01-23 2020-04-22,2020-04-15,0
2020-01-23 2020-04-22,2020-04-16,0
2020-01-23 2020-04-22,2020-04-17,15
2020-01-23 2020-04-22,2020-04-18,26
2020-01-23 2020-04-22,2020-04-19,24
2020-01-23 2020-04-22,2020-04-20,26
2020-01-24 2020-04-22,2020-01-24,28
2020-01-24 2020-04-22,2020-01-25,53
2020-01-24 2020-04-22,2020-01-26,100
2020-01-24 2020-04-22,2020-01-27,46
2020-01-24 2020-04-22,2020-01-28,21
2020-01-24 2020-04-22,2020-01-29,37
2020-01-24 2020-04-22,2020-01-30,44
2020-01-24 2020-04-22,2020-01-31,28
2020-01-24 2020-04-22,2020-02-01,40
2020-01-24 2020-04-22,2020-02-02,61
2020-01-24 2020-04-22,2020-02-03,44
2020-01-24 2020-04-22,2020-02-04,47
2020-01-24 2020-04-22,2020-02-05,21
2020-01-24 2020-04-22,2020-02-06,22
2020-01-24 2020-04-22,2020-02-07,35
2020-01-24 2020-04-22,2020-02-08,34
2020-01-24 2020-04-22,2020-02-09,19
2020-01-24 2020-04-22,2020-02-10,25
2020-01-24 2020-04-22,2020-02-11,31
2020-01-24 2020-04-22,2020-02-12,32
2020-01-24 2020-04-22,2020-02-13,43
2020-01-24 2020-04-22,2020-02-14,17
2020-01-24 2020-04-22,2020-02-15,35
2020-01-24 2020-04-22,2020-02-16,39
2020-01-24 2020-04-22,2020-02-17,51
2020-01-24 2020-04-22,2020-02-18,21
2020-01-24 2020-04-22,2020-02-19,36
2020-01-24 2020-04-22,2020-02-20,55
2020-01-24 2020-04-22,2020-02-21,46
2020-01-24 2020-04-22,2020-02-22,28
2020-01-24 2020-04-22,2020-02-23,32
2020-01-24 2020-04-22,2020-02-24,26
2020-01-24 2020-04-22,2020-02-25,30
2020-01-24 2020-04-22,2020-02-26,25
2020-01-24 2020-04-22,2020-02-27,10
2020-01-24 2020-04-22,2020-02-28,16
2020-01-24 2020-04-22,2020-02-29,0
2020-01-24 2020-04-22,2020-03-01,19
2020-01-24 2020-04-22,2020-03-02,10
2020-01-24 2020-04-22,2020-03-03,21
2020-01-24 2020-04-22,2020-03-04,20
2020-01-24 2020-04-22,2020-03-05,30
2020-01-24 2020-04-22,2020-03-06,16
2020-01-24 2020-04-22,2020-03-07,0
2020-01-24 2020-04-22,2020-03-08,31
2020-01-24 2020-04-22,2020-03-09,19
2020-01-24 2020-04-22,2020-03-10,39
2020-01-24 2020-04-22,2020-03-11,25
2020-01-24 2020-04-22,2020-03-12,25
2020-01-24 2020-04-22,2020-03-13,0
2020-01-24 2020-04-22,2020-03-14,18
2020-01-24 2020-04-22,2020-03-15,48
2020-01-24 2020-04-22,2020-03-16,9
2020-01-24 2020-04-22,2020-03-17,15
2020-01-24 2020-04-22,2020-03-18,21
2020-01-24 2020-04-22,2020-03-19,21
2020-01-24 2020-04-22,2020-03-20,10
2020-01-24 2020-04-22,2020-03-21,12
2020-01-24 2020-04-22,2020-03-22,11
2020-01-24 2020-04-22,2020-03-23,9
2020-01-24 2020-04-22,2020-03-24,10
2020-01-24 2020-04-22,2020-03-25,0
2020-01-24 2020-04-22,2020-03-26,10
2020-01-24 2020-04-22,2020-03-27,10
2020-01-24 2020-04-22,2020-03-28,0
2020-01-24 2020-04-22,2020-03-29,11
2020-01-24 2020-04-22,2020-03-30,0
2020-01-24 2020-04-22,2020-03-31,10
2020-01-24 2020-04-22,2020-04-01,10
2020-01-24 2020-04-22,2020-04-02,10
2020-01-24 2020-04-22,2020-04-03,0
2020-01-24 2020-04-22,2020-04-04,13
2020-01-24 2020-04-22,2020-04-05,12
2020-01-24 2020-04-22,2020-04-06,0
2020-01-24 2020-04-22,2020-04-07,10
2020-01-24 2020-04-22,2020-04-08,10
2020-01-24 2020-04-22,2020-04-09,11
2020-01-24 2020-04-22,2020-04-10,24
2020-01-24 2020-04-22,2020-04-11,0
2020-01-24 2020-04-22,2020-04-12,0
2020-01-24 2020-04-22,2020-04-13,23
2020-01-24 2020-04-22,2020-04-14,10
2020-01-24 2020-04-22,2020-04-15,0
2020-01-24 2020-04-22,2020-04-16,0
2020-01-24 2020-04-22,2020-04-17,11
2020-01-24 2020-04-22,2020-04-18,12
2020-01-24 2020-04-22,2020-04-19,35
2020-01-24 2020-04-22,2020-04-20,10
