window,time,value
2020-01-26 2020-04-25,2020-01-26,59
2020-01-26 2020-04-25,2020-01-27,74
2020-01-26 2020-04-25,2020-01-28,81
2020-01-26 2020-04-25,2020-01-29,80
2020-01-26 2020-04-25,2020-01-30,64
2020-01-26 2020-04-25,2020-01-31,86
2020-01-26 2020-04-25,2020-02-01,41
2020-01-26 2020-04-25,2020-02-02,59
2020-01-26 2020-04-25,2020-02-03,80
2020-01-26 2020-04-25,2020-02-04,83
2020-01-26 2020-04-25,2020-02-05,100
2020-01-26 2020-04-25,2020-02-06,85
2020-01-26 2020-04-25,2020-02-07,78
2020-01-26 2020-04-25,2020-02-08,59
2020-01-26 2020-04-25,2020-02-09,64
2020-01-26 2020-04-25,2020-02-10,86
2020-01-26 2020-04-25,2020-02-11,71
2020-01-26 2020-04-25,2020-02-12,75
2020-01-26 2020-04-25,2020-02-13,79
2020-01-26 2020-04-25,2020-02-14,93
2020-01-26 2020-04-25,2020-02-15,48
2020-01-26 2020-04-25,2020-02-16,69
2020-01-26 2020-04-25,2020-02-17,89
2020-01-26 2020-04-25,2020-02-18,79
2020-01-26 2020-04-25,2020-02-19,77
2020-01-26 2020-04-25,2020-02-20,74
2020-01-26 2020-04-25,2020-02-21,74
2020-01-26 2020-04-25,2020-02-22,69
2020-01-26 2020-04-25,2020-02-23,61
2020-01-26 2020-04-25,2020-02-24,87
2020-01-26 2020-04-25,2020-02-25,76
2020-01-26 2020-04-25,2020-02-26,84
2020-01-26 2020-04-25,2020-02-27,69
2020-01-26 2020-04-25,2020-02-28,75
2020-01-26 2020-04-25,2020-02-29,51
2020-01-26 2020-04-25,2020-03-01,56
2020-01-26 2020-04-25,2020-03-02,73
2020-01-26 2020-04-25,2020-03-03,84
2020-01-26 2020-04-25,2020-03-04,70
2020-01-26 2020-04-25,2020-03-05,67
2020-01-26 2020-04-25,2020-03-06,76
2020-01-26 2020-04-25,2020-03-07,63
2020-01-26 2020-04-25,2020-03-08,46
2020-01-26 2020-04-25,2020-03-09,83
2020-01-26 2020-04-25,2020-03-10,86
2020-01-26 2020-04-25,2020-03-11,66
2020-01-26 2020-04-25,2020-03-12,66
2020-01-26 2020-04-25,2020-03-13,43
2020-01-26 2020-04-25,2020-03-14,34
2020-01-26 2020-04-25,2020-03-15,33
2020-01-26 2020-04-25,2020-03-16,44
2020-01-26 2020-04-25,2020-03-17,52
2020-01-26 2020-04-25,2020-03-18,43
2020-01-26 2020-04-25,2020-03-19,45
