window,time,value
2019-04-19 2020-04-19,2019-04-21,79
2019-04-19 2020-04-19,2019-04-28,77
2019-04-19 2020-04-19,2019-05-05,76
2019-04-19 2020-04-19,2019-05-12,86
2019-04-19 2020-04-19,2019-05-19,88
2019-04-19 2020-04-19,2019-05-26,93
2019-04-19 2020-04-19,2019-06-02,95
2019-04-19 2020-04-19,2019-06-09,81
2019-04-19 2020-04-19,2019-06-16,89
2019-04-19 2020-04-19,2019-06-23,88
2019-04-19 2020-04-19,2019-06-30,88
2019-04-19 2020-04-19,2019-07-07,95
2019-04-19 2020-04-19,2019-07-14,100
2019-04-19 2020-04-19,2019-07-21,91
2019-04-19 2020-04-19,2019-07-28,88
2019-04-19 2020-04-19,2019-08-04,92
2019-04-19 2020-04-19,2019-08-11,92
2019-04-19 2020-04-19,2019-08-18,87
2019-04-19 2020-04-19,2019-08-25,96
2019-04-19 2020-04-19,2019-09-01,84
2019-04-19 2020-04-19,2019-09-08,89
2019-04-19 2020-04-19,2019-09-15,86
2019-04-19 2020-04-19,2019-09-22,92
2019-04-19 2020-04-19,2019-09-29,79
2019-04-19 2020-04-19,2019-10-06,78
2019-04-19 2020-04-19,2019-10-13,78
2019-04-19 2020-04-19,2019-10-20,74
2019-04-19 2020-04-19,2019-10-27,67
2019-04-19 2020-04-19,2019-11-03,75
2019-04-19 2020-04-19,2019-11-10,72
2019-04-19 2020-04-19,2019-11-17,70
2019-04-19 2020-04-19,2019-11-24,66
2019-04-19 2020-04-19,2019-12-01,68
2019-04-19 2020-04-19,2019-12-08,66
2019-04-19 2020-04-19,2019-12-15,63
2019-04-19 2020-04-19,2019-12-22,47
2019-04-19 2020-04-19,2019-12-29,55
2019-04-19 2020-04-19,2020-01-05,70
2019-04-19 2020-04-19,2020-01-12,73
2019-04-19 2020-04-19,2020-01-19,75
2019-04-19 2020-04-19,2020-01-26,69
2019-04-19 2020-04-19,2020-02-02,74
2019-04-19 2020-04-19,2020-02-09,74
2019-04-19 2020-04-19,2020-02-16,72
2019-04-19 2020-04-19,2020-02-23,73
2019-04-19 2020-04-19,2020-03-01,73
2019-04-19 2020-04-19,2020-03-08,64
2019-04-19 2020-04-19,2020-03-15,40
2019-04-19 2020-04-19,2020-03-22,40
2019-04-19 2020-04-19,2020-03-29,41
2019-04-19 2020-04-19,2020-04-05,47
2019-04-19 2020-04-19,2020-04-12,50
2019-04-26 2020-04-19,2019-04-28,73
2019-04-26 2020-04-19,2019-05-05,84
2019-04-26 2020-04-19,2019-05-12,80
2019-04-26 2020-04-19,2019-05-19,90
2019-04-26 2020-04-19,2019-05-26,93
2019-04-26 2020-04-19,2019-06-02,99
2019-04-26 2020-04-19,2019-06-09,86
2019-04-26 2020-04-19,2019-06-16,89
2019-04-26 2020-04-19,2019-06-23,95
2019-04-26 2020-04-19,2019-06-30,89
2019-04-26 2020-04-19,2019-07-07,93
2019-04-26 2020-04-19,2019-07-14,100
2019-04-26 2020-04-19,2019-07-21,92
2019-04-26 2020-04-19,2019-07-28,90
2019-04-26 2020-04-19,2019-08-04,97
2019-04-26 2020-04-19,2019-08-11,89
2019-04-26 2020-04-19,2019-08-18,88
2019-04-26 2020-04-19,2019-08-25,94
2019-04-26 2020-04-19,2019-09-01,86
2019-04-26 2020-04-19,2019-09-08,85
2019-04-26 2020-04-19,2019-09-15,88
2019-04-26 2020-04-19,2019-09-22,87
2019-04-26 2020-04-19,2019-09-29,79
2019-04-26 2020-04-19,2019-10-06,76
2019-04-26 2020-04-19,2019-10-13,78
2019-04-26 2020-04-19,2019-10-20,75
2019-04-26 2020-04-19,2019-10-27,69
2019-04-26 2020-04-19,2019-11-03,75
2019-04-26 2020-04-19,2019-11-10,73
2019-04-26 2020-04-19,2019-11-17,73
2019-04-26 2020-04-19,2019-11-24,71
2019-04-26 2020-04-19,2019-12-01,68
2019-04-26 2020-04-19,2019-12-08,74
2019-04-26 2020-04-19,2019-12-15,61
2019-04-26 2020-04-19,2019-12-22,45
2019-04-26 2020-04-19,2019-12-29,58
2019-04-26 2020-04-19,2020-01-05,69
2019-04-26 2020-04-19,2020-01-12,72
2019-04-26 2020-04-19,2020-01-19,74
2019-04-26 2020-04-19,2020-01-26,74
2019-04-26 2020-04-19,2020-02-02,79
2019-04-26 2020-04-19,2020-02-09,75
2019-04-26 2020-04-19,2020-02-16,80
2019-04-26 2020-04-19,2020-02-23,71
2019-04-26 2020-04-19,2020-03-01,77
2019-04-26 2020-04-19,2020-03-08,65
2019-04-26 2020-04-19,2020-03-15,42
2019-04-26 2020-04-19,2020-03-22,40
2019-04-26 2020-04-19,2020-03-29,42
2019-04-26 2020-04-19,2020-04-05,46
2019-04-26 2020-04-19,2020-04-12,50
