window,time,value
2020-03-02 2020-05-31,2020-03-02,42
2020-03-02 2020-05-31,2020-03-03,49
2020-03-02 2020-05-31,2020-03-04,55
2020-03-02 2020-05-31,2020-03-05,72
2020-03-02 2020-05-31,2020-03-06,89
2020-03-02 2020-05-31,2020-03-07,68
2020-03-02 2020-05-31,2020-03-08,67
2020-03-02 2020-05-31,2020-03-09,40
2020-03-02 2020-05-31,2020-03-10,70
2020-03-02 2020-05-31,2020-03-11,100
2020-03-02 2020-05-31,2020-03-12,60
2020-03-02 2020-05-31,2020-03-13,34
2020-03-02 2020-05-31,2020-03-14,79
2020-03-02 2020-05-31,2020-03-15,43
2020-03-02 2020-05-31,2020-03-16,25
2020-03-02 2020-05-31,2020-03-17,44
2020-03-02 2020-05-31,2020-03-18,27
2020-03-02 2020-05-31,2020-03-19,37
2020-03-02 2020-05-31,2020-03-20,54
2020-03-02 2020-05-31,2020-03-21,21
2020-03-02 2020-05-31,2020-03-22,40
2020-03-02 2020-05-31,2020-03-23,38
2020-03-02 2020-05-31,2020-03-24,35
2020-03-02 2020-05-31,2020-03-25,0
2020-03-02 2020-05-31,2020-03-26,29
2020-03-02 2020-05-31,2020-03-27,41
2020-03-02 2020-05-31,2020-03-28,94
2020-03-02 2020-05-31,2020-03-29,53
2020-03-02 2020-05-31,2020-03-30,49
2020-03-02 2020-05-31,2020-03-31,29
2020-03-02 2020-05-31,2020-04-01,62
2020-03-02 2020-05-31,2020-04-02,30
2020-03-02 2020-05-31,2020-04-03,46
2020-03-02 2020-05-31,2020-04-04,45
2020-03-02 2020-05-31,2020-04-05,52
2020-03-02 2020-05-31,2020-04-06,18
2020-03-02 2020-05-31,2020-04-07,24
2020-03-02 2020-05-31,2020-04-08,55
2020-03-02 2020-05-31,2020-04-09,38
2020-03-02 2020-05-31,2020-04-10,29
2020-03-02 2020-05-31,2020-04-11,0
2020-03-02 2020-05-31,2020-04-12,34
2020-03-02 2020-05-31,2020-04-13,85
2020-03-02 2020-05-31,2020-04-14,18
2020-03-02 2020-05-31,2020-04-15,43
2020-03-02 2020-05-31,2020-04-16,30
2020-03-02 2020-05-31,2020-04-17,19
2020-03-02 2020-05-31,2020-04-18,67
2020-03-02 2020-05-31,2020-04-19,52
2020-03-02 2020-05-31,2020-04-20,43
