window,time,value
2019-06-03 2020-06-03,2019-06-09,58
2019-06-03 2020-06-03,2019-06-16,28
2019-06-03 2020-06-03,2019-06-23,40
2019-06-03 2020-06-03,2019-06-30,39
2019-06-03 2020-06-03,2019-07-07,32
2019-06-03 2020-06-03,2019-07-14,55
2019-06-03 2020-06-03,2019-07-21,76
2019-06-03 2020-06-03,2019-07-28,57
2019-06-03 2020-06-03,2019-08-04,31
2019-06-03 2020-06-03,2019-08-11,46
2019-06-03 2020-06-03,2019-08-18,32
2019-06-03 2020-06-03,2019-08-25,32
2019-06-03 2020-06-03,2019-09-01,44
2019-06-03 2020-06-03,2019-09-08,44
2019-06-03 2020-06-03,2019-09-15,46
2019-06-03 2020-06-03,2019-09-22,43
2019-06-03 2020-06-03,2019-09-29,55
2019-06-03 2020-06-03,2019-10-06,37
2019-06-03 2020-06-03,2019-10-13,48
2019-06-03 2020-06-03,2019-10-20,24
2019-06-03 2020-06-03,2019-10-27,33
2019-06-03 2020-06-03,2019-11-03,41
2019-06-03 2020-06-03,2019-11-10,35
2019-06-03 2020-06-03,2019-11-17,39
2019-06-03 2020-06-03,2019-11-24,34
2019-06-03 2020-06-03,2019-12-01,37
2019-06-03 2020-06-03,2019-12-08,43
2019-06-03 2020-06-03,2019-12-15,62
2019-06-03 2020-06-03,2019-12-22,79
2019-06-03 2020-06-03,2019-12-29,81
2019-06-03 2020-06-03,2020-01-05,15
2019-06-03 2020-06-03,2020-01-12,39
2019-06-03 2020-06-03,2020-01-19,40
2019-06-03 2020-06-03,2020-01-26,52
2019-06-03 2020-06-03,2020-02-02,46
2019-06-03 2020-06-03,2020-02-09,48
2019-06-03 2020-06-03,2020-02-16,51
2019-06-03 2020-06-03,2020-02-23,52
2019-06-03 2020-06-03,2020-03-01,64
2019-06-03 2020-06-03,2020-03-08,29
2019-06-03 2020-06-03,2020-03-15,61
2019-06-03 2020-06-03,2020-03-22,77
2019-06-03 2020-06-03,2020-03-29,79
2019-06-03 2020-06-03,2020-04-05,72
2019-06-03 2020-06-03,2020-04-12,78
2019-06-03 2020-06-03,2020-04-19,70
2019-06-03 2020-06-03,2020-04-26,82
2019-06-03 2020-06-03,2020-05-03,85
2019-06-03 2020-06-03,2020-05-10,54
2019-06-03 2020-06-03,2020-05-17,50
2019-06-03 2020-06-03,2020-05-24,40
2019-06-03 2020-06-03,2020-05-31,100
2019-06-10 2020-06-03,2019-06-16,32
2019-06-10 2020-06-03,2019-06-23,19
2019-06-10 2020-06-03,2019-06-30,35
2019-06-10 2020-06-03,2019-07-07,29
2019-06-10 2020-06-03,2019-07-14,43
2019-06-10 2020-06-03,2019-07-21,58
2019-06-10 2020-06-03,2019-07-28,49
2019-06-10 2020-06-03,2019-08-04,34
2019-06-10 2020-06-03,2019-08-11,35
2019-06-10 2020-06-03,2019-08-18,46
2019-06-10 2020-06-03,2019-08-25,34
2019-06-10 2020-06-03,2019-09-01,30
2019-06-10 2020-06-03,2019-09-08,30
2019-06-10 2020-06-03,2019-09-15,25
2019-06-10 2020-06-03,2019-09-22,29
2019-06-10 2020-06-03,2019-09-29,43
2019-06-10 2020-06-03,2019-10-06,28
2019-06-10 2020-06-03,2019-10-13,31
2019-06-10 2020-06-03,2019-10-20,23
2019-06-10 2020-06-03,2019-10-27,34
2019-06-10 2020-06-03,2019-11-03,24
2019-06-10 2020-06-03,2019-11-10,43
2019-06-10 2020-06-03,2019-11-17,35
2019-06-10 2020-06-03,2019-11-24,33
2019-06-10 2020-06-03,2019-12-01,30
2019-06-10 2020-06-03,2019-12-08,53
2019-06-10 2020-06-03,2019-12-15,47
2019-06-10 2020-06-03,2019-12-22,63
2019-06-10 2020-06-03,2019-12-29,61
2019-06-10 2020-06-03,2020-01-05,18
2019-06-10 2020-06-03,2020-01-12,34
2019-06-10 2020-06-03,2020-01-19,38
2019-06-10 2020-06-03,2020-01-26,35
2019-06-10 2020-06-03,2020-02-02,38
2019-06-10 2020-06-03,2020-02-09,34
2019-06-10 2020-06-03,2020-02-16,31
2019-06-10 2020-06-03,2020-02-23,40
2019-06-10 2020-06-03,2020-03-01,57
2019-06-10 2020-06-03,2020-03-08,33
2019-06-10 2020-06-03,2020-03-15,67
2019-06-10 2020-06-03,2020-03-22,55
2019-06-10 2020-06-03,2020-03-29,57
2019-06-10 2020-06-03,2020-04-05,60
2019-06-10 2020-06-03,2020-04-12,75
2019-06-10 2020-06-03,2020-04-19,58
2019-06-10 2020-06-03,2020-04-26,61
2019-06-10 2020-06-03,2020-05-03,63
2019-06-10 2020-06-03,2020-05-10,31
2019-06-10 2020-06-03,2020-05-17,39
2019-06-10 2020-06-03,2020-05-24,33
2019-06-10 2020-06-03,2020-05-31,100
