window,time,value
2020-03-03 2020-06-01,2020-03-03,21
2020-03-03 2020-06-01,2020-03-04,41
2020-03-03 2020-06-01,2020-03-05,41
2020-03-03 2020-06-01,2020-03-06,86
2020-03-03 2020-06-01,2020-03-07,63
2020-03-03 2020-06-01,2020-03-08,51
2020-03-03 2020-06-01,2020-03-09,20
2020-03-03 2020-06-01,2020-03-10,79
2020-03-03 2020-06-01,2020-03-11,20
2020-03-03 2020-06-01,2020-03-12,20
2020-03-03 2020-06-01,2020-03-13,20
2020-03-03 2020-06-01,2020-03-14,24
2020-03-03 2020-06-01,2020-03-15,24
2020-03-03 2020-06-01,2020-03-16,37
2020-03-03 2020-06-01,2020-03-17,20
2020-03-03 2020-06-01,2020-03-18,62
2020-03-03 2020-06-01,2020-03-19,0
2020-03-03 2020-06-01,2020-03-20,20
2020-03-03 2020-06-01,2020-03-21,24
2020-03-03 2020-06-01,2020-03-22,23
2020-03-03 2020-06-01,2020-03-23,18
2020-03-03 2020-06-01,2020-03-24,39
2020-03-03 2020-06-01,2020-03-25,60
2020-03-03 2020-06-01,2020-03-26,40
2020-03-03 2020-06-01,2020-03-27,60
2020-03-03 2020-06-01,2020-03-28,73
2020-03-03 2020-06-01,2020-03-29,34
2020-03-03 2020-06-01,2020-03-30,55
2020-03-03 2020-06-01,2020-03-31,20
2020-03-03 2020-06-01,2020-04-01,0
2020-03-03 2020-06-01,2020-04-02,51
2020-03-03 2020-06-01,2020-04-03,21
2020-03-03 2020-06-01,2020-04-04,63
2020-03-03 2020-06-01,2020-04-05,50
2020-03-03 2020-06-01,2020-04-06,30
2020-03-03 2020-06-01,2020-04-07,21
2020-03-03 2020-06-01,2020-04-08,63
2020-03-03 2020-06-01,2020-04-09,22
2020-03-03 2020-06-01,2020-04-10,49
2020-03-03 2020-06-01,2020-04-11,26
2020-03-03 2020-06-01,2020-04-12,52
2020-03-03 2020-06-01,2020-04-13,36
2020-03-03 2020-06-01,2020-04-14,60
2020-03-03 2020-06-01,2020-04-15,73
2020-03-03 2020-06-01,2020-04-16,20
2020-03-03 2020-06-01,2020-04-17,54
2020-03-03 2020-06-01,2020-04-18,0
2020-03-03 2020-06-01,2020-04-19,24
2020-03-03 2020-06-01,2020-04-20,38
2020-03-03 2020-06-01,2020-04-21,49
2020-03-03 2020-06-01,2020-04-22,20
2020-03-03 2020-06-01,2020-04-23,41
2020-03-03 2020-06-01,2020-04-24,32
2020-03-03 2020-06-01,2020-04-25,100
2020-03-03 2020-06-01,2020-04-26,69
2020-03-03 2020-06-01,2020-04-27,19
2020-03-03 2020-06-01,2020-04-28,47
2020-03-03 2020-06-01,2020-04-29,96
2020-03-03 2020-06-01,2020-04-30,27
2020-03-03 2020-06-01,2020-05-01,41
2020-03-03 2020-06-01,2020-05-02,45
2020-03-03 2020-06-01,2020-05-03,71
2020-03-03 2020-06-01,2020-05-04,29
2020-03-03 2020-06-01,2020-05-05,36
2020-03-03 2020-06-01,2020-05-06,39
2020-03-03 2020-06-01,2020-05-07,42
2020-03-03 2020-06-01,2020-05-08,32
2020-03-03 2020-06-01,2020-05-09,26
2020-03-03 2020-06-01,2020-05-10,85
2020-03-03 2020-06-01,2020-05-11,47
2020-03-03 2020-06-01,2020-05-12,58
2020-03-03 2020-06-01,2020-05-13,29
2020-03-03 2020-06-01,2020-05-14,40
2020-03-03 2020-06-01,2020-05-15,72
2020-03-03 2020-06-01,2020-05-16,50
2020-03-03 2020-06-01,2020-05-17,76
2020-03-03 2020-06-01,2020-05-18,62
2020-03-03 2020-06-01,2020-05-19,21
2020-03-03 2020-06-01,2020-05-20,64
2020-03-03 2020-06-01,2020-05-21,64
2020-03-03 2020-06-01,2020-05-22,94
2020-03-03 2020-06-01,2020-05-23,35
2020-03-03 2020-06-01,2020-05-24,37
2020-03-03 2020-06-01,2020-05-25,30
2020-03-03 2020-06-01,2020-05-26,82
2020-03-03 2020-06-01,2020-05-27,72
2020-03-03 2020-06-01,2020-05-28,21
2020-03-03 2020-06-01,2020-05-29,22
2020-03-04 2020-06-01,2020-03-04,35
2020-03-04 2020-06-01,2020-03-05,52
2020-03-04 2020-06-01,2020-03-06,66
2020-03-04 2020-06-01,2020-03-07,100
2020-03-04 2020-06-01,2020-03-08,21
2020-03-04 2020-06-01,2020-03-09,49
2020-03-04 2020-06-01,2020-03-10,45
2020-03-04 2020-06-01,2020-03-11,43
2020-03-04 2020-06-01,2020-03-12,60
2020-03-04 2020-06-01,2020-03-13,16
2020-03-04 2020-06-01,2020-03-14,51
2020-03-04 2020-06-01,2020-03-15,21
2020-03-04 2020-06-01,2020-03-16,16
2020-03-04 2020-06-01,2020-03-17,45
2020-03-04 2020-06-01,2020-03-18,44
2020-03-04 2020-06-01,2020-03-19,18
2020-03-04 2020-06-01,2020-03-20,29
2020-03-04 2020-06-01,2020-03-21,61
2020-03-04 2020-06-01,2020-03-22,19
2020-03-04 2020-06-01,2020-03-23,23
2020-03-04 2020-06-01,2020-03-24,24
2020-03-04 2020-06-01,2020-03-25,42
2020-03-04 2020-06-01,2020-03-26,17
2020-03-04 2020-06-01,2020-03-27,17
2020-03-04 2020-06-01,2020-03-28,21
2020-03-04 2020-06-01,2020-03-29,19
2020-03-04 2020-06-01,2020-03-30,52
2020-03-04 2020-06-01,2020-03-31,41
2020-03-04 2020-06-01,2020-04-01,17
2020-03-04 2020-06-01,2020-04-02,42
2020-03-04 2020-06-01,2020-04-03,18
2020-03-04 2020-06-01,2020-04-04,54
2020-03-04 2020-06-01,2020-04-05,42
2020-03-04 2020-06-01,2020-04-06,17
2020-03-04 2020-06-01,2020-04-07,23
2020-03-04 2020-06-01,2020-04-08,35
2020-03-04 2020-06-01,2020-04-09,0
2020-03-04 2020-06-01,2020-04-10,42
2020-03-04 2020-06-01,2020-04-11,22
2020-03-04 2020-06-01,2020-04-12,22
2020-03-04 2020-06-01,2020-04-13,47
2020-03-04 2020-06-01,2020-04-14,34
2020-03-04 2020-06-01,2020-04-15,87
2020-03-04 2020-06-01,2020-04-16,43
