window,time,value
2019-05-23 2020-05-23,2019-05-26,52
2019-05-23 2020-05-23,2019-06-02,37
2019-05-23 2020-05-23,2019-06-09,31
2019-05-23 2020-05-23,2019-06-16,43
2019-05-23 2020-05-23,2019-06-23,59
2019-05-23 2020-05-23,2019-06-30,36
2019-05-23 2020-05-23,2019-07-07,57
2019-05-23 2020-05-23,2019-07-14,48
2019-05-23 2020-05-23,2019-07-21,51
2019-05-23 2020-05-23,2019-07-28,55
2019-05-23 2020-05-23,2019-08-04,57
2019-05-23 2020-05-23,2019-08-11,49
2019-05-23 2020-05-23,2019-08-18,57
2019-05-23 2020-05-23,2019-08-25,59
2019-05-23 2020-05-23,2019-09-01,46
2019-05-23 2020-05-23,2019-09-08,48
2019-05-23 2020-05-23,2019-09-15,44
2019-05-23 2020-05-23,2019-09-22,40
2019-05-23 2020-05-23,2019-09-29,42
2019-05-23 2020-05-23,2019-10-06,41
2019-05-23 2020-05-23,2019-10-13,43
2019-05-23 2020-05-23,2019-10-20,40
2019-05-23 2020-05-23,2019-10-27,68
2019-05-23 2020-05-23,2019-11-03,66
2019-05-23 2020-05-23,2019-11-10,49
2019-05-23 2020-05-23,2019-11-17,60
2019-05-23 2020-05-23,2019-11-24,80
2019-05-23 2020-05-23,2019-12-01,76
2019-05-23 2020-05-23,2019-12-08,89
2019-05-23 2020-05-23,2019-12-15,100
2019-05-23 2020-05-23,2019-12-22,69
2019-05-23 2020-05-23,2019-12-29,58
2019-05-23 2020-05-23,2020-01-05,53
2019-05-23 2020-05-23,2020-01-12,35
2019-05-23 2020-05-23,2020-01-19,54
2019-05-23 2020-05-23,2020-01-26,47
2019-05-23 2020-05-23,2020-02-02,65
2019-05-23 2020-05-23,2020-02-09,59
2019-05-23 2020-05-23,2020-02-16,30
2019-05-23 2020-05-23,2020-02-23,50
2019-05-23 2020-05-23,2020-03-01,48
2019-05-23 2020-05-23,2020-03-08,42
2019-05-23 2020-05-23,2020-03-15,28
2019-05-23 2020-05-23,2020-03-22,26
2019-05-23 2020-05-23,2020-03-29,24
2019-05-23 2020-05-23,2020-04-05,24
2019-05-23 2020-05-23,2020-04-12,37
2019-05-23 2020-05-23,2020-04-19,24
2019-05-23 2020-05-23,2020-04-26,47
2019-05-23 2020-05-23,2020-05-03,35
2019-05-23 2020-05-23,2020-05-10,38
2019-05-23 2020-05-23,2020-05-17,36
2019-05-30 2020-05-23,2019-06-02,43
2019-05-30 2020-05-23,2019-06-09,40
2019-05-30 2020-05-23,2019-06-16,47
2019-05-30 2020-05-23,2019-06-23,47
2019-05-30 2020-05-23,2019-06-30,37
2019-05-30 2020-05-23,2019-07-07,49
2019-05-30 2020-05-23,2019-07-14,47
2019-05-30 2020-05-23,2019-07-21,41
2019-05-30 2020-05-23,2019-07-28,48
2019-05-30 2020-05-23,2019-08-04,50
2019-05-30 2020-05-23,2019-08-11,56
2019-05-30 2020-05-23,2019-08-18,40
2019-05-30 2020-05-23,2019-08-25,58
2019-05-30 2020-05-23,2019-09-01,43
2019-05-30 2020-05-23,2019-09-08,28
2019-05-30 2020-05-23,2019-09-15,47
2019-05-30 2020-05-23,2019-09-22,52
2019-05-30 2020-05-23,2019-09-29,47
2019-05-30 2020-05-23,2019-10-06,43
2019-05-30 2020-05-23,2019-10-13,31
2019-05-30 2020-05-23,2019-10-20,46
2019-05-30 2020-05-23,2019-10-27,61
2019-05-30 2020-05-23,2019-11-03,56
2019-05-30 2020-05-23,2019-11-10,51
2019-05-30 2020-05-23,2019-11-17,62
2019-05-30 2020-05-23,2019-11-24,81
2019-05-30 2020-05-23,2019-12-01,76
2019-05-30 2020-05-23,2019-12-08,87
2019-05-30 2020-05-23,2019-12-15,100
2019-05-30 2020-05-23,2019-12-22,66
2019-05-30 2020-05-23,2019-12-29,65
2019-05-30 2020-05-23,2020-01-05,41
2019-05-30 2020-05-23,2020-01-12,43
2019-05-30 2020-05-23,2020-01-19,44
2019-05-30 2020-05-23,2020-01-26,39
2019-05-30 2020-05-23,2020-02-02,49
2019-05-30 2020-05-23,2020-02-09,50
2019-05-30 2020-05-23,2020-02-16,40
2019-05-30 2020-05-23,2020-02-23,38
2019-05-30 2020-05-23,2020-03-01,58
2019-05-30 2020-05-23,2020-03-08,37
2019-05-30 2020-05-23,2020-03-15,16
2019-05-30 2020-05-23,2020-03-22,26
2019-05-30 2020-05-23,2020-03-29,24
2019-05-30 2020-05-23,2020-04-05,36
2019-05-30 2020-05-23,2020-04-12,37
2019-05-30 2020-05-23,2020-04-19,32
2019-05-30 2020-05-23,2020-04-26,35
2019-05-30 2020-05-23,2020-05-03,34
2019-05-30 2020-05-23,2020-05-10,58
2019-05-30 2020-05-23,2020-05-17,40
