window,time,value
2019-04-13 2020-04-13,2019-04-14,62
2019-04-13 2020-04-13,2019-04-21,44
2019-04-13 2020-04-13,2019-04-28,55
2019-04-13 2020-04-13,2019-05-05,66
2019-04-13 2020-04-13,2019-05-12,55
2019-04-13 2020-04-13,2019-05-19,51
2019-04-13 2020-04-13,2019-05-26,65
2019-04-13 2020-04-13,2019-06-02,63
2019-04-13 2020-04-13,2019-06-09,87
2019-04-13 2020-04-13,2019-06-16,54
2019-04-13 2020-04-13,2019-06-23,93
2019-04-13 2020-04-13,2019-06-30,90
2019-04-13 2020-04-13,2019-07-07,71
2019-04-13 2020-04-13,2019-07-14,70
2019-04-13 2020-04-13,2019-07-21,100
2019-04-13 2020-04-13,2019-07-28,94
2019-04-13 2020-04-13,2019-08-04,70
2019-04-13 2020-04-13,2019-08-11,79
2019-04-13 2020-04-13,2019-08-18,53
2019-04-13 2020-04-13,2019-08-25,88
2019-04-13 2020-04-13,2019-09-01,72
2019-04-13 2020-04-13,2019-09-08,51
2019-04-13 2020-04-13,2019-09-15,69
2019-04-13 2020-04-13,2019-09-22,52
2019-04-13 2020-04-13,2019-09-29,39
2019-04-13 2020-04-13,2019-10-06,65
2019-04-13 2020-04-13,2019-10-13,30
2019-04-13 2020-04-13,2019-10-20,45
2019-04-13 2020-04-13,2019-10-27,50
2019-04-13 2020-04-13,2019-11-03,46
2019-04-13 2020-04-13,2019-11-10,49
2019-04-13 2020-04-13,2019-11-17,48
2019-04-13 2020-04-13,2019-11-24,34
2019-04-13 2020-04-13,2019-12-01,46
2019-04-13 2020-04-13,2019-12-08,49
2019-04-13 2020-04-13,2019-12-15,61
2019-04-13 2020-04-13,2019-12-22,58
2019-04-13 2020-04-13,2019-12-29,44
2019-04-13 2020-04-13,2020-01-05,44
2019-04-13 2020-04-13,2020-01-12,59
2019-04-13 2020-04-13,2020-01-19,44
2019-04-13 2020-04-13,2020-01-26,55
2019-04-13 2020-04-13,2020-02-02,47
2019-04-13 2020-04-13,2020-02-09,55
2019-04-13 2020-04-13,2020-02-16,55
2019-04-13 2020-04-13,2020-02-23,54
2019-04-13 2020-04-13,2020-03-01,42
2019-04-13 2020-04-13,2020-03-08,49
2019-04-13 2020-04-13,2020-03-15,43
2019-04-13 2020-04-13,2020-03-22,34
2019-04-13 2020-04-13,2020-03-29,23
2019-04-13 2020-04-13,2020-04-05,34
2019-04-20 2020-04-13,2019-04-21,50
2019-04-20 2020-04-13,2019-04-28,54
2019-04-20 2020-04-13,2019-05-05,66
2019-04-20 2020-04-13,2019-05-12,56
2019-04-20 2020-04-13,2019-05-19,55
2019-04-20 2020-04-13,2019-05-26,63
2019-04-20 2020-04-13,2019-06-02,56
2019-04-20 2020-04-13,2019-06-09,51
2019-04-20 2020-04-13,2019-06-16,55
2019-04-20 2020-04-13,2019-06-23,77
2019-04-20 2020-04-13,2019-06-30,79
2019-04-20 2020-04-13,2019-07-07,60
2019-04-20 2020-04-13,2019-07-14,57
2019-04-20 2020-04-13,2019-07-21,66
2019-04-20 2020-04-13,2019-07-28,100
2019-04-20 2020-04-13,2019-08-04,53
2019-04-20 2020-04-13,2019-08-11,52
2019-04-20 2020-04-13,2019-08-18,54
2019-04-20 2020-04-13,2019-08-25,59
2019-04-20 2020-04-13,2019-09-01,47
2019-04-20 2020-04-13,2019-09-08,66
2019-04-20 2020-04-13,2019-09-15,57
2019-04-20 2020-04-13,2019-09-22,37
2019-04-20 2020-04-13,2019-09-29,35
2019-04-20 2020-04-13,2019-10-06,61
2019-04-20 2020-04-13,2019-10-13,45
2019-04-20 2020-04-13,2019-10-20,42
2019-04-20 2020-04-13,2019-10-27,45
2019-04-20 2020-04-13,2019-11-03,32
2019-04-20 2020-04-13,2019-11-10,36
2019-04-20 2020-04-13,2019-11-17,52
2019-04-20 2020-04-13,2019-11-24,27
2019-04-20 2020-04-13,2019-12-01,43
2019-04-20 2020-04-13,2019-12-08,39
2019-04-20 2020-04-13,2019-12-15,51
2019-04-20 2020-04-13,2019-12-22,54
2019-04-20 2020-04-13,2019-12-29,42
2019-04-20 2020-04-13,2020-01-05,49
2019-04-20 2020-04-13,2020-01-12,65
2019-04-20 2020-04-13,2020-01-19,57
2019-04-20 2020-04-13,2020-01-26,52
2019-04-20 2020-04-13,2020-02-02,51
2019-04-20 2020-04-13,2020-02-09,56
2019-04-20 2020-04-13,2020-02-16,37
2019-04-20 2020-04-13,2020-02-23,43
2019-04-20 2020-04-13,2020-03-01,45
2019-04-20 2020-04-13,2020-03-08,43
2019-04-20 2020-04-13,2020-03-15,36
2019-04-20 2020-04-13,2020-03-22,27
2019-04-20 2020-04-13,2020-03-29,12
2019-04-20 2020-04-13,2020-04-05,25
