window,time,value
2019-05-21 2020-05-21,2019-05-26,35
2019-05-21 2020-05-21,2019-06-02,50
2019-05-21 2020-05-21,2019-06-09,49
2019-05-21 2020-05-21,2019-06-16,39
2019-05-21 2020-05-21,2019-06-23,50
2019-05-21 2020-05-21,2019-06-30,44
2019-05-21 2020-05-21,2019-07-07,61
2019-05-21 2020-05-21,2019-07-14,76
2019-05-21 2020-05-21,2019-07-21,75
2019-05-21 2020-05-21,2019-07-28,89
2019-05-21 2020-05-21,2019-08-04,59
2019-05-21 2020-05-21,2019-08-11,72
2019-05-21 2020-05-21,2019-08-18,73
2019-05-21 2020-05-21,2019-08-25,31
2019-05-21 2020-05-21,2019-09-01,42
2019-05-21 2020-05-21,2019-09-08,45
2019-05-21 2020-05-21,2019-09-15,64
2019-05-21 2020-05-21,2019-09-22,74
2019-05-21 2020-05-21,2019-09-29,56
2019-05-21 2020-05-21,2019-10-06,49
2019-05-21 2020-05-21,2019-10-13,63
2019-05-21 2020-05-21,2019-10-20,67
2019-05-21 2020-05-21,2019-10-27,56
2019-05-21 2020-05-21,2019-11-03,64
2019-05-21 2020-05-21,2019-11-10,77
2019-05-21 2020-05-21,2019-11-17,58
2019-05-21 2020-05-21,2019-11-24,58
2019-05-21 2020-05-21,2019-12-01,96
2019-05-21 2020-05-21,2019-12-08,100
2019-05-21 2020-05-21,2019-12-15,80
2019-05-21 2020-05-21,2019-12-22,56
2019-05-21 2020-05-21,2019-12-29,46
2019-05-21 2020-05-21,2020-01-05,44
2019-05-21 2020-05-21,2020-01-12,44
2019-05-21 2020-05-21,2020-01-19,33
2019-05-21 2020-05-21,2020-01-26,38
2019-05-21 2020-05-21,2020-02-02,47
2019-05-21 2020-05-21,2020-02-09,37
2019-05-21 2020-05-21,2020-02-16,63
2019-05-21 2020-05-21,2020-02-23,53
2019-05-21 2020-05-21,2020-03-01,30
2019-05-21 2020-05-21,2020-03-08,50
2019-05-21 2020-05-21,2020-03-15,9
2019-05-21 2020-05-21,2020-03-22,13
2019-05-21 2020-05-21,2020-03-29,8
2019-05-21 2020-05-21,2020-04-05,12
2019-05-21 2020-05-21,2020-04-12,10
2019-05-21 2020-05-21,2020-04-19,10
2019-05-21 2020-05-21,2020-04-26,26
2019-05-21 2020-05-21,2020-05-03,13
2019-05-21 2020-05-21,2020-05-10,6
2019-05-21 2020-05-21,2020-05-17,13
2019-05-28 2020-05-21,2019-06-02,37
2019-05-28 2020-05-21,2019-06-09,59
2019-05-28 2020-05-21,2019-06-16,65
2019-05-28 2020-05-21,2019-06-23,69
2019-05-28 2020-05-21,2019-06-30,51
2019-05-28 2020-05-21,2019-07-07,64
2019-05-28 2020-05-21,2019-07-14,69
2019-05-28 2020-05-21,2019-07-21,98
2019-05-28 2020-05-21,2019-07-28,95
2019-05-28 2020-05-21,2019-08-04,82
2019-05-28 2020-05-21,2019-08-11,78
2019-05-28 2020-05-21,2019-08-18,56
2019-05-28 2020-05-21,2019-08-25,46
2019-05-28 2020-05-21,2019-09-01,36
2019-05-28 2020-05-21,2019-09-08,55
2019-05-28 2020-05-21,2019-09-15,59
2019-05-28 2020-05-21,2019-09-22,64
2019-05-28 2020-05-21,2019-09-29,62
2019-05-28 2020-05-21,2019-10-06,46
2019-05-28 2020-05-21,2019-10-13,68
2019-05-28 2020-05-21,2019-10-20,52
2019-05-28 2020-05-21,2019-10-27,65
2019-05-28 2020-05-21,2019-11-03,64
2019-05-28 2020-05-21,2019-11-10,74
2019-05-28 2020-05-21,2019-11-17,62
2019-05-28 2020-05-21,2019-11-24,65
2019-05-28 2020-05-21,2019-12-01,98
2019-05-28 2020-05-21,2019-12-08,100
2019-05-28 2020-05-21,2019-12-15,84
2019-05-28 2020-05-21,2019-12-22,57
2019-05-28 2020-05-21,2019-12-29,41
2019-05-28 2020-05-21,2020-01-05,38
2019-05-28 2020-05-21,2020-01-12,34
2019-05-28 2020-05-21,2020-01-19,59
2019-05-28 2020-05-21,2020-01-26,44
2019-05-28 2020-05-21,2020-02-02,54
2019-05-28 2020-05-21,2020-02-09,42
2019-05-28 2020-05-21,2020-02-16,48
2019-05-28 2020-05-21,2020-02-23,50
2019-05-28 2020-05-21,2020-03-01,29
2019-05-28 2020-05-21,2020-03-08,51
2019-05-28 2020-05-21,2020-03-15,11
2019-05-28 2020-05-21,2020-03-22,14
2019-05-28 2020-05-21,2020-03-29,8
2019-05-28 2020-05-21,2020-04-05,5
2019-05-28 2020-05-21,2020-04-12,14
2019-05-28 2020-05-21,2020-04-19,6
2019-05-28 2020-05-21,2020-04-26,19
2019-05-28 2020-05-21,2020-05-03,12
2019-05-28 2020-05-21,2020-05-10,7
2019-05-28 2020-05-21,2020-05-17,14
