window,time,value
2019-05-17 2020-05-17,2019-05-19,82
2019-05-17 2020-05-17,2019-05-26,55
2019-05-17 2020-05-17,2019-06-02,58
2019-05-17 2020-05-17,2019-06-09,52
2019-05-17 2020-05-17,2019-06-16,32
2019-05-17 2020-05-17,2019-06-23,28
2019-05-17 2020-05-17,2019-06-30,33
2019-05-17 2020-05-17,2019-07-07,33
2019-05-17 2020-05-17,2019-07-14,59
2019-05-17 2020-05-17,2019-07-21,63
2019-05-17 2020-05-17,2019-07-28,71
2019-05-17 2020-05-17,2019-08-04,53
2019-05-17 2020-05-17,2019-08-11,60
2019-05-17 2020-05-17,2019-08-18,68
2019-05-17 2020-05-17,2019-08-25,36
2019-05-17 2020-05-17,2019-09-01,69
2019-05-17 2020-05-17,2019-09-08,58
2019-05-17 2020-05-17,2019-09-15,47
2019-05-17 2020-05-17,2019-09-22,31
2019-05-17 2020-05-17,2019-09-29,62
2019-05-17 2020-05-17,2019-10-06,78
2019-05-17 2020-05-17,2019-10-13,67
2019-05-17 2020-05-17,2019-10-20,100
2019-05-17 2020-05-17,2019-10-27,35
2019-05-17 2020-05-17,2019-11-03,44
2019-05-17 2020-05-17,2019-11-10,64
2019-05-17 2020-05-17,2019-11-17,68
2019-05-17 2020-05-17,2019-11-24,24
2019-05-17 2020-05-17,2019-12-01,44
2019-05-17 2020-05-17,2019-12-08,54
2019-05-17 2020-05-17,2019-12-15,45
2019-05-17 2020-05-17,2019-12-22,65
2019-05-17 2020-05-17,2019-12-29,46
2019-05-17 2020-05-17,2020-01-05,85
2019-05-17 2020-05-17,2020-01-12,66
2019-05-17 2020-05-17,2020-01-19,47
2019-05-17 2020-05-17,2020-01-26,43
2019-05-17 2020-05-17,2020-02-02,71
2019-05-17 2020-05-17,2020-02-09,71
2019-05-17 2020-05-17,2020-02-16,33
2019-05-17 2020-05-17,2020-02-23,50
2019-05-17 2020-05-17,2020-03-01,27
2019-05-17 2020-05-17,2020-03-08,22
2019-05-17 2020-05-17,2020-03-15,9
2019-05-17 2020-05-17,2020-03-22,0
2019-05-17 2020-05-17,2020-03-29,9
2019-05-17 2020-05-17,2020-04-05,9
2019-05-17 2020-05-17,2020-04-12,9
2019-05-17 2020-05-17,2020-04-19,13
2019-05-17 2020-05-17,2020-04-26,8
2019-05-17 2020-05-17,2020-05-03,26
2019-05-17 2020-05-17,2020-05-10,20
2019-05-24 2020-05-17,2019-05-26,37
2019-05-24 2020-05-17,2019-06-02,40
2019-05-24 2020-05-17,2019-06-09,50
2019-05-24 2020-05-17,2019-06-16,20
2019-05-24 2020-05-17,2019-06-23,27
2019-05-24 2020-05-17,2019-06-30,26
2019-05-24 2020-05-17,2019-07-07,58
2019-05-24 2020-05-17,2019-07-14,62
2019-05-24 2020-05-17,2019-07-21,66
2019-05-24 2020-05-17,2019-07-28,49
2019-05-24 2020-05-17,2019-08-04,45
2019-05-24 2020-05-17,2019-08-11,52
2019-05-24 2020-05-17,2019-08-18,75
2019-05-24 2020-05-17,2019-08-25,45
2019-05-24 2020-05-17,2019-09-01,100
2019-05-24 2020-05-17,2019-09-08,85
2019-05-24 2020-05-17,2019-09-15,70
2019-05-24 2020-05-17,2019-09-22,68
2019-05-24 2020-05-17,2019-09-29,49
2019-05-24 2020-05-17,2019-10-06,84
2019-05-24 2020-05-17,2019-10-13,39
2019-05-24 2020-05-17,2019-10-20,77
2019-05-24 2020-05-17,2019-10-27,43
2019-05-24 2020-05-17,2019-11-03,51
2019-05-24 2020-05-17,2019-11-10,42
2019-05-24 2020-05-17,2019-11-17,19
2019-05-24 2020-05-17,2019-11-24,28
2019-05-24 2020-05-17,2019-12-01,38
2019-05-24 2020-05-17,2019-12-08,33
2019-05-24 2020-05-17,2019-12-15,67
2019-05-24 2020-05-17,2019-12-22,73
2019-05-24 2020-05-17,2019-12-29,33
2019-05-24 2020-05-17,2020-01-05,59
2019-05-24 2020-05-17,2020-01-12,80
2019-05-24 2020-05-17,2020-01-19,27
2019-05-24 2020-05-17,2020-01-26,40
2019-05-24 2020-05-17,2020-02-02,63
2019-05-24 2020-05-17,2020-02-09,72
2019-05-24 2020-05-17,2020-02-16,50
2019-05-24 2020-05-17,2020-02-23,43
2019-05-24 2020-05-17,2020-03-01,26
2019-05-24 2020-05-17,2020-03-08,29
2019-05-24 2020-05-17,2020-03-15,8
2019-05-24 2020-05-17,2020-03-22,8
2019-05-24 2020-05-17,2020-03-29,17
2019-05-24 2020-05-17,2020-04-05,18
2019-05-24 2020-05-17,2020-04-12,0
2019-05-24 2020-05-17,2020-04-19,17
2019-05-24 2020-05-17,2020-04-26,8
2019-05-24 2020-05-17,2020-05-03,0
2019-05-24 2020-05-17,2020-05-10,10
