window,time,value
2019-05-09 2020-05-09,2019-05-12,31
2019-05-09 2020-05-09,2019-05-19,29
2019-05-09 2020-05-09,2019-05-26,25
2019-05-09 2020-05-09,2019-06-02,27
2019-05-09 2020-05-09,2019-06-09,34
2019-05-09 2020-05-09,2019-06-16,41
2019-05-09 2020-05-09,2019-06-23,32
2019-05-09 2020-05-09,2019-06-30,27
2019-05-09 2020-05-09,2019-07-07,23
2019-05-09 2020-05-09,2019-07-14,37
2019-05-09 2020-05-09,2019-07-21,38
2019-05-09 2020-05-09,2019-07-28,23
2019-05-09 2020-05-09,2019-08-04,30
2019-05-09 2020-05-09,2019-08-11,40
2019-05-09 2020-05-09,2019-08-18,31
2019-05-09 2020-05-09,2019-08-25,27
2019-05-09 2020-05-09,2019-09-01,30
2019-05-09 2020-05-09,2019-09-08,36
2019-05-09 2020-05-09,2019-09-15,37
2019-05-09 2020-05-09,2019-09-22,31
2019-05-09 2020-05-09,2019-09-29,34
2019-05-09 2020-05-09,2019-10-06,26
2019-05-09 2020-05-09,2019-10-13,31
2019-05-09 2020-05-09,2019-10-20,32
2019-05-09 2020-05-09,2019-10-27,31
2019-05-09 2020-05-09,2019-11-03,33
2019-05-09 2020-05-09,2019-11-10,41
2019-05-09 2020-05-09,2019-11-17,52
2019-05-09 2020-05-09,2019-11-24,67
2019-05-09 2020-05-09,2019-12-01,63
2019-05-09 2020-05-09,2019-12-08,68
2019-05-09 2020-05-09,2019-12-15,75
2019-05-09 2020-05-09,2019-12-22,100
2019-05-09 2020-05-09,2019-12-29,65
2019-05-09 2020-05-09,2020-01-05,39
2019-05-09 2020-05-09,2020-01-12,36
2019-05-09 2020-05-09,2020-01-19,38
2019-05-09 2020-05-09,2020-01-26,24
2019-05-09 2020-05-09,2020-02-02,37
2019-05-09 2020-05-09,2020-02-09,67
2019-05-09 2020-05-09,2020-02-16,28
2019-05-09 2020-05-09,2020-02-23,40
2019-05-09 2020-05-09,2020-03-01,36
2019-05-09 2020-05-09,2020-03-08,21
2019-05-09 2020-05-09,2020-03-15,13
2019-05-09 2020-05-09,2020-03-22,26
2019-05-09 2020-05-09,2020-03-29,29
2019-05-09 2020-05-09,2020-04-05,25
2019-05-09 2020-05-09,2020-04-12,18
2019-05-09 2020-05-09,2020-04-19,39
2019-05-09 2020-05-09,2020-04-26,34
2019-05-09 2020-05-09,2020-05-03,12
2019-05-16 2020-05-09,2019-05-19,36
2019-05-16 2020-05-09,2019-05-26,36
2019-05-16 2020-05-09,2019-06-02,35
2019-05-16 2020-05-09,2019-06-09,44
2019-05-16 2020-05-09,2019-06-16,41
2019-05-16 2020-05-09,2019-06-23,40
2019-05-16 2020-05-09,2019-06-30,44
2019-05-16 2020-05-09,2019-07-07,45
2019-05-16 2020-05-09,2019-07-14,48
2019-05-16 2020-05-09,2019-07-21,31
2019-05-16 2020-05-09,2019-07-28,43
2019-05-16 2020-05-09,2019-08-04,46
2019-05-16 2020-05-09,2019-08-11,39
2019-05-16 2020-05-09,2019-08-18,35
2019-05-16 2020-05-09,2019-08-25,32
2019-05-16 2020-05-09,2019-09-01,36
2019-05-16 2020-05-09,2019-09-08,46
2019-05-16 2020-05-09,2019-09-15,41
2019-05-16 2020-05-09,2019-09-22,35
2019-05-16 2020-05-09,2019-09-29,38
2019-05-16 2020-05-09,2019-10-06,41
2019-05-16 2020-05-09,2019-10-13,38
2019-05-16 2020-05-09,2019-10-20,35
2019-05-16 2020-05-09,2019-10-27,40
2019-05-16 2020-05-09,2019-11-03,40
2019-05-16 2020-05-09,2019-11-10,48
2019-05-16 2020-05-09,2019-11-17,53
2019-05-16 2020-05-09,2019-11-24,74
2019-05-16 2020-05-09,2019-12-01,71
2019-05-16 2020-05-09,2019-12-08,71
2019-05-16 2020-05-09,2019-12-15,78
2019-05-16 2020-05-09,2019-12-22,100
2019-05-16 2020-05-09,2019-12-29,60
2019-05-16 2020-05-09,2020-01-05,55
2019-05-16 2020-05-09,2020-01-12,51
2019-05-16 2020-05-09,2020-01-19,44
2019-05-16 2020-05-09,2020-01-26,33
2019-05-16 2020-05-09,2020-02-02,54
2019-05-16 2020-05-09,2020-02-09,51
2019-05-16 2020-05-09,2020-02-16,36
2019-05-16 2020-05-09,2020-02-23,36
2019-05-16 2020-05-09,2020-03-01,40
2019-05-16 2020-05-09,2020-03-08,22
2019-05-16 2020-05-09,2020-03-15,19
2019-05-16 2020-05-09,2020-03-22,29
2019-05-16 2020-05-09,2020-03-29,35
2019-05-16 2020-05-09,2020-04-05,23
2019-05-16 2020-05-09,2020-04-12,30
2019-05-16 2020-05-09,2020-04-19,47
2019-05-16 2020-05-09,2020-04-26,44
2019-05-16 2020-05-09,2020-05-03,40
