window,time,value
2020-02-24 2020-05-24,2020-02-24,17
2020-02-24 2020-05-24,2020-02-25,18
2020-02-24 2020-05-24,2020-02-26,16
2020-02-24 2020-05-24,2020-02-27,19
2020-02-24 2020-05-24,2020-02-28,16
2020-02-24 2020-05-24,2020-02-29,19
2020-02-24 2020-05-24,2020-03-01,10
2020-02-24 2020-05-24,2020-03-02,13
2020-02-24 2020-05-24,2020-03-03,12
2020-02-24 2020-05-24,2020-03-04,15
2020-02-24 2020-05-24,2020-03-05,14
2020-02-24 2020-05-24,2020-03-06,21
2020-02-24 2020-05-24,2020-03-07,30
2020-02-24 2020-05-24,2020-03-08,15
2020-02-24 2020-05-24,2020-03-09,17
2020-02-24 2020-05-24,2020-03-10,17
2020-02-24 2020-05-24,2020-03-11,18
2020-02-24 2020-05-24,2020-03-12,9
2020-02-24 2020-05-24,2020-03-13,10
2020-02-24 2020-05-24,2020-03-14,14
2020-02-24 2020-05-24,2020-03-15,11
2020-02-24 2020-05-24,2020-03-16,52
2020-02-24 2020-05-24,2020-03-17,69
2020-02-24 2020-05-24,2020-03-18,64
2020-02-24 2020-05-24,2020-03-19,48
2020-02-24 2020-05-24,2020-03-20,60
2020-02-24 2020-05-24,2020-03-21,68
2020-02-24 2020-05-24,2020-03-22,53
2020-02-24 2020-05-24,2020-03-23,38
2020-02-24 2020-05-24,2020-03-24,36
2020-02-24 2020-05-24,2020-03-25,50
2020-02-24 2020-05-24,2020-03-26,61
2020-02-24 2020-05-24,2020-03-27,66
2020-02-24 2020-05-24,2020-03-28,78
2020-02-24 2020-05-24,2020-03-29,71
2020-02-24 2020-05-24,2020-03-30,51
2020-02-24 2020-05-24,2020-03-31,62
2020-02-24 2020-05-24,2020-04-01,54
2020-02-24 2020-05-24,2020-04-02,66
2020-02-24 2020-05-24,2020-04-03,70
2020-02-24 2020-05-24,2020-04-04,76
2020-02-24 2020-05-24,2020-04-05,66
2020-02-24 2020-05-24,2020-04-06,49
2020-02-24 2020-05-24,2020-04-07,42
2020-02-24 2020-05-24,2020-04-08,44
2020-02-24 2020-05-24,2020-04-09,54
2020-02-24 2020-05-24,2020-04-10,74
2020-02-24 2020-05-24,2020-04-11,51
2020-02-24 2020-05-24,2020-04-12,77
2020-02-24 2020-05-24,2020-04-13,68
2020-02-24 2020-05-24,2020-04-14,60
2020-02-24 2020-05-24,2020-04-15,51
2020-02-24 2020-05-24,2020-04-16,80
2020-02-24 2020-05-24,2020-04-17,85
2020-02-24 2020-05-24,2020-04-18,65
2020-02-24 2020-05-24,2020-04-19,72
2020-02-24 2020-05-24,2020-04-20,49
2020-02-24 2020-05-24,2020-04-21,65
2020-02-24 2020-05-24,2020-04-22,55
2020-02-24 2020-05-24,2020-04-23,82
2020-02-24 2020-05-24,2020-04-24,85
2020-02-24 2020-05-24,2020-04-25,95
2020-02-24 2020-05-24,2020-04-26,80
2020-02-24 2020-05-24,2020-04-27,66
2020-02-24 2020-05-24,2020-04-28,63
2020-02-24 2020-05-24,2020-04-29,58
2020-02-24 2020-05-24,2020-04-30,54
2020-02-24 2020-05-24,2020-05-01,75
2020-02-24 2020-05-24,2020-05-02,100
2020-02-24 2020-05-24,2020-05-03,91
2020-02-24 2020-05-24,2020-05-04,62
2020-02-24 2020-05-24,2020-05-05,62
2020-02-24 2020-05-24,2020-05-06,77
2020-02-24 2020-05-24,2020-05-07,58
2020-02-24 2020-05-24,2020-05-08,76
2020-02-24 2020-05-24,2020-05-09,95
2020-02-24 2020-05-24,2020-05-10,57
2020-02-24 2020-05-24,2020-05-11,18
2020-02-24 2020-05-24,2020-05-12,40
2020-02-24 2020-05-24,2020-05-13,26
2020-02-24 2020-05-24,2020-05-14,42
2020-02-24 2020-05-24,2020-05-15,33
2020-02-24 2020-05-24,2020-05-16,48
2020-02-24 2020-05-24,2020-05-17,37
2020-02-24 2020-05-24,2020-05-18,35
2020-02-24 2020-05-24,2020-05-19,29
2020-02-24 2020-05-24,2020-05-20,27
2020-02-24 2020-05-24,2020-05-21,38
2020-02-24 2020-05-24,2020-05-22,23
2020-02-25 2020-05-24,2020-02-25,13
2020-02-25 2020-05-24,2020-02-26,18
2020-02-25 2020-05-24,2020-02-27,17
