window,time,value
2019-05-24 2020-05-24,2019-05-26,73
2019-05-24 2020-05-24,2019-06-02,64
2019-05-24 2020-05-24,2019-06-09,68
2019-05-24 2020-05-24,2019-06-16,62
2019-05-24 2020-05-24,2019-06-23,59
2019-05-24 2020-05-24,2019-06-30,60
2019-05-24 2020-05-24,2019-07-07,70
2019-05-24 2020-05-24,2019-07-14,63
2019-05-24 2020-05-24,2019-07-21,64
2019-05-24 2020-05-24,2019-07-28,73
2019-05-24 2020-05-24,2019-08-04,71
2019-05-24 2020-05-24,2019-08-11,68
2019-05-24 2020-05-24,2019-08-18,65
2019-05-24 2020-05-24,2019-08-25,65
2019-05-24 2020-05-24,2019-09-01,67
2019-05-24 2020-05-24,2019-09-08,60
2019-05-24 2020-05-24,2019-09-15,74
2019-05-24 2020-05-24,2019-09-22,69
2019-05-24 2020-05-24,2019-09-29,76
2019-05-24 2020-05-24,2019-10-06,68
2019-05-24 2020-05-24,2019-10-13,68
2019-05-24 2020-05-24,2019-10-20,70
2019-05-24 2020-05-24,2019-10-27,91
2019-05-24 2020-05-24,2019-11-03,79
2019-05-24 2020-05-24,2019-11-10,82
2019-05-24 2020-05-24,2019-11-17,83
2019-05-24 2020-05-24,2019-11-24,84
2019-05-24 2020-05-24,2019-12-01,86
2019-05-24 2020-05-24,2019-12-08,89
2019-05-24 2020-05-24,2019-12-15,90
2019-05-24 2020-05-24,2019-12-22,95
2019-05-24 2020-05-24,2019-12-29,100
2019-05-24 2020-05-24,2020-01-05,77
2019-05-24 2020-05-24,2020-01-12,79
2019-05-24 2020-05-24,2020-01-19,75
2019-05-24 2020-05-24,2020-01-26,63
2019-05-24 2020-05-24,2020-02-02,82
2019-05-24 2020-05-24,2020-02-09,73
2019-05-24 2020-05-24,2020-02-16,71
2019-05-24 2020-05-24,2020-02-23,68
2019-05-24 2020-05-24,2020-03-01,70
2019-05-24 2020-05-24,2020-03-08,56
2019-05-24 2020-05-24,2020-03-15,62
2019-05-24 2020-05-24,2020-03-22,70
2019-05-24 2020-05-24,2020-03-29,82
2019-05-24 2020-05-24,2020-04-05,62
2019-05-24 2020-05-24,2020-04-12,56
2019-05-24 2020-05-24,2020-04-19,72
2019-05-24 2020-05-24,2020-04-26,71
2019-05-24 2020-05-24,2020-05-03,67
2019-05-24 2020-05-24,2020-05-10,66
2019-05-24 2020-05-24,2020-05-17,66
2019-05-31 2020-05-24,2019-06-02,58
2019-05-31 2020-05-24,2019-06-09,68
2019-05-31 2020-05-24,2019-06-16,66
2019-05-31 2020-05-24,2019-06-23,58
2019-05-31 2020-05-24,2019-06-30,57
2019-05-31 2020-05-24,2019-07-07,67
2019-05-31 2020-05-24,2019-07-14,67
2019-05-31 2020-05-24,2019-07-21,67
2019-05-31 2020-05-24,2019-07-28,65
2019-05-31 2020-05-24,2019-08-04,66
2019-05-31 2020-05-24,2019-08-11,73
2019-05-31 2020-05-24,2019-08-18,63
2019-05-31 2020-05-24,2019-08-25,71
2019-05-31 2020-05-24,2019-09-01,67
2019-05-31 2020-05-24,2019-09-08,66
2019-05-31 2020-05-24,2019-09-15,72
2019-05-31 2020-05-24,2019-09-22,70
2019-05-31 2020-05-24,2019-09-29,65
2019-05-31 2020-05-24,2019-10-06,69
2019-05-31 2020-05-24,2019-10-13,69
2019-05-31 2020-05-24,2019-10-20,75
2019-05-31 2020-05-24,2019-10-27,100
2019-05-31 2020-05-24,2019-11-03,77
2019-05-31 2020-05-24,2019-11-10,79
2019-05-31 2020-05-24,2019-11-17,79
2019-05-31 2020-05-24,2019-11-24,89
2019-05-31 2020-05-24,2019-12-01,80
2019-05-31 2020-05-24,2019-12-08,88
2019-05-31 2020-05-24,2019-12-15,93
2019-05-31 2020-05-24,2019-12-22,96
2019-05-31 2020-05-24,2019-12-29,89
2019-05-31 2020-05-24,2020-01-05,70
2019-05-31 2020-05-24,2020-01-12,74
2019-05-31 2020-05-24,2020-01-19,69
2019-05-31 2020-05-24,2020-01-26,62
2019-05-31 2020-05-24,2020-02-02,64
2019-05-31 2020-05-24,2020-02-09,63
2019-05-31 2020-05-24,2020-02-16,75
2019-05-31 2020-05-24,2020-02-23,60
2019-05-31 2020-05-24,2020-03-01,70
2019-05-31 2020-05-24,2020-03-08,59
2019-05-31 2020-05-24,2020-03-15,55
2019-05-31 2020-05-24,2020-03-22,67
2019-05-31 2020-05-24,2020-03-29,66
2019-05-31 2020-05-24,2020-04-05,56
2019-05-31 2020-05-24,2020-04-12,58
2019-05-31 2020-05-24,2020-04-19,65
2019-05-31 2020-05-24,2020-04-26,68
2019-05-31 2020-05-24,2020-05-03,62
2019-05-31 2020-05-24,2020-05-10,65
2019-05-31 2020-05-24,2020-05-17,58
