time,value,n
2006-01-01,0.0030581039755347723,327
2006-02-01,0.003058103975534673,654
2006-03-01,0.0030534351145037495,655
2006-04-01,0.009146341463414021,656
2006-05-01,0.006088280060882119,657
2006-06-01,0.0060790273556223465,658
2006-07-01,0.0030349013657051858,659
2006-08-01,0.003030303030302432,660
2006-09-01,0.0030257186081688874,661
2006-10-01,0,662
2006-11-01,0,663
2006-12-01,0.0030120481927703104,664
2007-01-01,0,665
2007-02-01,0,666
2007-03-01,0,667
2007-04-01,0.0029985007496244084,667
2007-05-01,0,667
2007-06-01,0,667
2007-07-01,0.0029985007496247276,667
2007-08-01,0,667
2007-09-01,0,667
2007-10-01,0,667
2007-11-01,0,667
2007-12-01,0,667
2008-01-01,0,667
2008-02-01,0,667
2008-03-01,0,667
2008-04-01,0,667
2008-05-01,0,667
2008-06-01,0,667
2008-07-01,0,667
2008-08-01,0,667
2008-09-01,0,667
2008-10-01,0.9730134932533728,667
2008-11-01,1,667
2008-12-01,1,667
2009-01-01,4,667
2009-02-01,4.008995502248875,667
2009-03-01,3.2593703148425788,667
2009-04-01,2.5367316341829103,667
2009-05-01,2,667
2009-06-01,2,667
2009-07-01,1,667
2009-08-01,1,667
2009-09-01,1,667
2009-10-01,0.8380809595202399,667
2009-11-01,0.910044977511245,667
2009-12-01,0.014992503748125274,667
2010-01-01,0.09895052473763119,667
2010-02-01,0.5937031484257871,667
2010-03-01,0.00899550224887486,667
2010-04-01,0,667
2010-05-01,0,667
2010-06-01,0,667
2010-07-01,0,667
2010-08-01,0,667
2010-09-01,0,667
2010-10-01,0,667
2010-11-01,0,667
2010-12-01,0,667
2011-01-01,0,667
2011-02-01,0,667
2011-03-01,0,667
2011-04-01,0,667
2011-05-01,0,667
2011-06-01,0,667
2011-07-01,0,667
2011-08-01,0,667
2011-09-01,0,667
2011-10-01,0,667
2011-11-01,0,667
2011-12-01,0,667
2012-01-01,0,667
2012-02-01,0,667
2012-03-01,0,667
2012-04-01,0,667
2012-05-01,0,667
2012-06-01,0,667
2012-07-01,0,667
2012-08-01,0,667
2012-09-01,0,667
2012-10-01,0,667
2012-11-01,0,667
2012-12-01,0,667
2013-01-01,0,667
2013-02-01,0,667
2013-03-01,0,667
2013-04-01,0,667
2013-05-01,0,667
2013-06-01,0,667
2013-07-01,0,667
2013-08-01,0,667
2013-09-01,0,667
2013-10-01,0,667
2013-11-01,0,667
2013-12-01,0,667
2014-01-01,0,667
2014-02-01,0,667
2014-03-01,0,667
2014-04-01,0,667
2014-05-01,0,667
2014-06-01,0,667
2014-07-01,0,667
2014-08-01,0,667
2014-09-01,0,667
2014-10-01,0,667
2014-11-01,0,667
2014-12-01,0,667
2015-01-01,0,667
2015-02-01,0,667
2015-03-01,0,667
2015-04-01,0,667
2015-05-01,0,667
2015-06-01,0,667
2015-07-01,0,667
2015-08-01,0,667
2015-09-01,0,667
2015-10-01,0,667
