time,value,n
2006-01-01,38,1
2006-01-08,0,1
2006-01-15,29,1
2006-01-22,0,1
2006-01-29,0,1
2006-02-05,0,1
2006-02-12,30,1
2006-02-19,0,1
2006-02-26,17,1
2006-03-05,0,1
2006-03-12,15,1
2006-03-19,81,2
2006-03-26,45,2
2006-04-02,43,2
2006-04-09,24,2
2006-04-16,55,2
2006-04-23,41,2
2006-04-30,71,2
2006-05-07,57,2
2006-05-14,17,2
2006-05-21,0,2
2006-05-28,33,2
2006-06-04,49,3
2006-06-11,71,3
2006-06-18,23,3
2006-06-25,55,3
2006-07-02,25,3
2006-07-09,32,3
2006-07-16,44,3
2006-07-23,21,3
2006-07-30,52,3
2006-08-06,40,3
2006-08-13,52,3
2006-08-20,44,4
2006-08-27,41,4
2006-09-03,36,4
2006-09-10,0,4
2006-09-17,26,4
2006-09-24,30,4
2006-10-01,22,4
2006-10-08,0,4
2006-10-15,0,4
2006-10-22,0,4
2006-10-29,39,4
2006-11-05,44,5
2006-11-12,0,5
2006-11-19,0,5
2006-11-26,0,5
2006-12-03,0,5
2006-12-10,0,5
2006-12-17,0,5
2006-12-24,0,5
2006-12-31,0,5
2007-01-07,0,5
2007-01-14,18,5
2007-01-21,14,6
2007-01-28,0,6
2007-02-04,27,6
2007-02-11,13,6
2007-02-18,38,6
2007-02-25,28,6
2007-03-04,34,6
2007-03-11,68,6
2007-03-18,45,6
2007-03-25,64,6
2007-04-01,33,6
2007-04-08,81,7
2007-04-15,59,7
2007-04-22,74,7
2007-04-29,94,7
2007-05-06,40,7
2007-05-13,15,7
2007-05-20,49,7
2007-05-27,48,7
2007-06-03,61,7
2007-06-10,23,7
2007-06-17,14,7
2007-06-24,36,8
2007-07-01,28,8
2007-07-08,16,8
2007-07-15,21,8
2007-07-22,45,8
2007-07-29,29,8
2007-08-05,0,8
2007-08-12,28,8
2007-08-19,9,8
2007-08-26,18,8
2007-09-02,20,8
2007-09-09,41,9
2007-09-16,13,9
2007-09-23,0,9
2007-09-30,10,9
2007-10-07,0,9
2007-10-14,32,9
2007-10-21,13,9
2007-10-28,18,9
2007-11-04,24,9
2007-11-11,22,9
2007-11-18,18,9
2007-11-25,32,10
2007-12-02,24,10
2007-12-09,0,10
2007-12-16,0,10
2007-12-23,18,10
2007-12-30,0,10
2008-01-06,11,10
2008-01-13,14,10
2008-01-20,0,10
2008-01-27,15,10
2008-02-03,28,10
2008-02-10,30,11
2008-02-17,35,11
2008-02-24,21,11
2008-03-02,24,11
2008-03-09,30,11
2008-03-16,20,11
2008-03-23,45,11
2008-03-30,46,11
2008-04-06,41,11
2008-04-13,36,11
2008-04-20,59,11
2008-04-27,68,12
2008-05-04,67,12
2008-05-11,16,12
2008-05-18,32,12
2008-05-25,45,12
2008-06-01,39,12
2008-06-08,14,12
2008-06-15,29,12
2008-06-22,23,12
2008-06-29,23,12
2008-07-06,21,12
2008-07-13,36,13
2008-07-20,41,13
2008-07-27,28,13
2008-08-03,25,13
2008-08-10,21,13
2008-08-17,21,13
2008-08-24,14,13
2008-08-31,24,13
2008-09-07,14,13
2008-09-14,18,13
2008-09-21,13,13
2008-09-28,34,14
2008-10-05,11,14
2008-10-12,47,14
2008-10-19,16,14
2008-10-26,18,14
2008-11-02,13,14
2008-11-09,15,14
2008-11-16,13,14
2008-11-23,0,14
2008-11-30,18,14
2008-12-07,10,14
2008-12-14,0,15
2008-12-21,29,15
2008-12-28,20,15
2009-01-04,0,15
2009-01-11,20,15
2009-01-18,9,15
2009-01-25,0,15
2009-02-01,34,15
2009-02-08,11,15
2009-02-15,0,15
2009-02-22,18,15
2009-03-01,13,16
2009-03-08,11,16
2009-03-15,82,16
2009-03-22,45,16
2009-03-29,33,16
2009-04-05,85,16
2009-04-12,83,16
2009-04-19,49,16
2009-04-26,74,16
2009-05-03,53,16
2009-05-10,56,16
2009-05-17,57,17
2009-05-24,39,17
2009-05-31,42,17
2009-06-07,48,17
2009-06-14,44,17
2009-06-21,54,17
2009-06-28,15,17
2009-07-05,31,17
2009-07-12,23,17
2009-07-19,14,17
2009-07-26,38,17
2009-08-02,22,18
2009-08-09,32,18
2009-08-16,16,18
2009-08-23,0,18
2009-08-30,0,18
2009-09-06,10,18
2009-09-13,29,18
2009-09-20,37,18
2009-09-27,14,18
2009-10-04,19,18
2009-10-11,17,18
2009-10-18,26,19
2009-10-25,14,19
2009-11-01,19,19
2009-11-08,32,19
2009-11-15,28,19
2009-11-22,16,19
2009-11-29,26,19
2009-12-06,7,19
2009-12-13,22,19
2009-12-20,19,19
2009-12-27,30,19
2010-01-03,8,20
2010-01-10,0,20
2010-01-17,24,20
2010-01-24,30,20
2010-01-31,16,20
2010-02-07,25,20
2010-02-14,29,20
2010-02-21,50,20
2010-02-28,10,20
2010-03-07,29,20
2010-03-14,56,20
2010-03-21,81,21
2010-03-28,44,21
2010-04-04,99,21
2010-04-11,71,21
2010-04-18,100,21
2010-04-25,99,21
2010-05-02,43,21
2010-05-09,92,21
2010-05-16,52,21
2010-05-23,40,21
2010-05-30,52,21
2010-06-06,36.22727272727273,22
2010-06-13,38.27272727272727,22
2010-06-20,29.227272727272727,22
2010-06-27,28.227272727272727,22
2010-07-04,23.181818181818183,22
2010-07-11,38.27272727272727,22
2010-07-18,31.181818181818183,22
2010-07-25,46.31818181818182,22
2010-08-01,26.136363636363637,22
2010-08-08,42.27272727272727,22
2010-08-15,25.136363636363637,22
2010-08-22,20.347826086956523,23
2010-08-29,23.26086956521739,23
2010-09-05,31.434782608695652,23
2010-09-12,24.347826086956523,23
2010-09-19,12.173913043478262,23
2010-09-26,10.08695652173913,23
