time,value,n
2006-01-01,0,1
2006-01-02,0,1
2006-01-03,16,1
2006-01-04,24,1
2006-01-05,17,1
2006-01-06,17,1
2006-01-07,26,1
2006-01-08,0,1
2006-01-09,15,1
2006-01-10,0,1
2006-01-11,30,1
2006-01-12,0,1
2006-01-13,0,1
2006-01-14,51,1
2006-01-15,22,1
2006-01-16,11,2
2006-01-17,18.5,2
2006-01-18,18.5,2
2006-01-19,30,2
2006-01-20,29,2
2006-01-21,18.5,2
2006-01-22,36,2
2006-01-23,21,2
2006-01-24,25.5,2
2006-01-25,19,2
2006-01-26,25,2
2006-01-27,37.5,2
2006-01-28,31,2
2006-01-29,0,2
2006-01-30,22.5,2
2006-01-31,19.333333333333332,3
2006-02-01,43.333333333333336,3
2006-02-02,20,3
2006-02-03,39,3
2006-02-04,32,3
2006-02-05,0,3
2006-02-06,31.333333333333332,3
2006-02-07,15.666666666666666,3
2006-02-08,26,3
2006-02-09,32.666666666666664,3
2006-02-10,35,3
2006-02-11,86,3
2006-02-12,30.666666666666668,3
2006-02-13,18,3
2006-02-14,21.666666666666668,3
2006-02-15,23.25,4
2006-02-16,14,4
2006-02-17,33.5,4
2006-02-18,9.5,4
2006-02-19,28.5,4
2006-02-20,27.25,4
2006-02-21,33.25,4
2006-02-22,19.25,4
2006-02-23,27,4
2006-02-24,29.75,4
2006-02-25,35.75,4
2006-02-26,34.5,4
2006-02-27,23.5,4
2006-02-28,14,4
2006-03-01,30.25,4
2006-03-02,32.2,5
2006-03-03,21,5
2006-03-04,43,5
2006-03-05,17.2,5
2006-03-06,26.4,5
2006-03-07,24,5
2006-03-08,24.8,5
2006-03-09,38.2,5
2006-03-10,28.8,5
2006-03-11,38,5
2006-03-12,43.2,5
2006-03-13,37.8,5
2006-03-14,25,5
2006-03-15,28,5
2006-03-16,32,5
2006-03-17,38.833333333333336,6
2006-03-18,29.5,6
2006-03-19,36,6
2006-03-20,19.166666666666668,6
2006-03-21,28.333333333333332,6
2006-03-22,23,6
2006-03-23,42.666666666666664,6
2006-03-24,16.833333333333332,6
2006-03-25,36,6
2006-03-26,42.333333333333336,6
2006-03-27,26.333333333333332,6
2006-03-28,22.333333333333332,6
2006-03-29,24,6
2006-03-30,35.166666666666664,6
2006-03-31,23.5,6
2006-04-01,14,7
2006-04-02,44.142857142857146,7
2006-04-03,44,7
2006-04-04,16.571428571428573,7
2006-04-05,34.857142857142854,7
2006-04-06,42.42857142857143,7
2006-04-07,41.714285714285715,7
2006-04-08,52.142857142857146,7
2006-04-09,42.857142857142854,7
2006-04-10,27.571428571428573,7
2006-04-11,41.57142857142857,7
2006-04-12,29.714285714285715,7
2006-04-13,46.42857142857143,7
2006-04-14,19,7
2006-04-15,36.285714285714285,7
2006-04-16,15.75,8
2006-04-17,65.25,8
2006-04-18,51.125,8
2006-04-19,41.125,8
2006-04-20,40.375,8
2006-04-21,39.75,8
2006-04-22,37,8
2006-04-23,28.25,8
2006-04-24,28.75,8
2006-04-25,17.25,8
2006-04-26,29.25,8
2006-04-27,60.25,8
2006-04-28,35.25,8
2006-04-29,45,8
2006-04-30,40.75,8
2006-05-01,25.11111111111111,9
