time,value,n
2006-01-01,0,7
2006-02-01,0.42857142857142855,14
2006-03-01,0.7333333333333333,15
2006-04-01,0.5,16
2006-05-01,0.11764705882352941,17
2006-06-01,0.1111111111111111,18
2006-07-01,0.5263157894736842,19
2006-08-01,0.6,20
2006-09-01,0.09523809523809523,21
2006-10-01,0.18181818181818182,22
2006-11-01,0,23
2006-12-01,0.08333333333333336,24
2007-01-01,0,25
2007-02-01,0.07692307692307693,26
2007-03-01,0.15384615384615388,26
2007-04-01,0.15384615384615388,26
2007-05-01,0.6923076923076923,26
2007-06-01,0.5384615384615384,26
2007-07-01,0,26
2007-08-01,0.23076923076923078,26
2007-09-01,0.15384615384615385,26
2007-10-01,0.15384615384615388,26
2007-11-01,0,26
2007-12-01,0.07692307692307694,26
2008-01-01,0,26
2008-02-01,0.07692307692307693,26
2008-03-01,0,26
2008-04-01,0.07692307692307694,26
2008-05-01,0.07692307692307694,26
2008-06-01,0.07692307692307694,26
2008-07-01,0,26
2008-08-01,0.6153846153846154,26
2008-09-01,0.07692307692307694,26
2008-10-01,0.9230769230769231,26
2008-11-01,2.923076923076923,26
2008-12-01,3.230769230769231,26
2009-01-01,4,26
2009-02-01,6.846153846153846,26
2009-03-01,7,26
2009-04-01,5,26
2009-05-01,3.230769230769231,26
2009-06-01,4.230769230769231,26
2009-07-01,3.076923076923077,26
2009-08-01,2,26
2009-09-01,2.076923076923077,26
2009-10-01,1.307692307692308,26
2009-11-01,1.0769230769230769,26
2009-12-01,1.6923076923076923,26
2010-01-01,1.0769230769230769,26
2010-02-01,1,26
2010-03-01,1,26
2010-04-01,0.9230769230769231,26
2010-05-01,1,26
2010-06-01,1,26
2010-07-01,0.8461538461538461,26
2010-08-01,0.07692307692307694,26
2010-09-01,0.15384615384615388,26
2010-10-01,0,26
2010-11-01,0.07692307692307694,26
2010-12-01,0,26
2011-01-01,0,26
2011-02-01,0.15384615384615385,26
2011-03-01,0,26
2011-04-01,0.07692307692307694,26
2011-05-01,0.5384615384615384,26
2011-06-01,0,26
2011-07-01,0,26
2011-08-01,0.6923076923076923,26
2011-09-01,0.38461538461538464,26
2011-10-01,0.9230769230769231,26
2011-11-01,0.8461538461538461,26
2011-12-01,0.6153846153846154,26
2012-01-01,0.6923076923076923,26
2012-02-01,0.6153846153846154,26
2012-03-01,0,26
2012-04-01,0.6923076923076923,26
2012-05-01,0.23076923076923078,26
2012-06-01,0.07692307692307694,26
2012-07-01,0.07692307692307694,26
2012-08-01,0,26
2012-09-01,0.8461538461538461,26
2012-10-01,0.23076923076923078,26
2012-11-01,0.07692307692307694,26
2012-12-01,0.07692307692307694,26
2013-01-01,0,26
2013-02-01,0.15384615384615385,26
2013-03-01,0.07692307692307694,26
2013-04-01,0,26
2013-05-01,0,26
2013-06-01,0,26
2013-07-01,0.6153846153846154,26
2013-08-01,0,26
2013-09-01,0,26
2013-10-01,0.30769230769230776,26
2013-11-01,0,26
2013-12-01,0.07692307692307694,26
2014-01-01,0,26
2014-02-01,0,26
2014-03-01,0,26
2014-04-01,0,26
2014-05-01,0,26
2014-06-01,0,26
2014-07-01,0.07692307692307693,26
2014-08-01,0,26
2014-09-01,0,26
2014-10-01,0,26
2014-11-01,0.5384615384615384,26
2014-12-01,0,26
