time,value,n
2006-01-01,21.48148148148148,27
2006-02-01,31.333333333333332,54
2006-03-01,36.07272727272727,55
2006-04-01,20.285714285714285,56
2006-05-01,30.280701754385966,57
2006-06-01,23.362068965517242,58
2006-07-01,31.1864406779661,59
2006-08-01,22.866666666666667,60
2006-09-01,33.31147540983607,61
2006-10-01,22.741935483870968,62
2006-11-01,18.650793650793652,63
2006-12-01,18.25,64
2007-01-01,32.21875,64
2007-02-01,23.234375,64
2007-03-01,19.953125,64
2007-04-01,24.796875,64
2007-05-01,28.875,64
2007-06-01,27.25,64
2007-07-01,26.953125,64
2007-08-01,32.046875,64
2007-09-01,20.984375,64
2007-10-01,23.109375,64
2007-11-01,21.625,64
2007-12-01,16.53125,64
2008-01-01,29.734375,64
2008-02-01,29.0625,64
2008-03-01,20.5625,64
2008-04-01,19.203125,64
2008-05-01,27.640625,64
2008-06-01,19.328125,64
2008-07-01,27.015625,64
2008-08-01,25.03125,64
2008-09-01,20.46875,64
2008-10-01,16.984375,64
2008-11-01,22.5,64
2008-12-01,18.25,64
2009-01-01,23.90625,64
2009-02-01,21.671875,64
2009-03-01,30.15625,64
2009-04-01,37.28125000000001,64
2009-05-01,32.703125,64
2009-06-01,35.296875,64
2009-07-01,39.703125,64
2009-08-01,30.84375,64
2009-09-01,29.15625,64
2009-10-01,30.34375,64
2009-11-01,20.296875,64
2009-12-01,26.21875,64
2010-01-01,29.734375,64
2010-02-01,24.484375,64
2010-03-01,29.984375,64
2010-04-01,30.90625,64
2010-05-01,26.234375,64
2010-06-01,28.09375,64
2010-07-01,32.359375,64
2010-08-01,26.1875,64
2010-09-01,33.23437500000001,64
2010-10-01,23.21875,64
2010-11-01,23.46875,64
2010-12-01,25.109375,64
2011-01-01,37.71875,64
2011-02-01,34.06249999999999,64
2011-03-01,29.140625,64
2011-04-01,26.3125,64
2011-05-01,27.671875,64
2011-06-01,35.53125,64
2011-07-01,45.1875,64
2011-08-01,41.828125,64
2011-09-01,36.21875,64
2011-10-01,41.75,64
2011-11-01,37.65625,64
2011-12-01,34.703125,64
2012-01-01,53.9375,64
2012-02-01,45.890625,64
2012-03-01,39.703125,64
2012-04-01,37.234375,64
2012-05-01,26.125,64
2012-06-01,36.3125,64
2012-07-01,45.95312500000001,64
2012-08-01,41.640625,64
2012-09-01,45.40625,64
2012-10-01,34.17187499999999,64
2012-11-01,33.87500000000001,64
2012-12-01,33.96875,64
2013-01-01,47.609375,64
2013-02-01,40.296875,64
2013-03-01,42.828125,64
2013-04-01,47.15625,64
2013-05-01,47.4375,64
2013-06-01,50.734375,64
2013-07-01,57.890625,64
2013-08-01,45.8125,64
2013-09-01,49.8125,64
2013-10-01,49.390625,64
2013-11-01,35.28125,64
2013-12-01,40.578125,64
2014-01-01,63.421875,64
2014-02-01,58.328125,64
2014-03-01,52.953125,64
2014-04-01,52.734375,64
2014-05-01,48.65625,64
2014-06-01,51.390625,64
2014-07-01,58.953125,64
2014-08-01,63.92187500000001,64
2014-09-01,50.4375,64
2014-10-01,47.1875,64
2014-11-01,45.15625,64
2014-12-01,44.515625,64
2015-01-01,77.17187499999999,64
2015-02-01,63.265625,64
2015-03-01,57.03125,64
2015-04-01,59.5625,64
2015-05-01,65.171875,64
2015-06-01,60.8125,64
2015-07-01,68.4375,64
2015-08-01,72.640625,64
2015-09-01,66.40625,64
2015-10-01,51.984375,64
2015-11-01,46.78125,64
2015-12-01,53.203125,64
2016-01-01,73.40625,64
2016-02-01,68.5,64
2016-03-01,59.234375,64
2016-04-01,57.9375,64
2016-05-01,58.78125,64
2016-06-01,60.34375,64
2016-07-01,77.67187500000001,64
2016-08-01,61.453125,64
2016-09-01,66.59375,64
2016-10-01,65.73437500000003,64
2016-11-01,52.953125,64
2016-12-01,52.4375,64
2017-01-01,68.26562500000001,64
2017-02-01,76.484375,64
2017-03-01,71.421875,64
2017-04-01,72.96874999999997,64
2017-05-01,67.328125,64
2017-06-01,65.03125000000001,64
2017-07-01,82.6875,64
2017-08-01,70.453125,64
2017-09-01,67,64
2017-10-01,66.21875000000001,64
2017-11-01,59.921875,64
2017-12-01,59.5625,64
2018-01-01,99.234375,64
2018-02-01,83.64062500000001,64
2018-03-01,82.84375,64
2018-04-01,78.09375,64
2018-05-01,69.421875,64
2018-06-01,70.29687499999997,64
2018-07-01,84.375,64
2018-08-01,73.125,64
2018-09-01,78.98437499999999,64
2018-10-01,68.65625,64
2018-11-01,59.625,64
2018-12-01,61.546875,64
2019-01-01,81.046875,64
2019-02-01,75.62500000000001,64
2019-03-01,70.92187500000003,64
2019-04-01,67.5,64
2019-05-01,70.484375,64
2019-06-01,73.796875,64
2019-07-01,86.671875,64
2019-08-01,73.515625,64
2019-09-01,77.109375,64
2019-10-01,66.828125,64
2019-11-01,63.296875,64
2019-12-01,69.953125,64
2020-01-01,91.234375,64
2020-02-01,68.578125,64
2020-03-01,36.703125,64
2020-04-01,16.531250000000004,64
2020-05-01,22.078125,64
2020-06-01,41.4375,64
2020-07-01,40.375,64
2020-08-01,30.1875,64
2020-09-01,34.18,50
2020-10-01,39.75,4
