time,value
2006-01-01,-1.3580016766030623
2006-01-02,-1.0779276747023319
2006-01-03,-1.2971173777829241
2006-01-04,-1.1981224075826449
2006-01-05,-1.3400711222223067
2006-01-06,-1.2815571263455618
2006-01-07,-1.408538303183589
2006-01-08,-1.0515345292695715
2006-01-09,-1.1066385332499369
2006-01-10,-0.9761447181693035
2006-01-11,-0.47665525917116347
2006-01-12,-0.6295908929921857
2006-01-13,-1.1201564399661297
2006-01-14,-1.5202791241331892
2006-01-15,-1.197489092087277
2006-01-16,-1.215955389036311
2006-01-17,-0.9575671529188626
2006-01-18,-0.9521768399733547
2006-01-19,-0.9780624286775094
2006-01-20,-0.690997529740045
2006-01-21,-1.4847289148490512
2006-01-22,-1.0808215813064492
2006-01-23,-0.6104784099455305
2006-01-24,-0.09860741327627259
2006-01-25,-0.9110764655272773
2006-01-26,-0.47728718139329745
2006-01-27,-0.5813312741473262
2006-01-28,-1.2395774328507614
2006-01-29,-0.8720058686771297
2006-01-30,-0.7794653783152113
2006-01-31,-0.8785097848306974
2006-02-01,-0.7393786790256419
2006-02-02,-0.6708951085905521
2006-02-03,-0.7123930601665073
2006-02-04,-1.398752614684282
2006-02-05,-1.119553793230525
2006-02-06,-0.9012224395094243
2006-02-07,-0.8627800288189392
2006-02-08,-1.0432118205283374
2006-02-09,-0.8977988609270551
2006-02-10,-1.1270763418455125
2006-02-11,-1.0474721886250107
2006-02-12,-0.3927690694298466
2006-02-13,-0.7608836135446351
2006-02-14,-0.9322579690917574
2006-02-15,-0.3977652891204623
2006-02-16,-0.827782717106423
2006-02-17,-1.186828004529524
2006-02-18,-1.465569288287648
2006-02-19,-1.2274956833863109
2006-02-20,-1.3833131672445276
2006-02-21,-1.0040329860715465
2006-02-22,-1.2399614199104414
2006-02-23,-1.384881453527533
2006-02-24,-1.411787337203157
2006-02-25,-1.7643317215922236
2006-02-26,-1.0607151287160563
2006-02-27,-1.1180942525970285
2006-02-28,-0.9466188713686088
2006-03-01,-0.7239200293245557
2006-03-02,-1.4253162232279804
2006-03-03,-1.0171254752669403
2006-03-04,-1.1911431461644373
2006-03-05,-1.097336295901581
2006-03-06,-1.3290896838905597
2006-03-07,-1.2720264683473799
2006-03-08,-1.1149701974633002
2006-03-09,-1.603226989648326
2006-03-10,-1.4241121527200247
2006-03-11,-1.7203111509404034
2006-03-12,-1.3888074890747277
2006-03-13,-1.5188921532987965
2006-03-14,-1.2374357999424883
2006-03-15,-1.2908259628487302
2006-03-16,-1.5884727742934155
2006-03-17,-1.540522810896005
2006-03-18,-1.8823327206682028
2006-03-19,-1.7189103231771825
2006-03-20,-1.1666773057472413
2006-03-21,-1.5886210693649188
2006-03-22,-1.43148788687449
2006-03-23,-1.3946710367843564
2006-03-24,-1.7692761081110937
2006-03-25,-1.6249432366284626
2006-03-26,-1.7504703103401833
2006-03-27,-0.8131051902052212
2006-03-28,-0.7604631793897448
2006-03-29,-1.0544976293999497
2006-03-30,-1.2834977717804645
2006-03-31,-1.3746761908559089
2006-04-01,-2.269392454442644
2006-04-02,-2.033062035809262
2006-04-03,-1.70417444687892
2006-04-04,-2.1532972224020255
2006-04-05,-1.6980128066648463
