time,value,n
2006-01-01,88,1
2006-01-02,29,1
2006-01-03,31,1
2006-01-04,0,1
2006-01-05,23,1
2006-01-06,64,1
2006-01-07,48,1
2006-01-08,100,1
2006-01-09,42,1
2006-01-10,21,1
2006-01-11,43,1
2006-01-12,22,1
2006-01-13,24,1
2006-01-14,35,1
2006-01-15,34,1
2006-01-16,56,2
2006-01-17,32,2
2006-01-18,33,2
2006-01-19,19.5,2
2006-01-20,23.5,2
2006-01-21,31,2
2006-01-22,15.5,2
2006-01-23,35,2
2006-01-24,42,2
2006-01-25,45.5,2
2006-01-26,49.5,2
2006-01-27,33.5,2
2006-01-28,71.5,2
2006-01-29,41,2
2006-01-30,18.5,2
2006-01-31,33.666666666666664,3
2006-02-01,16,3
2006-02-02,24.333333333333332,3
2006-02-03,50.666666666666664,3
2006-02-04,17.333333333333332,3
2006-02-05,17.333333333333332,3
2006-02-06,37.333333333333336,3
2006-02-07,36.666666666666664,3
2006-02-08,42.333333333333336,3
2006-02-09,19.666666666666668,3
2006-02-10,75.33333333333333,3
2006-02-11,35.666666666666664,3
2006-02-12,32.666666666666664,3
2006-02-13,21.666666666666668,3
2006-02-14,18,3
2006-02-15,24,4
2006-02-16,25,4
2006-02-17,37.25,4
2006-02-18,40.5,4
2006-02-19,29.75,4
2006-02-20,32,4
2006-02-21,33.5,4
2006-02-22,33.75,4
2006-02-23,37.25,4
2006-02-24,36.5,4
2006-02-25,40.25,4
2006-02-26,54.75,4
2006-02-27,24.75,4
2006-02-28,33.25,4
2006-03-01,30,4
2006-03-02,24.4,5
2006-03-03,25.8,5
2006-03-04,56.8,5
2006-03-05,63.8,5
2006-03-06,30,5
2006-03-07,22.8,5
2006-03-08,26.4,5
2006-03-09,43.2,5
2006-03-10,27.2,5
2006-03-11,41.8,5
2006-03-12,43.6,5
2006-03-13,28.4,5
2006-03-14,25,5
2006-03-15,22,5
2006-03-16,27.2,5
2006-03-17,50,6
2006-03-18,30.5,6
2006-03-19,28,6
2006-03-20,20.5,6
2006-03-21,24.5,6
2006-03-22,18.833333333333332,6
2006-03-23,41.5,6
2006-03-24,38.666666666666664,6
2006-03-25,57.833333333333336,6
2006-03-26,42.333333333333336,6
2006-03-27,29.833333333333332,6
2006-03-28,31.333333333333332,6
2006-03-29,29.166666666666668,6
2006-03-30,38.166666666666664,6
2006-03-31,33.666666666666664,6
2006-04-01,52.142857142857146,7
2006-04-02,27.142857142857142,7
2006-04-03,38.142857142857146,7
2006-04-04,50.714285714285715,7
2006-04-05,22.857142857142858,7
2006-04-06,17.428571428571427,7
2006-04-07,31.714285714285715,7
2006-04-08,38.285714285714285,7
2006-04-09,40,7
2006-04-10,37.42857142857143,7
2006-04-11,25.714285714285715,7
2006-04-12,30.142857142857142,7
2006-04-13,34.714285714285715,7
2006-04-14,9,7
2006-04-15,22,7
2006-04-16,39.375,8
2006-04-17,54.375,8
2006-04-18,31,8
2006-04-19,26,8
2006-04-20,31.875,8
2006-04-21,28,8
2006-04-22,30.125,8
2006-04-23,27.875,8
2006-04-24,23.625,8
2006-04-25,41.5,8
2006-04-26,28.125,8
2006-04-27,20,8
2006-04-28,26.875,8
2006-04-29,24.625,8
2006-04-30,33.375,8
2006-05-01,28.88888888888889,9
2006-05-02,24.77777777777778,9
2006-05-03,28.333333333333332,9
2006-05-04,10.333333333333334,9
2006-05-05,23,9
2006-05-06,23.22222222222222,9
2006-05-07,25.22222222222222,9
2006-05-08,29,9
2006-05-09,24.444444444444443,9
2006-05-10,29.77777777777778,9
2006-05-11,46.44444444444444,9
2006-05-12,28.333333333333332,9
2006-05-13,49.111111111111114,9
2006-05-14,67.44444444444444,9
2006-05-15,25.22222222222222,9
2006-05-16,29.6,10
2006-05-17,41.2,10
2006-05-18,26.1,10
2006-05-19,29.6,10
2006-05-20,50.3,10
2006-05-21,14,10
2006-05-22,19.1,10
2006-05-23,26.4,10
2006-05-24,29.1,10
2006-05-25,19.9,10
2006-05-26,37.9,10
2006-05-27,38,10
2006-05-28,24.5,10
2006-05-29,37.9,10
2006-05-30,30.6,10
