time,value,n
2006-01-01,61.55813953488372,86
2006-02-01,66.22093023255817,172
2006-03-01,66.54335260115609,173
2006-04-01,55.160919540229884,174
2006-05-01,62.86285714285712,175
2006-06-01,55.64204545454545,176
2006-07-01,59.78531073446328,177
2006-08-01,64.06179775280897,178
2006-09-01,66.08938547486035,179
2006-10-01,59.78888888888888,180
2006-11-01,59.425414364640886,181
2006-12-01,48.82967032967033,182
2007-01-01,55.26775956284153,183
2007-02-01,55.918478260869584,184
2007-03-01,51.41621621621623,185
2007-04-01,57.37297297297296,185
2007-05-01,51.27567567567568,185
2007-06-01,51.9945945945946,185
2007-07-01,51.643243243243255,185
2007-08-01,53.16216216216216,185
2007-09-01,46.45945945945946,185
2007-10-01,46.29729729729732,185
2007-11-01,47.32972972972974,185
2007-12-01,44.81621621621622,185
2008-01-01,51.82162162162161,185
2008-02-01,53.572972972972984,185
2008-03-01,51.69189189189187,185
2008-04-01,51.28648648648649,185
2008-05-01,45.497297297297294,185
2008-06-01,48.794594594594585,185
2008-07-01,51.5945945945946,185
2008-08-01,50.75675675675676,185
2008-09-01,54.01081081081081,185
2008-10-01,55.167567567567566,185
2008-11-01,52.545945945945924,185
2008-12-01,53.47027027027029,185
2009-01-01,72.44864864864863,185
2009-02-01,90.62702702702707,185
2009-03-01,89.29729729729729,185
2009-04-01,83.14054054054056,185
2009-05-01,79.31351351351353,185
2009-06-01,100,185
2009-07-01,81.3621621621622,185
2009-08-01,80.06486486486486,185
2009-09-01,74.65945945945944,185
2009-10-01,91.1513513513513,185
2009-11-01,77.05405405405405,185
2009-12-01,57.86486486486486,185
2010-01-01,66.04864864864862,185
2010-02-01,68.70810810810812,185
2010-03-01,71.00540540540538,185
2010-04-01,59.021621621621605,185
2010-05-01,58.21621621621622,185
2010-06-01,58.513513513513516,185
2010-07-01,52.53513513513513,185
2010-08-01,56.76756756756756,185
2010-09-01,52.63783783783783,185
2010-10-01,50.87567567567567,185
2010-11-01,55.74054054054056,185
2010-12-01,43.16756756756757,185
2011-01-01,69.06486486486486,185
2011-02-01,65.28648648648647,185
2011-03-01,67.33513513513513,185
2011-04-01,63.34594594594596,185
2011-05-01,63.89729729729727,185
2011-06-01,73.39999999999999,185
2011-07-01,63.421621621621604,185
2011-08-01,59.09189189189189,185
2011-09-01,60.913513513513514,185
2011-10-01,54.99999999999998,185
2011-11-01,71.34594594594591,185
2011-12-01,68.10810810810811,185
2012-01-01,90.71351351351352,185
2012-02-01,72.89729729729729,185
2012-03-01,77.20000000000002,185
2012-04-01,65.17297297297299,185
2012-05-01,66.96216216216217,185
2012-06-01,70.40540540540538,185
2012-07-01,90.1351351351351,185
2012-08-01,73.24864864864865,185
2012-09-01,72.7837837837838,185
2012-10-01,74.07027027027029,185
2012-11-01,80.09729729729729,185
2012-12-01,62.22162162162161,185
2013-01-01,75.82702702702704,185
2013-02-01,75.70810810810809,185
2013-03-01,69.57297297297298,185
2013-04-01,81.56756756756752,185
2013-05-01,67.21621621621628,185
2013-06-01,79.55675675675677,185
2013-07-01,87.75675675675674,185
2013-08-01,55.8054054054054,185
2013-09-01,45.31891891891893,185
2013-10-01,44.26486486486483,185
2013-11-01,42.281081081081055,185
2013-12-01,34.70810810810809,185
2014-01-01,56.637837837837836,185
2014-02-01,45.735135135135124,185
2014-03-01,40.929729729729715,185
2014-04-01,38.91891891891889,185
2014-05-01,37.47027027027026,185
2014-06-01,36.800000000000026,185
2014-07-01,42.01081081081082,185
2014-08-01,36.31891891891891,185
2014-09-01,37.351351351351354,185
2014-10-01,38.78378378378382,185
2014-11-01,38.07567567567566,185
2014-12-01,35.82162162162162,185
2015-01-01,35.32972972972973,185
2015-02-01,39.113513513513496,185
2015-03-01,39.72972972972973,185
