time,value,n
2006-01-01,0.8857142857142858,35
2006-02-01,0.1714285714285715,70
2006-03-01,0.08450704225352114,71
2006-04-01,0,72
2006-05-01,0.1917808219178082,73
2006-06-01,0.027027027027026997,74
2006-07-01,0,75
2006-08-01,0,76
2006-09-01,0,77
2006-10-01,0,78
2006-11-01,0,79
2006-12-01,0,80
2007-01-01,0,81
2007-02-01,0,82
2007-03-01,0,82
2007-04-01,0,82
2007-05-01,0,82
2007-06-01,0,82
2007-07-01,0,82
2007-08-01,0,82
2007-09-01,0,82
2007-10-01,0,82
2007-11-01,0,82
2007-12-01,0,82
2008-01-01,0,82
2008-02-01,0,82
2008-03-01,0,82
2008-04-01,0,82
2008-05-01,0,82
2008-06-01,0,82
2008-07-01,0,82
2008-08-01,0,82
2008-09-01,0.7804878048780487,82
2008-10-01,1.9512195121951217,82
2008-11-01,3.9024390243902434,82
2008-12-01,4.878048780487804,82
2009-01-01,10.219512195121961,82
2009-02-01,13.658536585365853,82
2009-03-01,13.21951219512195,82
2009-04-01,10.195121951219518,82
2009-05-01,8.780487804878046,82
2009-06-01,6.853658536585366,82
2009-07-01,5.878048780487804,82
2009-08-01,4.878048780487804,82
2009-09-01,4.853658536585366,82
2009-10-01,4,82
2009-11-01,4,82
2009-12-01,3,82
2010-01-01,3.0731707317073167,82
2010-02-01,3,82
2010-03-01,2.1463414634146343,82
2010-04-01,2,82
2010-05-01,2,82
2010-06-01,1.146341463414634,82
2010-07-01,1,82
2010-08-01,1,82
2010-09-01,1,82
2010-10-01,1,82
2010-11-01,1,82
2010-12-01,1,82
2011-01-01,1,82
2011-02-01,1,82
2011-03-01,1,82
2011-04-01,1,82
2011-05-01,1,82
2011-06-01,0.024390243902438987,82
2011-07-01,0,82
2011-08-01,0,82
2011-09-01,1,82
2011-10-01,1,82
2011-11-01,1,82
2011-12-01,1,82
2012-01-01,1,82
2012-02-01,1,82
2012-03-01,1,82
2012-04-01,1,82
2012-05-01,0.9512195121951219,82
2012-06-01,1,82
2012-07-01,1,82
2012-08-01,1,82
2012-09-01,1,82
2012-10-01,1,82
2012-11-01,1,82
2012-12-01,1,82
2013-01-01,1,82
2013-02-01,1,82
2013-03-01,1,82
2013-04-01,1,82
2013-05-01,1,82
2013-06-01,1,82
2013-07-01,1,82
2013-08-01,0.0975609756097561,82
2013-09-01,0.9024390243902443,82
2013-10-01,0.1463414634146341,82
2013-11-01,1,82
2013-12-01,0,82
2014-01-01,1,82
2014-02-01,1,82
2014-03-01,0.9268292682926825,82
2014-04-01,0.9268292682926833,82
2014-05-01,0.829268292682927,82
2014-06-01,0.7317073170731707,82
2014-07-01,0,82
2014-08-01,0,82
2014-09-01,1,82
2014-10-01,1,82
2014-11-01,1,82
2014-12-01,0,82
2015-01-01,0.9756097560975613,82
2015-02-01,1,82
2015-03-01,1,82
2015-04-01,0.2682926829268293,82
2015-05-01,0,82
2015-06-01,1,82
2015-07-01,0,82
2015-08-01,0,82
2015-09-01,0.024390243902438987,82
2015-10-01,1,82
2015-11-01,1,82
2015-12-01,0,82
2016-01-01,1,82
2016-02-01,1,82
2016-03-01,0.6585365853658537,82
2016-04-01,0,82
2016-05-01,0,82
2016-06-01,0,82
2016-07-01,0,82
2016-08-01,1,82
2016-09-01,0,82
2016-10-01,0,82
2016-11-01,0,82
2016-12-01,0,82
2017-01-01,0.7073170731707317,82
2017-02-01,0,82
2017-03-01,0,82
2017-04-01,0,82
2017-05-01,0,82
2017-06-01,0,82
2017-07-01,0,82
2017-08-01,0,82
2017-09-01,0,82
2017-10-01,0,82
2017-11-01,0,82
2017-12-01,0,82
2018-01-01,0,82
2018-02-01,0,82
2018-03-01,0,82
2018-04-01,0,82
2018-05-01,0,82
2018-06-01,0,82
2018-07-01,0,82
2018-08-01,0,82
2018-09-01,0,82
2018-10-01,0,82
2018-11-01,0,82
2018-12-01,0,82
2019-01-01,0,82
2019-02-01,1,82
2019-03-01,1,82
2019-04-01,0.2926829268292683,82
2019-05-01,1,82
2019-06-01,1,82
2019-07-01,1,82
2019-08-01,1,82
2019-09-01,1.658536585365853,82
2019-10-01,2,82
2019-11-01,1.21951219512195,82
2019-12-01,1,82
2020-01-01,1,82
2020-02-01,1,82
2020-03-01,100,82
2020-04-01,60.53658536585366,82
2020-05-01,28.048780487804876,82
2020-06-01,17.341463414634145,82
2020-07-01,11.487804878048783,82
2020-08-01,8.146341463414634,82
2020-09-01,7.121951219512195,82
2020-10-01,7.243902439024391,82
2020-11-01,7.804878048780488,82
2020-12-01,7.6829268292682915,82
2021-01-01,11.756097560975613,82
2021-02-01,8,81
2021-03-01,7.224999999999999,80
2021-04-01,6.0506329113924044,79
2021-05-01,4.230769230769231,78
2021-06-01,4,77
2021-07-01,3.026315789473684,76
2021-08-01,3,75
2021-09-01,3.027027027027027,74
2021-10-01,3.6301369863013697,73
2021-11-01,4,72
2021-12-01,3,71
2022-01-01,3,70
2022-02-01,3,69
2022-03-01,3,68
2022-04-01,2,68
2022-05-01,1.7058823529411766,68
2022-06-01,1,68
2022-07-01,1,68
2022-08-01,1,68
2022-09-01,1.0294117647058825,68
2022-10-01,2,68
2022-11-01,1.0294117647058825,68
2022-12-01,1,68
2023-01-01,1,68
2023-02-01,1.058823529411765,68
2023-03-01,1.1875,32
