time,value,n
2006-01-01,21.785714285714285,14
2006-02-01,18.285714285714285,28
2006-03-01,19.586206896551722,29
2006-04-01,18.8,30
2006-05-01,20.870967741935488,31
2006-06-01,20.3125,32
2006-07-01,14.363636363636363,33
2006-08-01,14.47058823529412,34
2006-09-01,20.57142857142857,35
2006-10-01,19.22222222222222,36
2006-11-01,26.35135135135135,37
2006-12-01,24.605263157894736,38
2007-01-01,24.641025641025642,39
2007-02-01,23.95,40
2007-03-01,21.925,40
2007-04-01,20.325000000000006,40
2007-05-01,23.325,40
2007-06-01,21.6,40
2007-07-01,17.724999999999998,40
2007-08-01,14.300000000000002,40
2007-09-01,20.075,40
2007-10-01,27.1,40
2007-11-01,33.425,40
2007-12-01,26,40
2008-01-01,31.05,40
2008-02-01,28.775000000000006,40
2008-03-01,25.324999999999996,40
2008-04-01,33.675,40
2008-05-01,29.025,40
2008-06-01,34.275,40
2008-07-01,34.574999999999996,40
2008-08-01,22.999999999999996,40
2008-09-01,31,40
2008-10-01,39.22500000000001,40
2008-11-01,30.474999999999994,40
2008-12-01,27.2,40
2009-01-01,29.925,40
2009-02-01,38.874999999999986,40
2009-03-01,42.075,40
2009-04-01,38.025,40
2009-05-01,34.875,40
2009-06-01,26.075,40
2009-07-01,22.65,40
2009-08-01,14.525000000000002,40
2009-09-01,21.825000000000003,40
2009-10-01,20.525,40
2009-11-01,25.125,40
2009-12-01,24.025,40
2010-01-01,27.799999999999994,40
2010-02-01,26.65,40
2010-03-01,25.9,40
2010-04-01,26.85,40
2010-05-01,58.95,40
2010-06-01,25.6,40
2010-07-01,16.85,40
2010-08-01,14.575000000000003,40
2010-09-01,22.999999999999996,40
2010-10-01,22.65,40
2010-11-01,25.975,40
2010-12-01,21.175,40
2011-01-01,30.124999999999993,40
2011-02-01,33.525,40
2011-03-01,27.75,40
2011-04-01,30.5,40
2011-05-01,32.325,40
2011-06-01,25.525,40
2011-07-01,28.075,40
2011-08-01,27.8,40
2011-09-01,27.799999999999994,40
2011-10-01,30.475,40
2011-11-01,41.85,40
2011-12-01,33.275,40
2012-01-01,30.075,40
2012-02-01,26.45,40
2012-03-01,29.325,40
2012-04-01,23.4,40
2012-05-01,30.625,40
2012-06-01,24.775000000000002,40
2012-07-01,23.85,40
2012-08-01,21.875000000000004,40
2012-09-01,30.025,40
2012-10-01,26.250000000000007,40
2012-11-01,27.1,40
2012-12-01,22.15,40
2013-01-01,28.075,40
2013-02-01,22.8,40
2013-03-01,24.675,40
2013-04-01,26.85,40
2013-05-01,23.325,40
2013-06-01,21.825000000000003,40
2013-07-01,18.15,40
2013-08-01,18.8,40
2013-09-01,20.025000000000002,40
2013-10-01,20.424999999999997,40
2013-11-01,25.825,40
2013-12-01,22.2,40
2014-01-01,27.25,40
2014-02-01,23.75,40
2014-03-01,25.275,40
2014-04-01,23.1,40
2014-05-01,25.625,40
2014-06-01,24.625,40
